2Theta, Counts
36.2902	,49.21923
36.31022	,56.77087
36.33024	,103.9591
36.35025	,95.16558
36.37027	,104.2787
36.39029	,103.04206
36.41031	,98.12315
36.43033	,96.66671
36.45034	,98.30721
36.47036	,97.21823
36.49038	,137.75463
36.5104	,155.29906
36.53041	,162.37556
36.55043	,159.78122
36.57045	,150.02712
36.59047	,149.17808
36.61049	,152.06613
36.6305	,146.33154
36.65052	,153.62404
36.67054	,156.40814
36.69056	,156.03093
36.71058	,146.82089
36.73059	,146.45992
36.75061	,140.2803
36.77063	,155.32823
36.79065	,154.72166
36.81067	,147.3161
36.83068	,151.04953
36.8507	,149.02164
36.87072	,150.53363
36.89074	,157.48639
36.91075	,146.18734
36.93077	,154.39439
36.95079	,144.83445
36.97081	,199.55039
36.99083	,210.97135
37.01084	,188.88325
37.03086	,207.48168
37.05088,	194.7144
37.0709	,202.89006
37.09092	,211.39047
37.11093	,206.44743
37.13095	,207.12243
37.15097	,204.01204
37.17099	,199.76905
37.191	,207.86107
37.21102	,199.14517
37.23104	,204.54043
37.25106	,195.47615
37.27108	,197.05478
37.2911	,195.50682
37.31111	,198.19952
37.33113,	195.8412
37.35115	,196.97189
37.37117	,191.97092
37.39118	,200.17834
37.4112	,207.90851
37.43122	,197.70082
37.45124	,195.57647
37.47126	,200.39115
37.49127	,195.09796
37.51129	,196.58241
37.53131	,193.18909
37.55133	,198.50763
37.57135	,199.87887
37.59136	,192.86165
37.61138,	193.8893
37.6314	,198.59502
37.65142	,198.99536
37.67144	,217.55237
37.69145	,214.98523
37.71147	,202.61049
37.73149	,199.98979
37.75151	,198.43277
37.77152	,199.31966
37.79154	,200.10236
37.81156	,198.14632
37.83158	,200.05863
37.8516	,192.67073
37.87162	,204.20728
37.89163	,192.06219
37.91165	,199.49251
37.93167	,199.47541
37.95169	,198.46655
37.97171	,205.47047
37.99172	,194.39503
38.01174	,187.61164
38.03176	,203.61687
38.05178	,207.14495
38.07179	,200.11886
38.09181	,187.21555
38.11183	,196.97347
38.13185	,200.95335
38.15187,	193.519
38.17189	,196.45701
38.1919	,192.78757
38.21192	,193.27813
38.23194	,199.76335
38.25196	,190.60614
38.27198	,196.91305
38.29199	,195.84515
38.31201	,185.99276
38.33203	,188.14003
38.35205	,194.59013
38.37207	,190.46574
38.39208	,192.14218
38.4121	,190.3327
38.43212	,187.1836
38.45214	,196.29549
38.47216	,197.46066
38.49217,	195.9344
38.51219	,198.77135
38.53221	,195.09736
38.55223	,192.00529
38.57225	,188.30647
38.59226	,191.20568
38.61228	,203.09156
38.6323	,192.97972
38.65232	,187.86009
38.67234	,194.88686
38.69236	,189.94611
38.71237	,194.87377
38.73239	,204.40632
38.75241	,203.70766
38.77243	,190.01731
38.79245	,205.48046
38.81246	,200.82936
38.83248	,184.66279
38.8525	,195.89017
38.87252	,201.41557
38.89254	,194.41527
38.91255	,183.9063
38.93257	,190.24848
38.95259	,186.23518
38.97261	,194.12183
38.99263	,198.00132
39.01264	,194.43993
39.03266	,183.58165
39.05268	,185.78666
39.0727	,187.0209
39.09272	,182.76462
39.11274	,190.85453
39.13275	,195.07146
39.15277	,193.10824
39.17279	,195.90798
39.19281	,185.32919
39.21283	,188.64522
39.23284	,190.72521
39.25286	,188.29495
39.27288	,182.71014
39.2929	,187.67785
39.31292	,189.15043
39.33293	,188.43806
39.35295	,194.30679
39.37297	,188.43839
39.39299	,186.16966
39.41301	,181.44158
39.43303	,191.44212
39.45304	,191.02936
39.47306	,194.3105
39.49308	,186.92209
39.5131	,192.87179
39.53312	,189.50403
39.55313	,189.60483
39.57315	,196.65819
39.59317	,194.01764
39.61319	,190.52793
39.63321	,188.61197
39.65323	,185.65199
39.67324	,176.81738
39.69326	,186.67122
39.71328	,180.40323
39.7333	,183.47488
39.75332	,182.53044
39.77334	,183.67653
39.79335	,185.00907
39.81337	,186.15562
39.83339	,184.68018
39.85341	,187.48227
39.87343	,181.47683
39.89344	,175.78363
39.91346	,195.42708
39.93348	,186.48613
39.9535	,177.59391
39.97352	,189.96508
39.99354	,173.02523
40.01355	,177.92169
40.03357	,183.01615
40.05359	,180.08131
40.07361	,190.33078
40.09363	,172.71435
40.11364	,175.42783
40.13366	,178.7893
40.15368	,189.73202
40.1737	,178.34983
40.19372	,183.19003
40.21374	,178.96876
40.23375	,192.39779
40.25377	,184.68052
40.27379	,179.28054
40.29381	,187.85547
40.31383	,183.21061
40.33384	,181.01185
40.35386	,183.84273
40.37388	,181.75738
40.3939	,187.84131
40.41392	,181.20696
40.43394	,176.52172
40.45396	,188.71089
40.47397	,191.17358
40.49399	,188.98192
40.51401	,191.50675
40.53403	,183.82823
40.55405	,176.98952
40.57406	,183.0946
40.59408	,196.24383
40.6141	,179.39231
40.63412	,176.78881
40.65414	,179.06767
40.67416	,173.58645
40.69418	,180.47168
40.71419	,178.03861
40.73421	,178.74996
40.75423	,172.63189
40.77425,	169.499
40.79427	,184.34014
40.81428	,174.60999
40.8343	,177.21631
40.85432	,170.28932
40.87434	,176.34024
40.89436	,177.28257
40.91438	,188.0624
40.93439	,183.03319
40.95441	,179.66621
40.97443	,184.23154
40.99445	,173.78363
41.01447	,182.35408
41.03449	,185.3389
41.0545	,185.69717
41.07452	,190.05994
41.09454	,194.73403
41.11456	,182.23575
41.13458	,194.29794
41.1546	,192.21296
41.17461	,179.57628
41.19463	,181.53056
41.21465	,179.73889
41.23467	,180.58328
41.25469	,189.69546
41.27471	,174.5586
41.29472	,176.35421
