,F_calc_sq,I_corr,Peak_Fit_Success,Phase,R_calc,back_int_bound,gam_fit,h,int_fit,k,l,n_int,pos_diff,pos_fit,rel_int_count,rel_int_fit,sig_fit,signal_to_noise,two_theta,u_int_count,u_int_fit,u_pos_fit
0,4521.73,57.756,TRUE,austenite-SRM487.cif,261157.488,4570.369,1.714,1,21716.194,1,1,0.083,0.002,43.595,0.007,0.008,79.606,133.942,43.593,162.131,168.301,0.001
1,1162.762,162.151,TRUE,ferrite-SRM487.cif,188543.096,4044.526,1.741,1,62590.189,1,0,0.332,-0.013,44.562,0.004,0.004,74.617,242.469,44.575,258.137,258.28,0
2,3832.366,31.933,TRUE,austenite-SRM487.cif,122379.402,6611.231,1.92,2,7812.145,0,0,0.064,-0.038,50.738,0.015,0.016,146.225,65.048,50.777,120.097,123.253,0.003
3,754.402,39.325,TRUE,ferrite-SRM487.cif,29667.204,4384.424,2.374,2,7283.611,0,0,0.246,-0.043,64.828,0.015,0.016,131.875,67.429,64.871,108.019,113.272,0.003
4,2211.653,31.901,TRUE,austenite-SRM487.cif,70554.804,5163.941,2.74,2,4734.357,2,0,0.067,0.019,74.67,0.021,0.022,179.066,47.586,74.651,99.49,103.257,0.004
5,535.482,109.842,TRUE,ferrite-SRM487.cif,58818.348,4857.196,3.058,2,17954.038,1,1,0.305,-0.006,82.12,0.008,0.008,177.913,118.874,82.127,151.034,152.07,0.002
6,1585.249,50.947,FALSE,austenite-SRM487.cif,80763.209,9040.867,3.471,3,4864.974,1,1,0.06,0.002,90.635,0.024,0.023,348.689,41.256,90.633,117.923,110.421,0.006
7,1434.682,16.419,TRUE,austenite-SRM487.cif,23555.357,3810.304,3.763,2,1368.346,2,2,0.058,0.041,95.95,0.053,0.059,153.766,19.015,95.91,71.963,80.239,0.013
8,404.025,47.739,FALSE,ferrite-SRM487.cif,19287.603,2356.347,3.928,2,5211.789,2,0,0.27,0.029,98.695,0.017,0.019,96.268,59.909,98.667,86.995,98.365,0.003
9,319.065,100.683,TRUE,ferrite-SRM487.cif,32124.524,4871.392,5.277,3,7830.424,1,0,0.244,-0.238,116.011,0.014,0.016,206.138,69.479,116.249,112.702,122.684,0.004
10,1006.366,13.104,FALSE,austenite-SRM487.cif,13186.997,0,5.456,4,92.318,0,0,0.007,-0.017,118.057,0.104,0.513,-47.578,9.608,118.074,9.608,47.393,0.017
