x,y_obs
20,1
20.01,1
20.02,2
20.03,0
20.04,2
20.05,1
20.06,2
20.07,0
20.08,4
20.09,0
20.1,2
20.11,0
20.12,1
20.13,0
20.14,3
20.15,1
20.16,3
20.17,1
20.18,2
20.19,1
20.2,1
20.21,0
20.22,2
20.23,1
20.24,2
20.25,0
20.26,2
20.27,0
20.28,1
20.29,1
20.3,2
20.31,0
20.32,2
20.33,1
20.34,2
20.35,0
20.36,2
20.37,1
20.38,1
20.39,1
20.4,2
20.41,0
20.42,2
20.43,1
20.44,1
20.45,0
20.46,2
20.47,0
20.48,2
20.49,0
20.5,2
20.51,-1
20.52,6
20.53,0
20.54,1
20.55,0
20.56,1
20.57,1
20.58,2
20.59,1
20.6,2
20.61,1
20.62,1
20.63,0
20.64,3
20.65,1
20.66,2
20.67,0
20.68,2
20.69,0
20.7,2
20.71,1
20.72,2
20.73,1
20.74,1
20.75,0
20.76,1
20.77,1
20.78,2
20.79,1
20.8,2
20.81,0
20.82,2
20.83,-1
20.84,1
20.85,0
20.86,1
20.87,0
20.88,2
20.89,0
20.9,2
20.91,1
20.92,1
20.93,0
20.94,1
20.95,1
20.96,2
20.97,1
20.98,2
20.99,0
21,2
21.01,1
21.02,2
21.03,1
21.04,1
21.05,0
21.06,1
21.07,0
21.08,1
21.09,0
21.1,2
21.11,1
21.12,1
21.13,0
21.14,2
21.15,0
21.16,2
21.17,1
21.18,2
21.19,1
21.2,1
21.21,0
21.22,2
21.23,1
21.24,2
21.25,0
21.26,2
21.27,1
21.28,2
21.29,1
21.3,1
21.31,1
21.32,1
21.33,0
21.34,2
21.35,1
21.36,1
21.37,0
21.38,1
21.39,0
21.4,2
21.41,1
21.42,3
21.43,-2
21.44,2
21.45,1
21.46,2
21.47,0
21.48,2
21.49,1
21.5,2
21.51,0
21.52,2
21.53,1
21.54,1
21.55,1
21.56,2
21.57,0
21.58,2
21.59,0
21.6,4
21.61,0
21.62,2
21.63,0
21.64,1
21.65,1
21.66,2
21.67,0
21.68,2
21.69,0
21.7,1
21.71,0
21.72,1
21.73,1
21.74,2
21.75,-2
21.76,2
21.77,1
21.78,2
21.79,0
21.8,2
21.81,0
21.82,2
21.83,0
21.84,1
21.85,0
21.86,3
21.87,0
21.88,1
21.89,0
21.9,1
21.91,1
21.92,2
21.93,0
21.94,1
21.95,1
21.96,2
21.97,0
21.98,2
21.99,0
22,2
22.01,0
22.02,2
22.03,1
22.04,1
22.05,1
22.06,1
22.07,1
22.08,2
22.09,1
22.1,2
22.11,-1
22.12,2
22.13,1
22.14,1
22.15,0
22.16,2
22.17,-2
22.18,2
22.19,1
22.2,1
22.21,1
22.22,1
22.23,0
22.24,2
22.25,1
22.26,2
22.27,1
22.28,2
22.29,0
22.3,2
22.31,1
22.32,1
22.33,0
22.34,2
22.35,0
22.36,1
22.37,0
22.38,1
22.39,0
22.4,2
22.41,0
22.42,2
22.43,1
22.44,1
22.45,0
22.46,1
22.47,1
22.48,2
22.49,-1
22.5,2
22.51,0
22.52,3
22.53,0
22.54,2
22.55,0
22.56,1
22.57,1
22.58,1
22.59,1
22.6,2
22.61,1
22.62,2
22.63,1
22.64,2
22.65,1
22.66,1
22.67,0
22.68,1
22.69,1
22.7,2
22.71,1
22.72,1
22.73,0
22.74,2
22.75,-1
22.76,2
22.77,1
22.78,1
22.79,1
22.8,1
22.81,0
22.82,1
22.83,1
22.84,2
22.85,0
22.86,2
22.87,1
22.88,1
22.89,0
22.9,2
22.91,1
22.92,2
22.93,0
22.94,2
22.95,1
22.96,1
22.97,0
22.98,2
22.99,0
23,2
23.01,1
23.02,2
23.03,1
23.04,1
23.05,0
23.06,2
23.07,0
23.08,3
23.09,-1
23.1,2
23.11,-1
23.12,2
23.13,0
23.14,2
23.15,0
23.16,1
23.17,0
23.18,2
23.19,0
23.2,1
23.21,1
23.22,2
23.23,0
23.24,1
23.25,1
23.26,2
23.27,0
23.28,2
23.29,1
23.3,2
23.31,0
23.32,1
23.33,1
23.34,2
23.35,1
23.36,1
23.37,1
23.38,1
23.39,0
23.4,1
23.41,0
23.42,1
23.43,0
23.44,2
23.45,0
23.46,1
23.47,0
23.48,2
23.49,1
23.5,4
23.51,0
23.52,1
23.53,0
23.54,2
23.55,1
23.56,1
23.57,0
23.58,3
23.59,0
23.6,2
23.61,1
23.62,2
23.63,0
23.64,2
23.65,0
23.66,2
23.67,0
23.68,2
23.69,0
23.7,2
23.71,0
23.72,3
23.73,-2
23.74,1
23.75,-1
23.76,3
23.77,1
23.78,3
23.79,0
23.8,1
23.81,1
23.82,2
23.83,0
23.84,1
23.85,1
23.86,2
23.87,0
23.88,2
23.89,0
23.9,1
23.91,1
23.92,1
23.93,1
23.94,2
23.95,0
23.96,2
23.97,-1
23.98,1
