"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      9.42
"Instparm: V",    -12.57
"Instparm: W",     22.76
"Instparm: X",      0.66
"Instparm: Y",      2.50
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","?"
"Samparm: InstrName",
"Samparm: Scale",    100.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
20,1,1,1,1,1.41651
20.01,1,1,1,1,1.41721
20.02,2,0.5,1,1,1.41791
20.03,0,1,1,1,1.41861
20.04,2,0.5,1,1,1.41931
20.05,1,1,1,1,1.42001
20.06,2,0.5,1,1,1.42071
20.07,0,1,1,1,1.42141
20.08,4,0.25,1,1,1.42211
20.09,0,1,1,1,1.42281
20.1,2,0.5,1,1,1.42352
20.11,0,1,1,1,1.42422
20.12,1,1,1,1,1.42492
20.13,0,1,1,1,1.42562
20.14,3,0.333333,1,1,1.42632
20.15,1,1,1,1,1.42702
20.16,3,0.333333,1,1,1.42772
20.17,1,1,1,1,1.42842
20.18,2,0.5,1,1,1.42912
20.19,1,1,1,1,1.42982
20.2,1,1,1,1,1.43052
20.21,0,1,1,1,1.43123
20.22,2,0.5,1,1,1.43193
20.23,1,1,1,1,1.43263
20.24,2,0.5,1,1,1.43333
20.25,0,1,1,1,1.43403
20.26,2,0.5,1,1,1.43473
20.27,0,1,1,1,1.43543
20.28,1,1,1,1,1.43613
20.29,1,1,1,1,1.43683
20.3,2,0.5,1,1,1.43753
20.31,0,1,1,1,1.43823
20.32,2,0.5,1,1,1.43893
20.33,1,1,1,1,1.43963
20.34,2,0.5,1,1,1.44034
20.35,0,1,1,1,1.44104
20.36,2,0.5,1,1,1.44174
20.37,1,1,1,1,1.44244
20.38,1,1,1,1,1.44314
20.39,1,1,1,1,1.44384
20.4,2,0.5,1,1,1.44454
20.41,0,1,1,1,1.44524
20.42,2,0.5,1,1,1.44594
20.43,1,1,1,1,1.44664
20.44,1,1,1,1,1.44734
20.45,0,1,1,1,1.44804
20.46,2,0.5,1,1,1.44874
20.47,0,1,1,1,1.44944
20.48,2,0.5,1,1,1.45014
20.49,0,1,1,1,1.45084
20.5,2,0.5,1,1,1.45154
20.51,-1,1,1,1,1.45225
20.52,6,0.166667,1,1,1.45295
20.53,0,1,1,1,1.45365
20.54,1,1,1,1,1.45435
20.55,0,1,1,1,1.45505
20.56,1,1,1,1,1.45575
20.57,1,1,1,1,1.45645
20.58,2,0.5,1,1,1.45715
20.59,1,1,1,1,1.45785
20.6,2,0.5,1,1,1.45855
20.61,1,1,1,1,1.45925
