x            y_obs        weight       y_calc       y_bkg        
20.0         1.0          1.0          1.0          1.0          
20.01        1.0          1.0          1.0          1.0          
20.02        2.0          0.5          1.0          1.0          
20.03        0.0          1.0          1.0          1.0          
20.04        2.0          0.5          1.0          1.0          
20.05        1.0          1.0          1.0          1.0          
20.06        2.0          0.5          1.0          1.0          
20.07        0.0          1.0          1.0          1.0          
20.08        4.0          0.25         1.0          1.0          
20.09        0.0          1.0          1.0          1.0          
20.1         2.0          0.5          1.0          1.0          
20.11        0.0          1.0          1.0          1.0          
20.12        1.0          1.0          1.0          1.0          
20.13        0.0          1.0          1.0          1.0          
20.14        3.0          0.33333      1.0          1.0          
20.15        1.0          1.0          1.0          1.0          
20.16        3.0          0.33333      1.0          1.0          
20.17        1.0          1.0          1.0          1.0          
20.18        2.0          0.5          1.0          1.0          
20.19        1.0          1.0          1.0          1.0          
20.2         1.0          1.0          1.0          1.0          
20.21        0.0          1.0          1.0          1.0          
20.22        2.0          0.5          1.0          1.0          
20.23        1.0          1.0          1.0          1.0          
20.24        2.0          0.5          1.0          1.0          
20.25        0.0          1.0          1.0          1.0          
20.26        2.0          0.5          1.0          1.0          
20.27        0.0          1.0          1.0          1.0          
20.28        1.0          1.0          1.0          1.0          
20.29        1.0          1.0          1.0          1.0          
20.3         2.0          0.5          1.0          1.0          
20.31        0.0          1.0          1.0          1.0          
20.32        2.0          0.5          1.0          1.0          
20.33        1.0          1.0          1.0          1.0          
20.34        2.0          0.5          1.0          1.0          
20.35        0.0          1.0          1.0          1.0          
20.36        2.0          0.5          1.0          1.0          
20.37        1.0          1.0          1.0          1.0          
20.38        1.0          1.0          1.0          1.0          
20.39        1.0          1.0          1.0          1.0          
20.4         2.0          0.5          1.0          1.0          
20.41        0.0          1.0          1.0          1.0          
20.42        2.0          0.5          1.0          1.0          
20.43        1.0          1.0          1.0          1.0          
20.44        1.0          1.0          1.0          1.0          
20.45        0.0          1.0          1.0          1.0          
20.46        2.0          0.5          1.0          1.0          
20.47        0.0          1.0          1.0          1.0          
20.48        2.0          0.5          1.0          1.0          
20.49        0.0          1.0          1.0          1.0          
20.5         2.0          0.5          1.0          1.0          
20.51        -1.0         1.0          1.0          1.0          
20.52        6.0          0.16667      1.0          1.0          
20.53        0.0          1.0          1.0          1.0          
20.54        1.0          1.0          1.0          1.0          
20.55        0.0          1.0          1.0          1.0          
20.56        1.0          1.0          1.0          1.0          
20.57        1.0          1.0          1.0          1.0          
20.58        2.0          0.5          1.0          1.0          
20.59        1.0          1.0          1.0          1.0          
20.6         2.0          0.5          1.0          1.0          
20.61        1.0          1.0          1.0          1.0          
20.62        1.0          1.0          1.0          1.0          
20.63        0.0          1.0          1.0          1.0          
20.64        3.0          0.33333      1.0          1.0          
20.65        1.0          1.0          1.0          1.0          
20.66        2.0          0.5          1.0          1.0          
20.67        0.0          1.0          1.0          1.0          
20.68        2.0          0.5          1.0          1.0          
20.69        0.0          1.0          1.0          1.0          
20.7         2.0          0.5          1.0          1.0          
20.71        1.0          1.0          1.0          1.0          
20.72        2.0          0.5          1.0          1.0          
20.73        1.0          1.0          1.0          1.0          
20.74        1.0          1.0          1.0          1.0          
20.75        0.0          1.0          1.0          1.0          
20.76        1.0          1.0          1.0          1.0          
20.77        1.0          1.0          1.0          1.0          
20.78        2.0          0.5          1.0          1.0          
20.79        1.0          1.0          1.0          1.0          
20.8         2.0          0.5          1.0          1.0          
20.81        0.0          1.0          1.0          1.0          
20.82        2.0          0.5          1.0          1.0          
20.83        -1.0         1.0          1.0          1.0          
20.84        1.0          1.0          1.0          1.0          
20.85        0.0          1.0          1.0          1.0          
20.86        1.0          1.0          1.0          1.0          
20.87        0.0          1.0          1.0          1.0          
20.88        2.0          0.5          1.0          1.0          
20.89        0.0          1.0          1.0          1.0          
20.9         2.0          0.5          1.0          1.0          
20.91        1.0          1.0          1.0          1.0          
20.92        1.0          1.0          1.0          1.0          
20.93        0.0          1.0          1.0          1.0          
20.94        1.0          1.0          1.0          1.0          
20.95        1.0          1.0          1.0          1.0          
20.96        2.0          0.5          1.0          1.0          
20.97        1.0          1.0          1.0          1.0          
20.98        2.0          0.5          1.0          1.0          
20.99        0.0          1.0          1.0          1.0          
21.0         2.0          0.5          1.0          1.0          
21.01        1.0          1.0          1.0          1.0          
21.02        2.0          0.5          1.0          1.0          
21.03        1.0          1.0          1.0          1.0          
21.04        1.0          1.0          1.0          1.0          
21.05        0.0          1.0          1.0          1.0          
21.06        1.0          1.0          1.0          1.0          
21.07        0.0          1.0          1.0          1.0          
21.08        1.0          1.0          1.0          1.0          
21.09        0.0          1.0          1.0          1.0          
21.1         2.0          0.5          1.0          1.0          
21.11        1.0          1.0          1.0          1.0          
21.12        1.0          1.0          1.0          1.0          
21.13        0.0          1.0          1.0          1.0          
21.14        2.0          0.5          1.0          1.0          
21.15        0.0          1.0          1.0          1.0          
21.16        2.0          0.5          1.0          1.0          
21.17        1.0          1.0          1.0          1.0          
21.18        2.0          0.5          1.0          1.0          
21.19        1.0          1.0          1.0          1.0          
21.2         1.0          1.0          1.0          1.0          
21.21        0.0          1.0          1.0          1.0          
21.22        2.0          0.5          1.0          1.0          
21.23        1.0          1.0          1.0          1.0          
21.24        2.0          0.5          1.0          1.0          
21.25        0.0          1.0          1.0          1.0          
21.26        2.0          0.5          1.0          1.0          
21.27        1.0          1.0          1.0          1.0          
21.28        2.0          0.5          1.0          1.0          
21.29        1.0          1.0          1.0          1.0          
21.3         1.0          1.0          1.0          1.0          
21.31        1.0          1.0          1.0          1.0          
21.32        1.0          1.0          1.0          1.0          
21.33        0.0          1.0          1.0          1.0          
21.34        2.0          0.5          1.0          1.0          
21.35        1.0          1.0          1.0          1.0          
21.36        1.0          1.0          1.0          1.0          
21.37        0.0          1.0          1.0          1.0          
21.38        1.0          1.0          1.0          1.0          
21.39        0.0          1.0          1.0          1.0          
21.4         2.0          0.5          1.0          1.0          
21.41        1.0          1.0          1.0          1.0          
21.42        3.0          0.33333      1.0          1.0          
21.43        -2.0         1.0          1.0          1.0          
21.44        2.0          0.5          1.0          1.0          
21.45        1.0          1.0          1.0          1.0          
