# 2Theta,Counts
  36.11004, 252.57216
  36.13006, 250.12965
  36.15008, 242.60526
  36.17009, 246.10153
  36.19011, 236.57152
  36.21013, 241.55143
  36.23015, 253.91873
  36.25016, 252.14789
  36.27018, 234.72414
  36.29020, 251.93613
  36.31022, 246.46287
  36.33024, 243.66543
  36.35025, 242.56348
  36.37027, 239.41164
  36.39029, 245.80055
  36.41031, 251.06177
  36.43032, 245.29993
  36.45034, 230.89422
  36.47036, 236.97956
  36.49038, 245.28574
  36.51040, 238.76371
  36.53041, 240.37397
  36.55043, 239.75585
  36.57045, 243.47401
  36.59047, 246.33990
  36.61049, 244.45367
  36.63050, 239.31956
  36.65052, 236.37851
  36.67054, 243.74213
  36.69056, 233.19557
  36.71058, 242.59652
  36.73059, 238.78083
  36.75061, 246.97058
  36.77063, 235.82922
  36.79065, 239.17022
  36.81067, 238.70803
  36.83068, 233.85366
  36.85070, 246.04501
  36.87072, 231.73508
  36.89074, 231.18943
  36.91075, 238.19019
  36.93077, 246.50866
  36.95079, 233.11652
  36.97081, 239.78722
  36.99083, 235.72540
  37.01084, 240.15924
  37.03086, 248.78967
  37.05088, 229.15631
  37.07090, 232.54059
  37.09092, 237.49334
  37.11093, 231.66299
  37.13095, 228.11278
  37.15097, 241.64980
  37.17099, 241.17064
  37.19100, 228.16663
  37.21102, 230.86992
  37.23104, 243.92842
  37.25106, 249.76964
  37.27108, 237.61469
  37.29110, 232.27303
  37.31111, 233.43166
  37.33113, 230.84452
  37.35115, 227.91353
  37.37117, 222.84805
  37.39118, 224.99551
  37.41120, 228.44535
  37.43122, 240.81456
  37.45124, 237.01210
  37.47126, 247.50287
  37.49127, 244.13949
  37.51129, 246.77293
  37.53131, 215.68544
  37.55133, 223.97271
  37.57135, 231.80021
  37.59136, 231.30825
  37.61138, 236.32850
  37.63140, 235.47989
  37.65142, 223.41962
  37.67143, 227.20786
  37.69145, 235.99301
  37.71147, 231.93660
  37.73149, 228.53258
  37.75151, 235.54076
  37.77152, 226.77833
  37.79154, 229.10584
  37.81156, 234.17994
  37.83158, 229.28054
  37.85160, 226.79851
  37.87162, 221.65457
  37.89163, 229.97067
  37.91165, 233.47096
  37.93167, 216.34046
  37.95169, 233.62641
  37.97171, 227.43033
  37.99172, 232.47332
  38.01174, 223.10913
  38.03176, 228.70490
  38.05178, 216.93522
  38.07179, 219.56060
  38.09181, 230.82360
  38.11183, 220.61541
  38.13185, 233.70017
  38.15187, 224.43844
  38.17188, 225.63480
  38.19190, 227.65789
  38.21192, 217.29856
  38.23194, 223.78519
  38.25196, 220.25501
  38.27197, 213.72202
  38.29199, 224.06072
  38.31201, 219.16847
  38.33203, 215.66217
  38.35205, 216.77877
  38.37207, 222.39991
  38.39208, 222.59687
  38.41210, 224.34923
  38.43212, 217.70236
  38.45214, 228.39481
  38.47216, 232.56552
  38.49217, 226.37388
  38.51219, 228.29476
  38.53221, 216.13969
  38.55223, 222.22722
  38.57225, 227.52864
  38.59226, 229.13750
  38.61228, 229.31781
  38.63230, 225.47474
  38.65232, 226.90315
  38.67234, 224.91950
  38.69235, 226.01777
  38.71237, 230.66836
  38.73239, 224.64942
  38.75241, 216.69554
  38.77243, 220.15035
  38.79245, 214.84242
  38.81246, 222.18065
  38.83248, 224.81289
  38.85250, 212.15122
  38.87252, 216.06171
  38.89254, 207.84466
  38.91255, 221.59529
  38.93257, 214.74984
  38.95259, 225.25934
  38.97261, 215.08802
  38.99263, 214.28586
  39.01264, 213.54531
  39.03266, 218.25608
  39.05268, 223.95792
  39.07270, 226.39054
  39.09272, 230.74133
  39.11274, 221.43000
  39.13275, 214.92611
  39.15277, 221.69446
  39.17279, 218.45954
  39.19281, 220.54140
  39.21283, 237.96178
  39.23284, 218.88922
  39.25286, 215.48385
  39.27288, 217.75935
  39.29290, 228.12616
  39.31292, 220.17409
  39.33293, 225.35585
  39.35295, 212.77997
  39.37297, 211.25972
  39.39299, 222.23167
  39.41301, 208.09780
  39.43303, 223.16583
  39.45304, 216.39363
  39.47306, 214.90318
  39.49308, 222.97424
  39.51310, 226.25564
  39.53312, 214.17023
  39.55313, 224.60088
  39.57315, 214.99435
  39.59317, 220.25887
  39.61319, 222.00433
  39.63321, 215.94980
  39.65323, 210.99417
  39.67324, 213.73758
  39.69326, 209.27318
  39.71328, 213.03670
  39.73330, 218.88416
  39.75332, 216.38678
  39.77333, 213.93165
  39.79335, 211.42808
  39.81337, 214.44716
  39.83339, 210.98192
  39.85341, 212.60307
  39.87343, 216.93026
  39.89344, 200.91362
  39.91346, 216.87422
  39.93348, 218.74608
  39.95350, 213.92387
  39.97352, 208.33440
  39.99354, 205.22624
  40.01355, 222.29226
  40.03357, 216.89243
  40.05359, 212.54343
  40.07361, 214.80754
