lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma_sample,sigma_exp[1],sigma_exp[2],phase_mu[1],phase_mu[2],group_effect[1],group_effect[2],group_effect[3],group_effect[4],group_effect[5],group_effect[6],group_effect[7]
443.743,1.0,0.0761695,4.0,15.0,0.0,-439.483,0.00708595,0.00348449,0.0174632,0.116829,0.35154,-0.0118596,-0.00810925,-0.0033847,-0.00212596,0.00723423,0.0137357,0.00423904
443.391,0.981077,0.0761695,4.0,15.0,0.0,-438.826,0.00666676,0.00325614,0.01822,0.117357,0.359211,-0.01336,-0.00959741,-0.00369383,-0.00181501,0.00734365,0.0143978,0.00560074
442.049,0.984648,0.0761695,5.0,63.0,0.0,-434.217,0.0155277,0.00303525,0.0230956,0.112658,0.34628,-0.00933037,-0.00547214,0.000469832,0.00230967,0.0123054,0.0195115,0.010633
443.732,0.992571,0.0761695,5.0,31.0,0.0,-437.715,0.0148074,0.00292266,0.0208979,0.112315,0.348646,-0.0113298,-0.00351725,0.000342596,0.00459455,0.0144655,0.0190426,0.00883128
445.529,0.999854,0.0761695,6.0,63.0,0.0,-442.537,0.010828,0.00300278,0.0198075,0.115338,0.353291,-0.0142267,-0.00657388,-0.00267355,0.00153535,0.0112922,0.01585,0.00567859
443.875,0.986176,0.0761695,6.0,63.0,0.0,-442.329,0.00751762,0.00348216,0.0193815,0.119665,0.355464,-0.0147895,-0.0105812,-0.00668119,-0.0053765,0.00498297,0.0109955,0.00370597
444.276,0.971721,0.0761695,5.0,31.0,0.0,-440.707,0.011046,0.00297496,0.0214408,0.118908,0.357285,-0.0177534,-0.0106013,-0.0065131,-0.00181237,0.0078053,0.0123902,0.00166879
445.321,0.932558,0.0761695,4.0,23.0,0.0,-440.27,0.0108294,0.00286803,0.0206104,0.119113,0.357417,-0.0178465,-0.00998259,-0.00657895,-0.00367123,0.00715766,0.0126458,0.00153751
442.813,0.677729,0.0761695,6.0,63.0,0.0,-437.24,0.0113099,0.00370238,0.0180568,0.11121,0.34806,-0.00662274,-0.00285698,0.00159171,0.0026022,0.0136882,0.0199465,0.0115105
442.778,0.99644,0.0761695,5.0,31.0,0.0,-439.726,0.00946566,0.00356455,0.0194842,0.109916,0.346832,-0.00658953,-0.0011351,0.00411839,0.00630758,0.0168378,0.0190874,0.0115337
