#x	y_obs
40	117.754
40.01	94
40.02	112
40.03	77
40.04	103.789
40.05	92
40.06	102
40.07	77.815
40.08	105
40.09	96.834
40.1	108.843
40.11	95.852
40.12	110.861
40.13	92.871
40.14	102
40.15	87.889
40.16	110.899
40.17	97
40.18	105
40.19	99.928
40.2	107
40.21	97
40.22	102.958
40.23	98.968
40.24	117
40.25	91
40.26	101.999
40.27	100
40.28	113.02
40.29	94.03
40.3	110
40.31	98
40.32	105
40.33	92.074
40.34	105.085
40.35	94
40.36	108.107
40.37	101
40.38	105.13
40.39	100
40.4	118
40.41	90.165
40.42	101.176
40.43	97.188
40.44	106
40.45	87.212
40.46	103.224
40.47	100.237
40.48	109.249
40.49	96
40.5	102.274
40.51	100
40.52	102.3
40.53	90.313
40.54	106
40.55	93
40.56	110.352
40.57	89
40.58	118.379
40.59	98
40.6	112
40.61	93.42
40.62	111.434
40.63	96.448
40.64	114
40.65	94.477
40.66	108.491
40.67	95
40.68	103
40.69	100.536
40.7	102.551
40.71	85
40.72	124.581
40.73	64
40.74	102.612
40.75	88.628
40.76	112.644
40.77	98
40.78	108.676
40.79	101
40.8	102
40.81	87
40.82	115.742
40.83	95
40.84	104
40.85	60.793
40.86	113.811
40.87	93.828
40.88	107.846
40.89	98
40.9	113
40.91	88
40.92	102.919
40.93	97.937
40.94	103.956
40.95	100
40.96	112
40.97	99
40.98	121
40.99	96
41	108.073
41.01	93.093
41.02	114.113
41.03	95
41.04	114.155
41.05	91.176
41.06	116
41.07	99
41.08	115.24
41.09	88.262
41.1	111
41.11	94.307
41.12	105
41.13	94
41.14	105
41.15	101
41.16	107.422
41.17	98.446
41.18	107.47
41.19	82.494
41.2	105.519
41.21	97.544
41.22	109
41.23	92
41.24	103
41.25	93.646
41.26	109
41.27	98
41.28	112.725
41.29	88.753
41.3	107
41.31	74
41.32	112.836
41.33	99.864
41.34	102
41.35	90
41.36	103.952
41.37	89
41.38	103.011
41.39	96
41.4	104
41.41	100.104
41.42	113
41.43	82
41.44	120.2
41.45	100
41.46	109.266
41.47	101.299
41.48	106
41.49	101
41.5	108.402
41.51	97.437
41.52	104.473
41.53	100
41.54	110.545
41.55	97
41.56	105
41.57	102
41.58	107.696
41.59	90.735
41.6	105
41.61	92.815
41.62	102.855
41.63	102
41.64	103.938
41.65	87.98
41.66	110.022
41.67	101
41.68	108
41.69	99
41.7	106.199
41.71	94.244
41.72	112.291
41.73	102
41.74	107
41.75	89.433
41.76	103
41.77	91.532
41.78	117
41.79	95.633
41.8	103.685
41.81	90
41.82	107
41.83	102.844
41.84	114
41.85	102
41.86	114
41.87	100
41.88	122
41.89	101.186
41.9	108
41.91	97.307
41.92	113.368
41.93	100.431
41.94	132
41.95	86
41.96	106.625
41.97	79
41.98	104.76
41.99	100
42	118.899
42.01	96.97
42.02	122
42.03	103.116
42.04	110.191
42.05	95
42.06	113.344
42.07	82
42.08	104
42.09	89
42.1	117.667
42.11	96
42.12	108.836
42.13	100
42.14	108
42.15	93
42.16	106
42.17	97
42.18	108
42.19	85
42.2	112
42.21	93.68
42.22	106.782
42.23	102.887
42.24	106.993
42.25	103.102
42.26	119
42.27	102.325
42.28	110.44
42.29	91.557
42.3	114
42.31	97.799
42.32	105.923
42.33	93.05
42.34	112
42.35	100.312
42.36	118
42.37	101
42.38	115
42.39	103.87
42.4	109
42.41	101
42.42	113
42.43	101
42.44	106
42.45	104.803
42.46	116
42.47	102.142
42.48	119
42.49	90
42.5	112
42.51	74.871
42.52	110
42.53	93
42.54	120.465
42.55	100
42.56	128.886
42.57	106.104
42.58	110
42.59	105.558
42.6	108.794
42.61	99.036
42.62	112.285
42.63	107
42.64	115.803
42.65	106.073
42.66	125.35
42.67	105.635
42.68	118
42.69	96
42.7	110.541
42.71	92
42.72	125
42.73	106.53
42.74	109.88
42.75	101
42.76	129.613
42.77	109
42.78	127.394
42.79	109.859
42.8	113.283
42.81	100.72
42.82	123.173
42.83	91
42.84	122
42.85	94.627
42.86	114.147
42.87	94.686
42.88	130.245
42.89	111.825
42.9	123.428
42.91	101
42.92	121.732
42.93	108.408
42.94	118
42.95	112
42.96	128.61
42.97	102
42.98	127.239
42.99	110
43	126.015
43.01	116
43.02	121.957
43.03	115.998
43.04	120
43.05	113
43.06	145.437
43.07	119
43.08	134.033
43.09	113
43.1	153.913
43.11	108
43.12	128.123
43.13	114
43.14	135
43.15	120.68
43.16	143.764
43.17	128.981
43.18	136.342
43.19	119
43.2	158
43.21	128
43.22	143
43.23	115.844
43.24	146.415
43.25	123
43.26	156.429
43.27	145
43.28	169
43.29	148.156
43.3	164
43.31	150
43.32	163.312
43.33	148.012
43.34	176.542
43.35	169
43.36	185.748
43.37	178
43.38	215
43.39	192
43.4	218.688
43.41	218
43.42	262.572
43.43	250
43.44	307
43.45	321.536
43.46	399.197
43.47	434.542
43.48	545
43.49	608
43.5	780.268
43.51	880.458
43.52	1139
43.53	1306
43.54	1566.866
43.55	1744
43.56	2033.615
43.57	2190
43.58	2396.213
43.59	2466.31
43.6	2513.421
43.61	2456.744
43.62	2397.268
43.63	2235
43.64	2191
43.65	2023
43.66	1954.109
43.67	1784
43.68	1795
43.69	1646.22
43.7	1650
43.71	1494
43.72	1456
43.73	1304
43.74	1185
43.75	1008
43.76	906.562
43.77	750.088
43.78	699
43.79	562
43.8	488.747
43.81	415
43.82	374.652
43.83	295
43.84	291.617
43.85	254.013
43.86	250
43.87	192
43.88	216.279
43.89	200.503
43.9	209
43.91	184.891
43.92	201.371
43.93	177.343
43.94	197.489
43.95	167
43.96	181
43.97	168
43.98	182.315
43.99	142
44	180
44.01	164.073
44.02	165.225
44.03	163
44.04	167.702
44.05	127.987
44.06	163
44.07	151.578
44.08	173.866
44.09	143.476
44.1	170.406
44.11	157.658
44.12	172
44.13	161.146
44.14	169.398
44.15	155.006
44.16	190
44.17	149.354
44.18	177.137
44.19	172.36
44.2	182.056
44.21	170.26
44.22	191.015
44.23	168
44.24	193
44.25	169.117
44.26	202
44.27	180.066
44.28	220
44.29	213
44.3	227.748
44.31	213.937
44.32	236.77
44.33	228
44.34	258
44.35	264.511
44.36	282.052
44.37	291.381
44.38	361
44.39	306.176
44.4	377
44.41	374
44.42	470.924
44.43	514.646
44.44	627.512
44.45	725
44.46	926.382
44.47	1101
44.48	1362.209
44.49	1618.208
44.5	2054
44.51	2375
44.52	2872
44.53	3325
44.54	3854.632
44.55	4181.794
44.56	4547.04
44.57	4736
44.58	4953
44.59	4819
44.6	4805
44.61	4446
44.62	4303
44.63	3928.621
44.64	3782.409
44.65	3497
44.66	3448.221
44.67	3253.841
44.68	3195
44.69	2961.8
44.7	2845.288
44.71	2571
44.72	2384
44.73	2058
44.74	1873.881
44.75	1561.035
44.76	1346.992
44.77	1093
