x            y_obs        weight       y_calc       y_bkg        
40.0         109.0        0.00917      100.844      100.0        
40.01        99.696       0.01003      100.848      100.0        
40.02        103.704      0.00964      100.852      100.0        
40.03        95.0         0.01053      100.856      100.0        
40.04        113.0        0.00885      100.86       100.0        
40.05        90.729       0.01102      100.865      100.0        
40.06        101.738      0.00983      100.869      100.0        
40.07        98.746       0.01013      100.873      100.0        
40.08        111.0        0.00901      100.877      100.0        
40.09        100.0        0.01         100.882      100.0        
40.1         108.0        0.00926      100.886      100.0        
40.11        97.781       0.01023      100.89       100.0        
40.12        111.0        0.00901      100.895      100.0        
40.13        94.798       0.01055      100.899      100.0        
40.14        105.807      0.00945      100.904      100.0        
40.15        97.0         0.01031      100.908      100.0        
40.16        118.0        0.00847      100.913      100.0        
40.17        87.0         0.01149      100.917      100.0        
40.18        106.0        0.00943      100.922      100.0        
40.19        98.853       0.01012      100.927      100.0        
40.2         109.862      0.0091       100.931      100.0        
40.21        95.0         0.01053      100.936      100.0        
40.22        104.0        0.00962      100.941      100.0        
40.23        94.0         0.01064      100.945      100.0        
40.24        108.0        0.00926      100.95       100.0        
40.25        95.91        0.01043      100.955      100.0        
40.26        112.92       0.00886      100.96       100.0        
40.27        83.0         0.01205      100.965      100.0        
40.28        110.0        0.00909      100.97       100.0        
40.29        90.95        0.011        100.975      100.0        
40.3         103.96       0.00962      100.98       100.0        
40.31        77.97        0.01283      100.985      100.0        
40.32        118.981      0.0084       100.99       100.0        
40.33        100.0        0.01         100.995      100.0        
40.34        105.001      0.00952      101.001      100.0        
40.35        99.0         0.0101       101.006      100.0        
40.36        103.023      0.00971      101.011      100.0        
40.37        100.0        0.01         101.017      100.0        
40.38        107.0        0.00935      101.022      100.0        
40.39        95.055       0.01052      101.027      100.0        
40.4         117.066      0.00854      101.033      100.0        
40.41        93.0         0.01075      101.038      100.0        
40.42        103.088      0.0097       101.044      100.0        
40.43        98.099       0.01019      101.05       100.0        
40.44        104.111      0.00961      101.055      100.0        
40.45        97.122       0.0103       101.061      100.0        
40.46        106.0        0.00943      101.067      100.0        
40.47        101.0        0.0099       101.073      100.0        
40.48        108.0        0.00926      101.078      100.0        
40.49        95.0         0.01053      101.084      100.0        
