x            y_obs        weight       y_calc       y_bkg        
40.0         117.754      0.00849      100.877      100.0        
40.01        94.0         0.01064      100.881      100.0        
40.02        112.0        0.00893      100.886      100.0        
40.03        77.0         0.01299      100.89       100.0        
40.04        103.789      0.00963      100.894      100.0        
40.05        92.0         0.01087      100.899      100.0        
40.06        102.0        0.0098       100.903      100.0        
40.07        77.815       0.01285      100.908      100.0        
40.08        105.0        0.00952      100.912      100.0        
40.09        96.834       0.01033      100.917      100.0        
40.1         108.843      0.00919      100.921      100.0        
40.11        95.852       0.01043      100.926      100.0        
40.12        110.861      0.00902      100.931      100.0        
40.13        92.871       0.01077      100.935      100.0        
40.14        102.0        0.0098       100.94       100.0        
40.15        87.889       0.01138      100.945      100.0        
40.16        110.899      0.00902      100.949      100.0        
40.17        97.0         0.01031      100.954      100.0        
40.18        105.0        0.00952      100.959      100.0        
40.19        99.928       0.01001      100.964      100.0        
40.2         107.0        0.00935      100.969      100.0        
40.21        97.0         0.01031      100.974      100.0        
40.22        102.958      0.00971      100.979      100.0        
40.23        98.968       0.0101       100.984      100.0        
40.24        117.0        0.00855      100.989      100.0        
40.25        91.0         0.01099      100.994      100.0        
40.26        101.999      0.0098       100.999      100.0        
40.27        100.0        0.01         101.005      100.0        
40.28        113.02       0.00885      101.01       100.0        
40.29        94.03        0.01063      101.015      100.0        
40.3         110.0        0.00909      101.021      100.0        
40.31        98.0         0.0102       101.026      100.0        
40.32        105.0        0.00952      101.031      100.0        
40.33        92.074       0.01086      101.037      100.0        
40.34        105.085      0.00952      101.042      100.0        
40.35        94.0         0.01064      101.048      100.0        
40.36        108.107      0.00925      101.054      100.0        
40.37        101.0        0.0099       101.059      100.0        
40.38        105.13       0.00951      101.065      100.0        
40.39        100.0        0.01         101.071      100.0        
40.4         118.0        0.00847      101.076      100.0        
40.41        90.165       0.01109      101.082      100.0        
40.42        101.176      0.00988      101.088      100.0        
40.43        97.188       0.01029      101.094      100.0        
40.44        106.0        0.00943      101.1        100.0        
40.45        87.212       0.01147      101.106      100.0        
40.46        103.224      0.00969      101.112      100.0        
40.47        100.237      0.00998      101.118      100.0        
40.48        109.249      0.00915      101.125      100.0        
40.49        96.0         0.01042      101.131      100.0        
40.5         102.274      0.00978      101.137      100.0        
40.51        100.0        0.01         101.143      100.0        
40.52        102.3        0.00978      101.15       100.0        
40.53        90.313       0.01107      101.156      100.0        
40.54        106.0        0.00943      101.163      100.0        
40.55        93.0         0.01075      101.169      100.0        
40.56        110.352      0.00906      101.176      100.0        
40.57        89.0         0.01124      101.183      100.0        
40.58        118.379      0.00845      101.189      100.0        
40.59        98.0         0.0102       101.196      100.0        
40.6         112.0        0.00893      101.203      100.0        
40.61        93.42        0.0107       101.21       100.0        
40.62        111.434      0.00897      101.217      100.0        
40.63        96.448       0.01037      101.224      100.0        
40.64        114.0        0.00877      101.231      100.0        
40.65        94.477       0.01058      101.238      100.0        
40.66        108.491      0.00922      101.246      100.0        
40.67        95.0         0.01053      101.253      100.0        
40.68        103.0        0.00971      101.26       100.0        
40.69        100.536      0.00995      101.268      100.0        
40.7         102.551      0.00975      101.275      100.0        
40.71        85.0         0.01176      101.283      100.0        
40.72        124.581      0.00803      101.291      100.0        
40.73        64.0         0.01562      101.298      100.0        
40.74        102.612      0.00975      101.306      100.0        
40.75        88.628       0.01128      101.314      100.0        
40.76        112.644      0.00888      101.322      100.0        
40.77        98.0         0.0102       101.33       100.0        
40.78        108.676      0.0092       101.338      100.0        
40.79        101.0        0.0099       101.346      100.0        
40.8         102.0        0.0098       101.354      100.0        
40.81        87.0         0.01149      101.363      100.0        
40.82        115.742      0.00864      101.371      100.0        
40.83        95.0         0.01053      101.379      100.0        
40.84        104.0        0.00962      101.388      100.0        
40.85        60.793       0.01645      101.397      100.0        
40.86        113.811      0.00879      101.405      100.0        
40.87        93.828       0.01066      101.414      100.0        
40.88        107.846      0.00927      101.423      100.0        
40.89        98.0         0.0102       101.432      100.0        
40.9         113.0        0.00885      101.441      100.0        
40.91        88.0         0.01136      101.45       100.0        
40.92        102.919      0.00972      101.459      100.0        
40.93        97.937       0.01021      101.469      100.0        
40.94        103.956      0.00962      101.478      100.0        
40.95        100.0        0.01         101.488      100.0        
40.96        112.0        0.00893      101.497      100.0        
40.97        99.0         0.0101       101.507      100.0        
40.98        121.0        0.00826      101.517      100.0        
40.99        96.0         0.01042      101.526      100.0        
41.0         108.073      0.00925      101.536      100.0        
41.01        93.093       0.01074      101.547      100.0        
41.02        114.113      0.00876      101.557      100.0        
41.03        95.0         0.01053      101.567      100.0        
41.04        114.155      0.00876      101.577      100.0        
41.05        91.176       0.01097      101.588      100.0        
41.06        116.0        0.00862      101.599      100.0        
41.07        99.0         0.0101       101.609      100.0        
41.08        115.24       0.00868      101.62       100.0        
41.09        88.262       0.01133      101.631      100.0        
41.1         111.0        0.00901      101.642      100.0        
41.11        94.307       0.0106       101.653      100.0        
41.12        105.0        0.00952      101.665      100.0        
41.13        94.0         0.01064      101.676      100.0        
41.14        105.0        0.00952      101.688      100.0        
41.15        101.0        0.0099       101.699      100.0        
41.16        107.422      0.00931      101.711      100.0        
41.17        98.446       0.01016      101.723      100.0        
41.18        107.47       0.0093       101.735      100.0        
41.19        82.494       0.01212      101.747      100.0        
41.2         105.519      0.00948      101.759      100.0        
41.21        97.544       0.01025      101.772      100.0        
41.22        109.0        0.00917      101.784      100.0        
41.23        92.0         0.01087      101.797      100.0        
41.24        103.0        0.00971      101.81       100.0        
41.25        93.646       0.01068      101.823      100.0        
41.26        109.0        0.00917      101.836      100.0        
41.27        98.0         0.0102       101.849      100.0        
41.28        112.725      0.00887      101.863      100.0        
41.29        88.753       0.01127      101.876      100.0        
41.3         107.0        0.00935      101.89       100.0        
41.31        74.0         0.01351      101.904      100.0        
41.32        112.836      0.00886      101.918      100.0        
41.33        99.864       0.01001      101.932      100.0        
41.34        102.0        0.0098       101.947      100.0        
41.35        90.0         0.01111      101.961      100.0        
