#x, y_obs
40, 102
40.01, 100
40.02, 115
40.03, 92
40.04, 109.772
40.05, 98.781
40.06, 128
40.07, 95.798
40.08, 117
40.09, 99.816
40.1, 106.825
40.11, 100.834
40.12, 110.843
40.13, 95.852
40.14, 102.862
40.15, 91.871
40.16, 106
40.17, 96
40.18, 101.9
40.19, 88
40.2, 107
40.21, 100.929
40.22, 101
40.23, 96.949
40.24, 101
40.25, 81.969
40.26, 107
40.27, 100
40.28, 121
40.29, 93
40.3, 110
40.31, 84.032
40.32, 102
40.33, 84
40.34, 112.064
40.35, 99
40.36, 103.086
40.37, 81.097
40.38, 112
40.39, 98.12
40.4, 112.131
40.41, 98
40.42, 118
40.43, 92.166
40.44, 111.178
40.45, 84.19
40.46, 112
40.47, 99
40.48, 120
40.49, 95.238
40.5, 118.251
40.51, 93
40.52, 108
40.53, 97.289
40.54, 119
40.55, 85.315
40.56, 117.328
40.57, 100
40.58, 117
40.59, 100
40.6, 106
40.61, 95
40.62, 129
40.63, 98.422
40.64, 117.436
40.65, 96
40.66, 103
40.67, 87.479
40.68, 113.494
40.69, 96.508
40.7, 102.523
40.71, 98.538
40.72, 114.553
40.73, 95.568
40.74, 103.584
40.75, 100
40.76, 103.615
40.77, 91
40.78, 108
40.79, 99
40.8, 106.679
40.81, 98
40.82, 108
40.83, 94.728
40.84, 120
40.85, 73
40.86, 106.779
40.87, 98
40.88, 108
40.89, 100.832
40.9, 101.85
40.91, 98.868
40.92, 112.886
40.93, 97.904
40.94, 110
40.95, 98.941
40.96, 116
40.97, 97.979
40.98, 109.999
40.99, 84.018
41, 115
41.01, 101
41.02, 106
41.03, 100
41.04, 106.118
41.05, 97
41.06, 115
41.07, 87.181
41.08, 112
41.09, 99.224
41.1, 103
41.11, 101
41.12, 107.29
41.13, 86.312
41.14, 110.335
41.15, 86
41.16, 112
41.17, 98
41.18, 107
41.19, 99
41.2, 110.476
41.21, 84.501
41.22, 133
41.23, 78
41.24, 108
41.25, 97
41.26, 114
41.27, 94.653
41.28, 102
41.29, 100.706
41.3, 106
41.31, 95.761
41.32, 102
41.33, 88
41.34, 102
41.35, 82
41.36, 114.902
41.37, 92
41.38, 104
41.39, 96.991
41.4, 125.021
41.41, 98
41.42, 112.083
41.43, 102
41.44, 124.146
41.45, 97.178
41.46, 107
41.47, 93
41.48, 103.277
41.49, 100.31
41.5, 113.345
41.51, 95
41.52, 104
41.53, 98
41.54, 108.485
41.55, 96.522
41.56, 111.558
41.57, 91
41.58, 109.633
41.59, 101
41.6, 106.71
41.61, 100.75
41.62, 112
41.63, 101.829
41.64, 109
41.65, 92.912
41.66, 106.953
41.67, 102
41.68, 106
41.69, 101.082
41.7, 117
41.71, 99
41.72, 111
41.73, 102.263
41.74, 105.309
41.75, 89.356
41.76, 106.404
41.77, 98.453
41.78, 109
41.79, 91
41.8, 124
41.81, 90
41.82, 111
41.83, 100
41.84, 108.813
41.85, 91
41.86, 103
41.87, 100
41.88, 104
41.89, 91.094
41.9, 119.153
41.91, 100.212
41.92, 106.273
41.93, 101.334
41.94, 116.397
41.95, 103
41.96, 107
41.97, 96
41.98, 112.656
41.99, 99
42, 112.792
42.01, 102.862
42.02, 107.933
42.03, 99
42.04, 110
42.05, 103
42.06, 128
42.07, 97.305
42.08, 109.383
42.09, 92
42.1, 104.543
42.11, 86.626
42.12, 113
42.13, 101.795
42.14, 118.881
42.15, 98
42.16, 121.059
42.17, 92.151
42.18, 117.244
42.19, 97.339
42.2, 117.435
42.21, 93
42.22, 105
42.23, 95
42.24, 105.84
42.25, 93
42.26, 107.054
42.27, 101
42.28, 110
42.29, 103.39
42.3, 120
42.31, 104.626
42.32, 111.748
42.33, 104
42.34, 123
42.35, 100
42.36, 119.259
42.37, 93
42.38, 114
42.39, 103
42.4, 128.815
42.41, 105
42.42, 111
42.43, 100.264
42.44, 117
42.45, 98.58
42.46, 111.744
42.47, 94.911
42.48, 108
42.49, 80
42.5, 111.437
42.51, 90.621
42.52, 114
42.53, 81
42.54, 115
42.55, 106
42.56, 113.609
42.57, 104.821
42.58, 121.039
42.59, 103
42.6, 116
42.61, 101.728
42.62, 125
42.63, 98.219
42.64, 110
42.65, 98
42.66, 121.005
42.67, 106
42.68, 111.567
42.69, 94
42.7, 127
42.71, 86.473
42.72, 110
42.73, 109
42.74, 122.463
42.75, 97
42.76, 112
42.77, 104
42.78, 113.932
42.79, 107
42.8, 119.794
42.81, 103
42.82, 123.657
42.83, 101
42.84, 113.581
42.85, 101
42.86, 121.571
42.87, 99.094
42.88, 122.635
42.89, 112.197
42.9, 122.781
42.91, 112
42.92, 120
42.93, 104
42.94, 128
42.95, 85
42.96, 120.83
42.97, 99
42.98, 120
42.99, 107
43, 125
43.01, 104
43.02, 127
43.03, 107
43.04, 119.063
43.05, 100.169
43.06, 120
43.07, 115.553
43.08, 124.839
43.09, 118.193
43.1, 125
43.11, 118.128
43.12, 130.72
43.13, 117.405
43.14, 126.19
43.15, 115.084
43.16, 132.094
43.17, 125.233
43.18, 143
43.19, 119
43.2, 136.537
43.21, 124.316
43.22, 142.294
43.23, 129.494
43.24, 152.936
43.25, 139
43.26, 147.659
43.27, 124
43.28, 163
43.29, 146
43.3, 166
43.31, 138.569
43.32, 165
43.33, 157.709
43.34, 176.921
43.35, 171
43.36, 183
43.37, 175
43.38, 211.627
43.39, 186
43.4, 213.937
43.41, 194.969
43.42, 259.658
43.43, 233.754
43.44, 281.967
43.45, 312.087
43.46, 374.968
43.47, 418.314
43.48, 531.209
43.49, 593
43.5, 740.018
43.51, 871
43.52, 1099.697
43.53, 1271
43.54, 1506.276
43.55, 1675.597
43.56, 1990
43.57, 2122.546
43.58, 2320
43.59, 2336.912
43.6, 2421.732
43.61, 2283
43.62, 2361.552
43.63, 2158
43.64, 2101.742
43.65, 1933
43.66, 1888.724
43.67, 1787.22
43.68, 1757
43.69, 1610.525
43.7, 1587
43.71, 1477
43.72, 1416.013
43.73, 1190
43.74, 1170.446
43.75, 980
43.76, 893.035
43.77, 740.192
43.78, 662
43.79, 543
43.8, 476.633
43.81, 399
43.82, 358.203
43.83, 295.174
43.84, 320.222
43.85, 221.651
43.86, 254
43.87, 214
43.88, 229
43.89, 199
43.9, 218.038
43.91, 175.06
43.92, 205
43.93, 172.319
43.94, 203
43.95, 165
43.96, 177.381
43.97, 160.233
43.98, 175.678
43.99, 165
44, 170.122
44.01, 160
44.02, 167.36
44.03, 123
44.04, 171
44.05, 148.588
44.06, 172
44.07, 160.456
44.08, 177
44.09, 160.611
44.1, 173
44.11, 163.037
44.12, 171
44.13, 145.76
44.14, 169
44.15, 147.852
44.16, 170
44.17, 170.434
44.18, 177.336
44.19, 164
44.2, 181.499
44.21, 178
44.22, 184
44.23, 183.212
44.24, 206
44.25, 193.254
44.26, 205.946
44.27, 189
44.28, 239
44.29, 213.826
44.3, 222
44.31, 213.216
44.32, 248.297
44.33, 231
44.34, 265.698
44.35, 258.951
44.36, 281
44.37, 289
44.38, 327
44.39, 339.651
44.4, 373
44.41, 395
44.42, 488
44.43, 493.326
44.44, 627.697
44.45, 745
44.46, 951
44.47, 1082.21
44.48, 1398
44.49, 1661
44.5, 2120
44.51, 2434.108
44.52, 2927
44.53, 3376
44.54, 3925.732
44.55, 4223.181
44.56, 4612
44.57, 4797
44.58, 4941
44.59, 4766.551
44.6, 4746
44.61, 4450.422
44.62, 4281
44.63, 3986
44.64, 3905
44.65, 3545
44.66, 3493
44.67, 3296
44.68, 3332.804
44.69, 3050
44.7, 2890.941
44.71, 2646
44.72, 2453.042
44.73, 2097.666
44.74, 1878
44.75, 1557
44.76, 1441
44.77, 1102.316
44.78, 978
44.79, 756
44.8, 671
44.81, 543
44.82, 507
44.83, 394
44.84, 379
44.85, 322.394
44.86, 325.21
44.87, 284.216
44.88, 273
44.89, 250.233
44.9, 259
44.91, 222
44.92, 226.21
44.93, 193.164
44.94, 218
44.95, 195.835
44.96, 198
44.97, 168.344
44.98, 200.531
44.99, 172.525
45, 180
45.01, 147.594
45.02, 170
45.03, 162.98
45.04, 179
45.05, 156
45.06, 158.982
45.07, 150
45.08, 152.47
45.09, 137.167
45.1, 154.132
45.11, 146
45.12, 159.78
45.13, 122
45.14, 148.264
45.15, 130
45.16, 164
45.17, 126.79
45.18, 138.264
45.19, 127.869
45.2, 136.596
45.21, 130.438
45.22, 136.385
45.23, 124.433
45.24, 150.573
45.25, 128
45.26, 138
45.27, 124
45.28, 129
45.29, 115
45.3, 140
45.31, 122
45.32, 146.429
45.33, 115
45.34, 136
45.35, 115
45.36, 126
45.37, 118.711
45.38, 128
45.39, 105.725
45.4, 128
45.41, 109.885
45.42, 129
45.43, 117.178
45.44, 119
45.45, 98.591
45.46, 125.839
45.47, 100.112
45.48, 147.41
45.49, 113.732
45.5, 116.077
45.51, 105.442
45.52, 114.829
45.53, 107
45.54, 129
45.55, 109
45.56, 117
45.57, 92
45.58, 125.532
45.59, 95
45.6, 119
45.61, 112
45.62, 135.65
45.63, 99.213
45.64, 119.788
45.65, 108
45.66, 113.975
45.67, 109.585
45.68, 112
45.69, 95
45.7, 127
45.71, 73.129
45.72, 112.788
45.73, 108
45.74, 133.135
45.75, 99.82
45.76, 139
45.77, 106
45.78, 126.924
45.79, 108
45.8, 111.363
45.81, 95
45.82, 111
45.83, 99
45.84, 116.321
45.85, 91.076
45.86, 109
45.87, 104
45.88, 111.374
45.89, 106.151
45.9, 114
45.91, 102
45.92, 116.51
45.93, 86.306
45.94, 113.107
45.95, 101
45.96, 109
45.97, 106
45.98, 112.351
45.99, 94
46, 115.997
46.01, 104.825
46.02, 130
46.03, 104
46.04, 116.332
46.05, 92.174
46.06, 116.019
46.07, 97.867
46.08, 107.719
46.09, 101.573
46.1, 106
46.11, 100.29
46.12, 113.153
46.13, 85.018
46.14, 114.886
46.15, 101
46.16, 113
46.17, 102.505
46.18, 116
46.19, 99.262
46.2, 117.144
46.21, 101
46.22, 107
46.23, 90.803
46.24, 120.694
46.25, 97.586
46.26, 110.48
46.27, 90
46.28, 113.274
46.29, 101.174
46.3, 109.075
46.31, 96
46.32, 112.883
46.33, 99
46.34, 122
46.35, 97.608
46.36, 125
46.37, 94
46.38, 127
46.39, 99
46.4, 127
46.41, 96
46.42, 105
46.43, 100
46.44, 109.858
46.45, 97.782
46.46, 114.706
46.47, 94.632
46.48, 104.559
46.49, 100
46.5, 121.417
46.51, 95
46.52, 123.278
46.53, 95
46.54, 105.144
46.55, 87
46.56, 111
46.57, 94
46.58, 110
46.59, 91
46.6, 122
46.61, 96
46.62, 107.648
46.63, 100.59
46.64, 121.533
46.65, 94.476
46.66, 106
46.67, 100
46.68, 104.312
46.69, 100
46.7, 118
46.71, 91.155
46.72, 108
46.73, 100.054
46.74, 108
46.75, 101.956
46.76, 112
46.77, 99
46.78, 113.814
46.79, 89.768
46.8, 109
46.81, 96
46.82, 104.633
46.83, 99.59
46.84, 113
46.85, 99.505
46.86, 103.463
46.87, 90.421
46.88, 105
46.89, 99.341
46.9, 113.301
46.91, 81.262
46.92, 106.223
46.93, 79.185
46.94, 111
46.95, 102
46.96, 107
46.97, 96
46.98, 117
46.99, 90
47, 119.933
47.01, 78.899
47.02, 103.865
47.03, 98
47.04, 103
47.05, 98.766
47.06, 104
47.07, 96.702
47.08, 102.671
47.09, 102
47.1, 105.61
47.11, 87
47.12, 121
47.13, 99.521
47.14, 105.492
47.15, 97.463
47.16, 110.435
47.17, 84.407
47.18, 105.38
47.19, 93
47.2, 110.326
47.21, 100.3
47.22, 105
47.23, 100.248
47.24, 103.222
47.25, 96.197
47.26, 110
47.27, 97.148
47.28, 108.124
47.29, 95.1
47.3, 112.076
47.31, 95
47.32, 106
47.33, 96.007
47.34, 113
47.35, 90.963
47.36, 103
47.37, 98.919
47.38, 108
47.39, 101.877
47.4, 127
47.41, 98.835
47.42, 108
47.43, 95.795
47.44, 106.775
