# 2Theta,Counts
  10.72865, 448.45657
  10.74867, 500.40552
  10.76869, 506.18354
  10.78870, 456.74022
  10.80872, 469.66870
  10.82873, 448.90087
  10.84875, 457.81916
  10.86877, 490.74629
  10.88878, 469.14503
  10.90880, 470.58187
  10.92882, 511.81000
  10.94883, 488.25182
  10.96885, 458.53250
  10.98886, 440.39928
  11.00888, 471.62798
  11.02890, 441.31092
  11.04891, 455.32416
  11.06893, 476.76036
  11.08895, 475.06945
  11.10896, 470.73840
  11.12898, 436.40742
  11.14899, 460.60815
  11.16901, 465.77607
  11.18903, 469.58993
  11.20904, 450.69701
  11.22906, 442.92153
  11.24908, 466.66149
  11.26909, 470.06869
  11.28911, 467.74419
  11.30912, 472.96482
  11.32914, 463.74447
  11.34916, 445.16200
  11.36917, 449.28247
  11.38919, 469.13596
  11.40921, 489.72633
  11.42922, 477.60073
  11.44924, 416.39213
  11.46925, 458.65105
  11.48927, 477.33343
  11.50929, 463.81238
  11.52930, 470.38448
  11.54932, 461.53544
  11.56934, 468.60766
  11.58935, 445.38817
  11.60937, 435.27685
  11.62938, 469.75409
  11.64940, 448.85672
  11.66942, 453.61415
  11.68943, 490.57065
  11.70945, 466.80131
  11.72947, 463.52803
  11.74948, 460.41773
  11.76950, 479.31461
  11.78951, 476.65499
  11.80953, 472.72574
  11.82955, 454.05019
  11.84956, 438.17526
  11.86958, 462.19691
  11.88960, 479.74078
  11.90961, 482.28449
  11.92963, 471.39005
  11.94965, 469.36582
  11.96966, 445.19483
  11.98968, 442.55608
  12.00969, 468.91844
  12.02971, 458.59236
  12.04973, 463.76664
  12.06974, 470.09308
  12.08976, 443.86110
  12.10978, 423.41524
  12.12979, 456.01382
  12.14981, 471.39632
  12.16982, 484.99399
  12.18984, 452.60371
  12.20986, 448.71467
  12.22987, 456.74337
  12.24989, 447.47324
  12.26991, 457.18334
  12.28992, 467.11659
  12.30994, 483.30872
  12.32995, 498.74638
  12.34997, 455.96300
  12.36999, 455.97705
  12.39000, 461.68019
  12.41002, 439.46004
  12.43004, 443.15192
  12.45005, 443.94672
  12.47007, 436.35646
  12.49008, 431.12779
  12.51010, 438.30990
  12.53012, 463.63626
  12.55013, 466.30311
  12.57015, 445.98719
  12.59017, 458.31755
  12.61018, 467.52038
  12.63020, 467.78799
  12.65022, 488.95487
  12.67023, 461.25086
  12.69025, 446.50209
  12.71026, 470.78598
  12.73028, 420.45563
  12.75030, 455.37137
  12.77031, 456.58923
  12.79033, 467.49447
  12.81035, 424.05178
  12.83036, 444.22693
  12.85038, 442.40116
  12.87039, 450.19648
  12.89041, 443.21888
  12.91043, 442.88563
  12.93044, 443.93912
  12.95046, 438.30887
  12.97048, 451.73666
  12.99049, 450.75589
  13.01051, 440.07320
  13.03052, 441.29177
  13.05054, 441.90232
  13.07056, 436.75284
  13.09057, 454.14388
  13.11059, 451.31641
  13.13061, 466.48074
  13.15062, 475.99024
  13.17064, 464.66128
  13.19066, 434.17820
  13.21067, 439.53564
  13.23069, 465.32920
  13.25070, 444.10350
  13.27072, 454.37961
  13.29074, 435.10462
  13.31075, 445.47809
  13.33077, 453.43645
  13.35079, 445.77164
  13.37080, 465.79748
  13.39082, 458.20426
  13.41083, 461.37797
  13.43085, 458.88541
  13.45087, 466.48629
  13.47088, 437.55909
  13.49090, 428.73847
  13.51092, 439.48483
  13.53093, 443.27473
  13.55095, 460.09452
  13.57097, 442.63868
  13.59098, 422.35523
  13.61100, 428.17065
  13.63101, 428.13686
  13.65103, 422.73230
  13.67105, 444.81881
  13.69106, 435.34970
  13.71108, 459.79417
  13.73110, 436.98791
  13.75111, 435.31561
  13.77113, 466.81314
  13.79114, 427.53523
  13.81116, 441.48043
  13.83118, 445.64911
  13.85119, 434.08237
  13.87121, 448.61669
  13.89123, 438.09662
  13.91124, 453.45583
  13.93126, 461.31537
  13.95128, 444.03651
  13.97129, 436.92401
  13.99131, 415.04730
  14.01132, 434.70169
  14.03134, 432.83976
  14.05136, 431.10401
  14.07137, 449.36154
  14.09139, 440.03733
  14.11141, 436.58797
  14.13142, 448.80734
  14.15144, 445.24936
  14.17146, 408.99439
  14.19147, 439.82666
  14.21149, 421.58393
  14.23150, 439.96253
  14.25152, 427.90190
  14.27154, 419.66574
  14.29155, 431.90587
  14.31157, 465.43615
  14.33159, 429.39564
  14.35160, 443.45885
  14.37162, 432.88621
  14.39164, 440.77895
  14.41165, 451.76457
  14.43167, 443.75617
  14.45168, 465.04526
  14.47170, 431.71657
  14.49172, 443.17085
  14.51173, 428.25095
  14.53175, 446.86777
  14.55177, 462.13904
  14.57178, 435.22529
  14.59180, 444.52419
  14.61182, 437.83619
  14.63183, 445.83248
  14.65185, 414.62523
  14.67186, 425.25022
  14.69188, 413.90528
  14.71190, 450.15686
  14.73191, 429.15638
  14.75193, 447.76908
  14.77195, 454.69232
  14.79196, 425.40186
  14.81198, 411.52738
  14.83199, 433.93038
  14.85201, 421.18989
  14.87203, 432.85991
  14.89204, 437.83949
  14.91206, 435.73911
  14.93208, 415.50481
  14.95209, 423.58731
  14.97211, 426.62848
  14.99213, 428.05410
  15.01214, 419.09178
  15.03216, 440.05346
  15.05218, 418.04222
  15.07219, 422.86827
  15.09221, 437.77458
  15.11222, 433.77853
  15.13224, 415.82293
  15.15226, 418.77299
  15.17227, 441.27466
  15.19229, 406.67167
  15.21231, 408.70657
  15.23232, 409.33133
  15.25234, 447.14069
  15.27236, 420.12048
  15.29237, 438.61611
  15.31239, 428.38830
  15.33241, 439.07545
  15.35242, 421.87142
  15.37244, 421.60990
  15.39245, 427.94248
  15.41247, 407.11665
  15.43249, 397.14515
  15.45250, 430.66817
  15.47252, 415.58077
  15.49254, 441.61032
  15.51255, 420.17940
  15.53257, 427.68786
  15.55258, 414.95973
  15.57260, 427.10825
  15.59262, 422.09498
  15.61263, 442.12294
  15.63265, 437.73524
  15.65267, 409.43035
  15.67268, 410.15055
  15.69270, 406.29111
  15.71272, 419.31727
  15.73273, 435.39787
  15.75275, 424.95056
  15.77277, 417.00716
  15.79278, 415.54869
  15.81280, 408.31801
  15.83282, 405.20545
  15.85283, 404.76366
  15.87285, 419.79381
  15.89286, 421.27345
  15.91288, 409.20205
  15.93290, 454.42639
  15.95291, 445.39060
  15.97293, 410.57669
  15.99295, 418.51581
  16.01296, 430.53731
  16.03298, 417.83848
  16.05299, 387.45137
  16.07301, 432.78700
  16.09303, 431.05651
  16.11304, 416.26653
  16.13306, 429.23152
  16.15308, 380.07060
  16.17309, 406.66277
  16.19311, 408.78733
  16.21313, 427.45223
  16.23314, 431.09968
  16.25316, 437.78526
  16.27318, 443.33477
  16.29319, 422.99699
  16.31321, 412.78885
  16.33323, 438.33402
  16.35324, 414.60270
  16.37326, 463.52005
  16.39327, 418.08966
  16.41329, 426.63521
  16.43331, 420.15245
  16.45332, 409.09785
  16.47334, 403.79432
  16.49336, 416.67852
  16.51337, 418.38468
  16.53339, 407.74828
  16.55341, 397.58591
  16.57342, 415.45027
  16.59344, 424.99521
  16.61346, 418.19900
  16.63347, 428.85511
  16.65349, 434.39331
  16.67350, 401.89842
  16.69352, 393.57882
  16.71354, 415.38784
  16.73355, 405.22997
  16.75357, 395.64965
  16.77359, 398.20078
  16.79360, 418.33145
  16.81362, 402.83341
  16.83364, 387.76197
  16.85365, 399.86276
  16.87367, 409.82590
  16.89369, 406.89213
  16.91370, 412.67466
  16.93372, 413.11037
  16.95374, 391.81051
  16.97375, 399.60945
  16.99377, 402.54657
  17.01378, 404.66904
  17.03380, 385.28078
  17.05382, 405.02734
  17.07383, 395.08194
  17.09385, 416.08144
  17.11387, 413.98421
  17.13388, 405.36525
  17.15390, 405.55097
  17.17392, 404.64975
  17.19393, 383.81074
  17.21395, 382.74443
  17.23396, 402.09936
  17.25398, 423.15006
  17.27400, 386.53242
  17.29401, 398.47047
  17.31403, 408.26601
  17.33405, 396.15340
  17.35406, 396.60856
  17.37408, 400.13450
  17.39410, 409.28975
  17.41411, 388.88328
  17.43413, 389.64906
  17.45415, 385.04335
  17.47416, 382.90796
  17.49418, 411.21656
  17.51420, 409.39749
  17.53421, 373.06054
  17.55423, 408.78209
  17.57425, 396.40928
  17.59426, 399.33625
  17.61428, 395.58999
  17.63430, 379.24024
  17.65431, 377.04040
  17.67433, 397.83874
  17.69434, 401.59727
  17.71436, 389.55184
  17.73438, 399.83408
  17.75439, 388.86650
  17.77441, 395.50333
  17.79443, 397.35373
  17.81444, 376.81685
  17.83446, 404.66244
  17.85448, 379.27973
  17.87449, 392.16712
  17.89451, 397.34880
  17.91453, 382.22141
  17.93454, 404.77639
  17.95456, 400.95222
  17.97458, 388.65422
  17.99459, 392.43220
  18.01461, 386.52722
  18.03463, 410.40675
  18.05464, 381.31903
  18.07466, 410.23847
  18.09467, 417.30607
  18.11469, 389.64140
  18.13471, 398.14160
  18.15472, 385.45799
  18.17474, 393.45387
  18.19476, 387.32107
  18.21477, 386.40762
  18.23479, 390.97737
  18.25481, 398.42346
  18.27482, 385.91723
  18.29484, 391.27671
  18.31486, 386.73638
  18.33487, 380.42677
  18.35489, 378.62106
  18.37491, 394.89302
  18.39492, 382.98721
  18.41494, 387.80830
  18.43495, 386.11935
  18.45497, 402.68421
  18.47499, 401.59028
  18.49500, 405.50021
  18.51502, 384.45967
  18.53504, 386.17107
  18.55505, 381.05112
  18.57507, 385.43052
  18.59509, 392.07416
  18.61510, 384.66280
  18.63512, 382.90595
  18.65514, 374.24174
  18.67515, 390.83956
  18.69517, 384.30956
  18.71519, 388.05571
  18.73520, 376.90035
  18.75522, 380.74341
  18.77524, 411.52062
  18.79525, 382.93480
  18.81527, 388.89575
  18.83529, 396.94478
  18.85530, 397.83338
  18.87532, 384.28738
  18.89534, 372.64459
  18.91535, 401.04354
  18.93537, 375.68248
  18.95539, 387.45646
  18.97540, 398.17313
  18.99542, 391.38713
  19.01543, 382.67849
