# 2Theta,Counts
38.07,913
38.73,880
39.12,902
39.48,860
39.8,903
40.04,883
40.29,862
40.53,811
40.75,930
40.94,847
41.12,869
41.3,894
41.49,880
41.67,886
41.82,869
41.97,905
42.11,891
42.26,806
42.41,823
42.55,894
42.7,844
42.82,904
42.94,890
43.06,862
43.19,847
43.31,835
43.43,866
43.55,873
43.67,859
43.78,876
43.89,873
43.99,861
44.1,942
44.2,849
44.3,901
44.41,842
44.51,834
44.62,854
44.72,929
44.81,887
44.9,864
44.99,896
45.08,827
45.18,848
45.27,829
45.36,875
45.45,768
45.54,860
45.63,841
45.72,918
45.8,879
45.88,859
45.96,921
46.05,829
46.13,857
46.21,867
46.29,839
46.37,822
46.45,842
46.53,806
46.61,874
46.69,920
46.77,878
46.84,850
46.91,929
46.99,851
47.06,857
47.13,869
47.21,841
47.28,854
47.35,856
47.43,812
47.5,879
47.57,896
47.65,839
47.72,918
47.78,938
47.85,943
47.92,918
47.98,869
48.05,929
48.11,897
48.18,862
48.25,861
48.31,894
48.38,781
48.45,881
48.51,885
48.58,924
48.65,839
48.71,876
48.77,889
48.83,820
48.89,860
48.96,893
49.02,866
49.08,847
49.14,911
49.2,841
49.26,829
49.32,855
49.38,866
49.44,856
49.5,840
49.56,897
49.62,868
49.69,928
49.74,901
49.8,896
49.86,877
49.91,841
49.97,924
50.02,842
50.08,913
50.14,866
50.19,882
50.25,864
50.31,864
50.36,876
50.42,913
50.47,856
50.53,874
50.59,816
50.64,883
50.7,888
50.75,815
50.8,831
50.86,906
50.91,889
50.96,943
51.01,881
51.06,855
51.12,919
51.17,847
51.22,885
51.27,862
51.32,875
51.38,893
51.43,919
51.48,910
51.53,1018
51.59,990
51.64,1000
51.69,1030
51.74,1076
51.79,1031
51.84,933
51.89,1021
51.93,1002
51.98,877
52.03,916
52.08,920
52.13,910
52.18,877
52.23,898
52.28,897
52.32,976
52.37,884
52.42,928
52.47,937
52.52,996
52.57,964
52.62,1022
52.66,1160
52.71,1131
52.76,1132
52.8,1499
52.85,1688
52.9,2223
52.94,2616
52.99,3468
53.03,3895
53.08,4423
53.12,4717
53.17,4594
53.21,4349
53.26,3768
53.31,3077
53.35,2529
53.4,1917
53.44,1623
53.49,1317
53.53,1217
53.58,1097
53.63,1011
53.67,998
53.72,966
53.76,918
53.8,974
53.85,909
53.89,919
53.93,902
53.97,874
54.02,927
54.06,923
54.1,871
54.15,874
54.19,887
54.23,898
54.27,871
54.32,918
54.36,860
54.4,892
54.45,852
54.49,881
54.53,845
54.58,869
54.62,878
54.66,922
54.7,928
54.74,894
54.78,875
54.83,864
54.87,919
54.91,818
54.95,865
54.99,858
55.03,907
55.07,829
55.11,895
55.15,862
