Two Theta,Summed Intensity
39.03000000000001,1327346.143746013
39.050000000000004,1309486.6297226823
39.07000000000001,1339620.4341289368
39.09,1343989.8434781742
39.11000000000001,1331477.8433026355
39.13,1357651.587733762
39.150000000000006,1287385.5720166033
39.17,1282443.1073834763
39.190000000000005,1323138.8040849094
39.21000000000001,1349543.068794767
39.230000000000004,1310456.9787077908
39.25000000000001,1381628.2280365427
39.27,1382076.269557155
39.290000000000006,1318964.0366700983
39.31,1297624.815997763
39.330000000000005,1251751.7414761067
39.35,1333609.159017299
39.370000000000005,1305667.8042778857
39.39000000000001,1358510.0513776124
39.410000000000004,1337245.5494492925
39.43000000000001,1400330.2460174426
39.45,1301061.7660482563
39.470000000000006,1312009.3703986031
39.49,1363022.4156233782
39.510000000000005,1343726.769231168
39.53000000000001,1284768.1117603616
39.550000000000004,1331550.1442921949
39.57000000000001,1282023.1208295678
39.59,1314585.0702298048
39.61000000000001,1329257.0464407639
39.63,1318652.7980314563
39.650000000000006,1369933.3981722232
39.67,1340332.5946640887
39.690000000000005,1300866.337122953
39.71000000000001,1298872.8335619613
39.730000000000004,1269599.6547141732
39.75000000000001,1297911.0748689603
39.77,1303101.358906255
39.790000000000006,1299408.77056193
39.81,1327399.8351872945
39.830000000000005,1307074.4981458
39.85,1348454.9082220828
39.870000000000005,1288486.9162669524
39.89000000000001,1280685.780292659
39.910000000000004,1284649.073555802
39.93000000000001,1350426.6751364225
39.95,1397193.1528035814
39.970000000000006,1319357.3052725578
39.99,1379179.4843445548
40.010000000000005,1329188.4686181608
40.03000000000001,1316377.0115797736
40.050000000000004,1342614.6919045171
40.07000000000001,1353599.904371324
40.09,1371266.5418185832
40.11000000000001,1353778.0624722196
40.13,1323312.3461144087
40.150000000000006,1286204.9033713024
40.17,1294610.66885163
40.190000000000005,1317456.0964816504
40.21000000000001,1357875.997208804
40.230000000000004,1314827.8469473775
40.25000000000001,1307084.2741019314
40.27,1397645.7192011015
40.290000000000006,1393768.0886019396
40.31,1339831.5185003749
40.330000000000005,1321230.285019579
40.35,1360672.8041486165
40.370000000000005,1339711.8798871364
40.39000000000001,1396000.467523941
40.410000000000004,1361515.79292341
40.43000000000001,1340421.954546778
40.45,1398862.2179346452
40.470000000000006,1379416.3029915623
40.49,1363403.1140300028
40.510000000000005,1299986.8338114629
40.53000000000001,1344679.9742206854
40.550000000000004,1324373.3638770417
40.57000000000001,1318510.4058613463
40.59,1365349.1288774488
40.61000000000001,1350941.1581856064
40.63,1369960.704003387
40.650000000000006,1329165.048718811
40.67,1393462.1830320829
40.690000000000005,1342919.1510728004
40.71000000000001,1314376.9366086924
40.730000000000004,1327154.3327110852
40.75000000000001,1329375.4344608032
40.77,1337309.825572733
40.790000000000006,1329950.1713958231
40.81,1349601.0945489842
40.830000000000005,1352866.4551478913
40.85,1288356.5525883096
40.870000000000005,1311371.8655307726
40.89000000000001,1298451.6786862644
40.910000000000004,1271078.9824772973
40.93000000000001,1356850.2291171027
40.95,1348417.7892256735
40.970000000000006,1332222.2811440532
40.99,1298853.9155675098
41.010000000000005,1275244.7531343012
41.03000000000001,1331557.0927368293
41.050000000000004,1316988.9086469468
41.07000000000001,1397480.442116486
41.09,1357863.4784238404
41.11000000000001,1411609.4694886901
41.13,1354466.4840699772
41.150000000000006,1344363.5154169598
41.17,1318007.5302774962
41.190000000000005,1280739.8209569855
41.21,1323364.7217565686
41.230000000000004,1305607.6055194184
41.25000000000001,1354480.3088672
41.27,1394449.2400253376
41.290000000000006,1371729.4036040178
41.31,1357524.6743148947
41.330000000000005,1317577.3073218167
41.35,1345593.5560255535
41.370000000000005,1315149.9328004587
41.39000000000001,1326682.2090207331
41.410000000000004,1334913.6035975355
41.43000000000001,1330938.463150654
41.45,1341316.7621867962
41.470000000000006,1379039.2481820723
41.49,1337750.3663723615
41.510000000000005,1349525.7036507996
41.53000000000001,1368037.760753288
41.550000000000004,1368542.9063408868
41.57000000000001,1407421.2681073304
41.59,1368827.5317223186
41.61000000000001,1370513.3890712815
41.63,1367641.3357485915
41.650000000000006,1383734.7944155778
41.67,1363966.7187370632
41.690000000000005,1401748.634580228
41.71,1340403.5489377594
41.730000000000004,1407427.4114606674
41.75000000000001,1375877.7148866612
41.77,1347287.6240549108
41.790000000000006,1366927.8546933767
41.81,1409725.9234720336
41.830000000000005,1444337.6503977436
41.85,1382320.138084053
41.870000000000005,1422108.8544459261
41.89000000000001,1428291.9612026797
41.910000000000004,1457796.5233380897
41.93000000000001,1427269.003625087
41.95,1421139.7185160501
41.970000000000006,1390080.018316814
41.99,1436999.719931359
42.010000000000005,1393084.7677295003
42.03000000000001,1422509.1155039656
