x            y_obs        weight       y_calc       y_bkg        
1.959        62.095       0.0161       0.0          0.0          
1.968        63.211       0.01582      0.0          0.0          
1.977        66.986       0.01493      0.0          0.0          
1.986        60.802       0.01645      0.0          0.0          
1.995        61.878       0.01616      0.0          0.0          
2.005        62.827       0.01592      0.0          0.0          
2.014        64.363       0.01554      0.0          0.0          
2.023        64.222       0.01557      0.0          0.0          
2.032        61.346       0.0163       0.0          0.0          
2.041        58.176       0.01719      0.0          0.0          
2.05         58.322       0.01715      0.0          0.0          
2.059        57.908       0.01727      0.0          0.0          
2.069        57.672       0.01734      0.0          0.0          
2.078        57.786       0.01731      0.0          0.0          
2.087        56.68        0.01764      0.0          0.0          
2.096        59.007       0.01695      0.0          0.0          
2.105        60.588       0.0165       0.0          0.0          
2.114        60.418       0.01655      0.0          0.0          
2.123        58.62        0.01706      0.0          0.0          
2.133        57.27        0.01746      0.0          0.0          
2.142        59.538       0.0168       0.0          0.0          
2.151        57.642       0.01735      0.0          0.0          
2.16         55.231       0.01811      0.0          0.0          
2.169        55.545       0.018        0.0          0.0          
2.178        61.575       0.01624      0.0          0.0          
2.187        56.374       0.01774      0.0          0.0          
2.197        61.363       0.0163       0.0          0.0          
2.206        56.347       0.01775      0.0          0.0          
2.215        55.531       0.01801      0.0          0.0          
2.224        57.474       0.0174       0.0          0.0          
2.233        57.208       0.01748      0.0          0.0          
2.242        59.609       0.01678      0.0          0.0          
2.251        59.496       0.01681      0.0          0.0          
2.261        58.788       0.01701      0.0          0.0          
2.27         59.155       0.0169       0.0          0.0          
2.279        58.303       0.01715      0.0          0.0          
2.288        61.187       0.01634      0.0          0.0          
2.297        59.59        0.01678      0.0          0.0          
2.306        56.787       0.01761      0.0          0.0          
2.315        57.333       0.01744      0.0          0.0          
2.325        56.778       0.01761      0.0          0.0          
2.334        54.587       0.01832      0.0          0.0          
2.343        58.996       0.01695      0.0          0.0          
2.352        57.974       0.01725      0.0          0.0          
2.361        59.778       0.01673      0.0          0.0          
2.37         60.425       0.01655      0.0          0.0          
2.379        57.814       0.0173       0.0          0.0          
2.389        55.966       0.01787      0.0          0.0          
2.398        58.869       0.01699      0.0          0.0          
2.407        60.353       0.01657      0.0          0.0          
2.416        58.849       0.01699      0.0          0.0          
2.425        56.284       0.01777      0.0          0.0          
2.434        59.379       0.01684      0.0          0.0          
2.443        58.625       0.01706      0.0          0.0          
2.453        58.839       0.017        0.0          0.0          
2.462        57.153       0.0175       0.0          0.0          
2.471        61.084       0.01637      0.0          0.0          
2.48         59.105       0.01692      0.0          0.0          
2.489        58.777       0.01701      0.0          0.0          
2.498        55.249       0.0181       0.0          0.0          
2.507        61.973       0.01614      0.0          0.0          
2.517        55.951       0.01787      0.0          0.0          
2.526        61.767       0.01619      0.0          0.0          
2.535        60.986       0.0164       0.0          0.0          
2.544        60.548       0.01652      0.0          0.0          
2.553        57.636       0.01735      0.0          0.0          
2.562        59.766       0.01673      0.0          0.0          
2.571        57.689       0.01733      0.0          0.0          
2.581        62.464       0.01601      0.0          0.0          
2.59         61.08        0.01637      0.0          0.0          
2.599        60.899       0.01642      0.0          0.0          
2.608        60.631       0.01649      0.0          0.0          
2.617        56.976       0.01755      0.0          0.0          
2.626        61.654       0.01622      0.0          0.0          
2.635        58.165       0.01719      0.0          0.0          
2.645        57.696       0.01733      0.0          0.0          
2.654        59.322       0.01686      0.0          0.0          
2.663        58.105       0.01721      0.0          0.0          
2.672        60.364       0.01657      0.0          0.0          
2.681        59.278       0.01687      0.0          0.0          
2.69         61.449       0.01627      0.0          0.0          
2.699        60.595       0.0165       0.0          0.0          
2.709        55.29        0.01809      0.0          0.0          
2.718        60.799       0.01645      0.0          0.0          
2.727        61.608       0.01623      0.0          0.0          
2.736        59.761       0.01673      0.0          0.0          
2.745        58.393       0.01713      0.0          0.0          
2.754        59.029       0.01694      0.0          0.0          
2.763        60.568       0.01651      0.0          0.0          
2.773        60.741       0.01646      0.0          0.0          
2.782        62.107       0.0161       0.0          0.0          
2.791        59.671       0.01676      0.0          0.0          
2.8          61.411       0.01628      0.0          0.0          
2.809        58.82        0.017        0.0          0.0          
2.818        60.489       0.01653      0.0          0.0          
2.827        59.785       0.01673      0.0          0.0          
2.837        60.946       0.01641      0.0          0.0          
2.846        60.55        0.01652      0.0          0.0          
2.855        61.068       0.01638      0.0          0.0          
2.864        58.106       0.01721      0.0          0.0          
2.873        60.285       0.01659      0.0          0.0          
2.882        63.096       0.01585      0.0          0.0          
2.891        60.686       0.01648      0.0          0.0          
2.901        61.326       0.01631      0.0          0.0          
2.91         60.332       0.01657      0.0          0.0          
2.919        59.917       0.01669      0.0          0.0          
2.928        59.214       0.01689      0.0          0.0          
2.937        60.896       0.01642      0.0          0.0          
2.946        62.352       0.01604      0.0          0.0          
2.955        60.195       0.01661      0.0          0.0          
2.965        62.236       0.01607      0.0          0.0          
2.974        58.771       0.01702      0.0          0.0          
2.983        61.356       0.0163       0.0          0.0          
2.992        62.756       0.01593      0.0          0.0          
3.001        61.224       0.01633      0.0          0.0          
3.01         61.68        0.01621      0.0          0.0          
3.019        60.788       0.01645      0.0          0.0          
3.029        60.19        0.01661      0.0          0.0          
3.038        62.63        0.01597      0.0          0.0          
3.047        61.461       0.01627      0.0          0.0          
