x            y_obs        weight       y_calc       y_bkg        
1.959        58.236       0.01717      0.0          0.0          
1.968        63.488       0.01575      0.0          0.0          
1.977        61.539       0.01625      0.0          0.0          
1.986        62.234       0.01607      0.0          0.0          
1.995        56.784       0.01761      0.0          0.0          
2.005        69.51        0.01439      0.0          0.0          
2.014        69.268       0.01444      0.0          0.0          
2.023        63.992       0.01563      0.0          0.0          
2.032        60.468       0.01654      0.0          0.0          
2.041        57.062       0.01752      0.0          0.0          
2.05         58.305       0.01715      0.0          0.0          
2.059        56.741       0.01762      0.0          0.0          
2.069        58.387       0.01713      0.0          0.0          
2.078        54.266       0.01843      0.0          0.0          
2.087        59.348       0.01685      0.0          0.0          
2.096        54.932       0.0182       0.0          0.0          
2.105        58.08        0.01722      0.0          0.0          
2.114        60.241       0.0166       0.0          0.0          
2.123        57.558       0.01737      0.0          0.0          
2.133        60.116       0.01663      0.0          0.0          
2.142        56.628       0.01766      0.0          0.0          
2.151        53.874       0.01856      0.0          0.0          
2.16         56.006       0.01786      0.0          0.0          
2.169        56.963       0.01756      0.0          0.0          
2.178        56.106       0.01782      0.0          0.0          
2.187        59.443       0.01682      0.0          0.0          
2.197        54.975       0.01819      0.0          0.0          
2.206        59.184       0.0169       0.0          0.0          
2.215        61.35        0.0163       0.0          0.0          
2.224        54.632       0.0183       0.0          0.0          
2.233        61.762       0.01619      0.0          0.0          
2.242        58.258       0.01717      0.0          0.0          
2.251        55.795       0.01792      0.0          0.0          
2.261        57.77        0.01731      0.0          0.0          
2.27         55.641       0.01797      0.0          0.0          
2.279        61.19        0.01634      0.0          0.0          
2.288        57.262       0.01746      0.0          0.0          
2.297        60.651       0.01649      0.0          0.0          
2.306        57.148       0.0175       0.0          0.0          
2.315        56.758       0.01762      0.0          0.0          
2.325        55.742       0.01794      0.0          0.0          
2.334        57.027       0.01754      0.0          0.0          
2.343        58.197       0.01718      0.0          0.0          
2.352        56.04        0.01784      0.0          0.0          
2.361        54.579       0.01832      0.0          0.0          
2.37         59.975       0.01667      0.0          0.0          
2.379        57.616       0.01736      0.0          0.0          
2.389        59.159       0.0169       0.0          0.0          
2.398        57.067       0.01752      0.0          0.0          
2.407        58.705       0.01703      0.0          0.0          
2.416        57.525       0.01738      0.0          0.0          
2.425        55.694       0.01796      0.0          0.0          
2.434        60.114       0.01664      0.0          0.0          
2.443        60.714       0.01647      0.0          0.0          
2.453        56.174       0.0178       0.0          0.0          
2.462        57.312       0.01745      0.0          0.0          
2.471        57.906       0.01727      0.0          0.0          
2.48         55.275       0.01809      0.0          0.0          
2.489        57.994       0.01724      0.0          0.0          
2.498        58.03        0.01723      0.0          0.0          
2.507        60.224       0.0166       0.0          0.0          
2.517        57.025       0.01754      0.0          0.0          
2.526        56.064       0.01784      0.0          0.0          
2.535        58.932       0.01697      0.0          0.0          
2.544        57.963       0.01725      0.0          0.0          
2.553        59.382       0.01684      0.0          0.0          
2.562        59.271       0.01687      0.0          0.0          
2.571        60.047       0.01665      0.0          0.0          
2.581        60.091       0.01664      0.0          0.0          
2.59         60.548       0.01652      0.0          0.0          
2.599        58.329       0.01714      0.0          0.0          
2.608        61.259       0.01632      0.0          0.0          
2.617        57.075       0.01752      0.0          0.0          
2.626        58.621       0.01706      0.0          0.0          
2.635        57.137       0.0175       0.0          0.0          
2.645        57.302       0.01745      0.0          0.0          
2.654        59.976       0.01667      0.0          0.0          
2.663        56.514       0.01769      0.0          0.0          
2.672        59.038       0.01694      0.0          0.0          
2.681        58.755       0.01702      0.0          0.0          
2.69         59.121       0.01691      0.0          0.0          
2.699        57.316       0.01745      0.0          0.0          
2.709        60.859       0.01643      0.0          0.0          
2.718        61.624       0.01623      0.0          0.0          
2.727        57.878       0.01728      0.0          0.0          
2.736        57.176       0.01749      0.0          0.0          
2.745        58.563       0.01708      0.0          0.0          
2.754        58.758       0.01702      0.0          0.0          
2.763        60.709       0.01647      0.0          0.0          
2.773        58.156       0.0172       0.0          0.0          
2.782        57.035       0.01753      0.0          0.0          
2.791        55.747       0.01794      0.0          0.0          
2.8          61.36        0.0163       0.0          0.0          
2.809        57.732       0.01732      0.0          0.0          
2.818        59.365       0.01684      0.0          0.0          
2.827        62.095       0.0161       0.0          0.0          
2.837        62.111       0.0161       0.0          0.0          
2.846        64.664       0.01546      0.0          0.0          
2.855        60.761       0.01646      0.0          0.0          
2.864        58.886       0.01698      0.0          0.0          
2.873        60.412       0.01655      0.0          0.0          
2.882        60.514       0.01653      0.0          0.0          
2.891        60.748       0.01646      0.0          0.0          
2.901        61.027       0.01639      0.0          0.0          
2.91         59.249       0.01688      0.0          0.0          
2.919        57.071       0.01752      0.0          0.0          
2.928        59.303       0.01686      0.0          0.0          
2.937        58.065       0.01722      0.0          0.0          
2.946        60.187       0.01661      0.0          0.0          
2.955        62.184       0.01608      0.0          0.0          
2.965        60.23        0.0166       0.0          0.0          
2.974        62.266       0.01606      0.0          0.0          
2.983        61.234       0.01633      0.0          0.0          
2.992        62.706       0.01595      0.0          0.0          
3.001        59.735       0.01674      0.0          0.0          
3.01         61.29        0.01632      0.0          0.0          
3.019        60.576       0.01651      0.0          0.0          
3.029        61.666       0.01622      0.0          0.0          
3.038        61.254       0.01633      0.0          0.0          
3.047        59.857       0.01671      0.0          0.0          
3.056        59.205       0.01689      0.0          0.0          
3.065        60.351       0.01657      0.0          0.0          
3.074        61.359       0.0163       0.0          0.0          
3.083        61.151       0.01635      0.0          0.0          
3.093        61.292       0.01632      0.0          0.0          
3.102        55.626       0.01798      0.0          0.0          
