#x	y_obs
1.959	58.126
1.968	65.981
1.977	63.413
1.986	61.359
1.995	56.796
2.005	63.67
2.014	64.858
2.023	65.935
2.032	60.672
2.041	62.995
2.05	59.433
2.059	60.349
2.069	57.411
2.078	57.833
2.087	57.628
2.096	61.482
2.105	55.731
2.114	57.634
2.123	56.671
2.133	56.909
2.142	59.637
2.151	60.114
2.16	58.773
2.169	60.167
2.178	61.251
2.187	61.195
2.197	56.52
2.206	58.781
2.215	54.932
2.224	58.496
2.233	53.757
2.242	61.263
2.251	55.809
2.261	60.813
2.27	59.957
2.279	64.571
2.288	61.154
2.297	60.742
2.306	58.034
2.315	58.735
2.325	59.377
2.334	58.557
2.343	58.096
2.352	59.218
2.361	57.966
2.37	56.395
2.379	59.265
2.389	60.132
2.398	56.374
2.407	59.087
2.416	54.804
2.425	59.969
2.434	57.788
2.443	58.265
2.453	60.27
2.462	56.691
2.471	57.719
2.48	60.693
2.489	58.823
2.498	57.361
2.507	59.03
2.517	56.401
2.526	55.76
2.535	60.161
2.544	60.322
2.553	59.099
2.562	62.19
2.571	59.731
2.581	63.054
2.59	58.887
2.599	62.2
2.608	59.379
2.617	61.344
2.626	57.283
2.635	59.601
2.645	58.483
2.654	62.662
2.663	60.12
2.672	61.4
2.681	59.193
2.69	61.025
2.699	59.328
2.709	59.189
2.718	59.837
2.727	60.269
2.736	60.871
2.745	59.436
2.754	61.484
2.763	58.365
2.773	59.006
2.782	58.9
2.791	61.809
2.8	58.859
2.809	60.189
2.818	63.149
2.827	61.286
2.837	58.62
2.846	59.111
2.855	61.114
2.864	63.335
2.873	61.709
2.882	60.284
2.891	58.258
2.901	61.948
2.91	61.934
2.919	61.414
2.928	62.936
2.937	61.704
2.946	61.667
2.955	58.303
2.965	60.085
2.974	60.502
2.983	60.441
2.992	59.318
3.001	63.019
3.01	60.914
3.019	62.156
3.029	60.58
3.038	61.211
3.047	61.797
3.056	61.113
3.065	62
3.074	62.93
3.083	61.872
3.093	63.69
3.102	61.823
3.111	60.051
3.12	60.659
3.129	62.37
3.138	61.454
3.147	63.236
3.157	65.135
3.166	67.237
3.175	64.693
3.184	67.262
3.193	68.381
3.202	70.876
3.211	80.618
3.221	82.698
3.23	78.799
3.239	71.137
3.248	65.067
3.257	64.983
3.266	62.531
3.275	62.364
