#x	y_obs
1.959	59.321
1.968	61.516
1.977	62.529
1.986	58.402
1.995	62.48
2.005	67.718
2.014	68.623
2.023	65.595
2.032	62.618
2.041	60.969
2.05	56.885
2.059	56.57
2.069	54.117
2.078	58.538
2.087	56.384
2.096	56.68
2.105	56.957
2.114	56.021
2.123	59.356
2.133	57.44
2.142	56.027
2.151	57.992
2.16	52.039
2.169	56.947
2.178	54.58
2.187	59.351
2.197	54.315
2.206	56.89
2.215	59.987
2.224	56.979
2.233	60.405
2.242	59.385
2.251	56.947
2.261	58.35
2.27	59.646
2.279	58.97
2.288	58.037
2.297	57.603
2.306	57.876
2.315	58.466
2.325	59.252
2.334	59.759
2.343	55.733
2.352	56.379
2.361	56.103
2.37	59.653
2.379	58.649
2.389	57.737
2.398	57.753
2.407	58.518
2.416	61.005
2.425	56.687
2.434	58.488
2.443	57.645
2.453	60.186
2.462	58.115
2.471	58.255
2.48	56.283
2.489	59.654
2.498	59.115
2.507	59.411
2.517	59.677
2.526	57.133
2.535	57.879
2.544	57.057
2.553	59.539
2.562	54.829
2.571	60.275
2.581	59.271
2.59	58.425
2.599	56.653
2.608	60.977
2.617	59.601
2.626	59.567
2.635	60.257
2.645	59.465
2.654	59.442
2.663	61.054
2.672	57.575
2.681	61.463
2.69	63.758
2.699	59.85
2.709	60.403
2.718	59.601
2.727	59.726
2.736	62.002
2.745	59.087
2.754	60.806
2.763	58.58
2.773	58.834
2.782	59.195
2.791	60.287
2.8	58.098
2.809	60.253
2.818	60.164
2.827	58.636
2.837	59.547
2.846	60.987
2.855	60.046
2.864	58.119
2.873	59.788
2.882	59.314
2.891	60.906
2.901	61.93
2.91	57.589
2.919	61.792
2.928	60.762
2.937	60.462
2.946	61.495
2.955	61.701
2.965	59.969
2.974	60.396
2.983	57.579
2.992	58.199
3.001	59.175
3.01	61.735
3.019	58.13
3.029	63.513
3.038	60.801
3.047	60.777
3.056	59.52
3.065	63.775
3.074	63.201
3.083	59.723
3.093	61.553
3.102	61.441
3.111	63.843
3.12	61.802
3.129	62.333
3.138	61.286
3.147	62.393
3.157	64.563
3.166	62.049
3.175	62.943
3.184	64.926
3.193	70.689
3.202	73.552
3.211	80.7
3.221	88.013
3.23	82.631
3.239	73.493
3.248	66.794
3.257	62.346
3.266	63.421
3.275	63.581
3.285	61.993
3.294	62.642
3.303	63.575
3.312	63.566
3.321	63.98
3.33	62.255
3.339	65.583
3.349	64.036
3.358	64.307
3.367	64.801
3.376	64.174
3.385	64.552
3.394	63.197
3.403	67.432
3.413	65.543
3.422	63.593
3.431	65.144
3.44	65.328
3.449	64.894
3.458	63.228
3.468	65.751
3.477	68.143
3.486	67.898
3.495	70.826
3.504	68.746
3.513	66.327
3.522	68.324
3.532	66.788
3.541	66.476
3.55	68.206
3.559	67.785
3.568	70.828
3.577	68.869
3.586	68.884
3.596	71.995
3.605	69.159
3.614	70.246
3.623	71.066
3.632	71.854
3.641	71.209
3.65	74.946
3.66	71.442
3.669	73.794
3.678	72.872
3.687	75.203
3.696	79.96
3.705	90.816
3.714	100.13
3.724	99.382
3.733	95.028
3.742	87.865
3.751	81.642
3.76	83.869
3.769	83.257
3.778	84.409
3.788	88.181
3.797	85.442
3.806	86.342
3.815	89.344
3.824	91.079
3.833	94.761
3.842	97.066
3.852	101.656
3.861	104.465
3.87	113.523
3.879	120.955
3.888	133.544
3.897	150.411
3.906	181.02
3.916	250.909
3.925	430.415
3.934	963.647
3.943	2082.715
3.952	3475.673
3.961	2805.6
3.971	1515.567
3.98	954.965
3.989	1217.398
3.998	2284.078
4.007	4371.483
4.016	6848.052
4.025	8459.247
4.035	8431.863
4.044	7130.015
4.053	4908.474
4.062	2757.058
4.071	1371.223
4.08	681.932
4.089	399.493
4.099	265.219
4.108	207.26
4.117	172.715
4.126	150.472
4.135	138.143
4.144	128.711
4.153	115.939
4.163	113.75
4.172	107.507
4.181	102.706
4.19	100.46
4.199	94.907
4.208	91.312
4.217	91.867
4.227	88.164
4.236	85.714
4.245	88.27
4.254	85.566
4.263	83.284
4.272	82.105
4.281	81.793
4.291	81.74
4.3	80.545
4.309	78.288
4.318	77.337
4.327	78.652
4.336	77.347
4.346	81.455
4.355	78.061
4.364	77.874
4.373	78.01
4.382	75.889
4.391	80.958
4.4	75.46
4.41	77.04
4.419	78.736
4.428	77.735
4.437	79.904
4.446	81.175
4.455	83.452
4.464	83.695
4.474	85.356
4.483	90.251
4.492	93.623
4.501	102.596
4.51	118.785
4.519	146.959
4.528	209.374
4.538	337.072
4.547	554.909
4.556	916.661
4.565	1091.817
4.574	870.122
4.583	515.599
4.593	292.126
4.602	180.489
4.611	130.971
4.62	104.532
4.629	93.548
4.638	84.95
4.647	82.819
4.657	80.258
4.666	78.437
4.675	75.298
4.684	72.58
4.693	72.799
4.702	71.786
4.711	70.916
4.721	69.832
4.73	68.967
4.739	69.321
4.748	68.501
4.757	68.162
4.766	69.77
4.775	69.485
4.785	69.975
4.794	68.943
4.803	68.557
4.812	70.871
4.821	68.546
4.83	65.109
4.84	68.318
4.849	66.006
4.858	66.965
4.867	65.785
4.876	66.182
4.885	67.485
4.894	68.821
4.904	65.742
4.913	65.162
4.922	66.602
4.931	65.799
4.94	66.627
4.949	69.194
4.958	66.136
4.968	68.035
4.977	65.109
4.986	67.119
4.995	67.791
