#x	y_obs
1.959	58.632
1.968	62.076
1.977	62.428
1.986	57.923
1.995	56.725
2.005	62.935
2.014	65.078
2.023	64.324
2.032	61.19
2.041	61.496
2.05	58.279
2.059	59.725
2.069	53.461
2.078	55.908
2.087	55.396
2.096	55.048
2.105	58.423
2.114	56.707
2.123	56.633
2.133	57.061
2.142	59.737
2.151	57.83
2.16	59.624
2.169	56.427
2.178	59.133
2.187	59.031
2.197	54.81
2.206	54.855
2.215	57.368
2.224	56.26
2.233	57.275
2.242	58.408
2.251	55.386
2.261	58.728
2.27	58.348
2.279	62.025
2.288	62.366
2.297	59.49
2.306	59.28
2.315	58.968
2.325	58.143
2.334	55.199
2.343	54.267
2.352	58.286
2.361	57.553
2.37	59.751
2.379	55.648
2.389	55.455
2.398	59.791
2.407	58.051
2.416	56.691
2.425	59.424
2.434	60.846
2.443	57.371
2.453	56.815
2.462	56.153
2.471	57.447
2.48	58.436
2.489	59.634
2.498	58.99
2.507	56.713
2.517	57.429
2.526	59.411
2.535	58.032
2.544	57.049
2.553	56.794
2.562	59.214
2.571	59.113
2.581	59.431
2.59	58.149
2.599	57.663
2.608	59.185
2.617	58.228
2.626	59.813
2.635	58.941
2.645	58.853
2.654	62.207
2.663	60.442
2.672	58.309
2.681	60.128
2.69	59.725
2.699	55.309
2.709	59.651
2.718	60.103
2.727	59.635
2.736	56.999
2.745	57.156
2.754	57.387
2.763	59.162
2.773	60.507
2.782	57.948
2.791	59.192
2.8	57.989
2.809	58.972
2.818	58.182
2.827	60.154
2.837	57.583
2.846	61.471
2.855	64.112
2.864	61.971
2.873	60.346
2.882	58.104
2.891	57.82
2.901	61.308
2.91	60.809
2.919	60.274
2.928	59.629
2.937	59.003
2.946	59.753
2.955	59.738
2.965	60.926
2.974	62.388
2.983	57.336
2.992	60.028
3.001	60.958
3.01	64.872
3.019	61.263
3.029	61.121
3.038	58.879
3.047	60.897
3.056	63.168
3.065	59.574
3.074	59.948
3.083	63.73
3.093	61.685
3.102	61.384
3.111	64.414
3.12	59.895
3.129	60.68
3.138	63.35
3.147	59.138
3.157	62.242
3.166	61.861
3.175	61.762
3.184	66.93
