x            y_obs        weight       y_calc       y_bkg        
1.959        59.321       0.01686      0.0          0.0          
1.968        61.516       0.01626      0.0          0.0          
1.977        62.529       0.01599      0.0          0.0          
1.986        58.402       0.01712      0.0          0.0          
1.995        62.48        0.01601      0.0          0.0          
2.005        67.718       0.01477      0.0          0.0          
2.014        68.623       0.01457      0.0          0.0          
2.023        65.595       0.01525      0.0          0.0          
2.032        62.618       0.01597      0.0          0.0          
2.041        60.969       0.0164       0.0          0.0          
2.05         56.885       0.01758      0.0          0.0          
2.059        56.57        0.01768      0.0          0.0          
2.069        54.117       0.01848      0.0          0.0          
2.078        58.538       0.01708      0.0          0.0          
2.087        56.384       0.01774      0.0          0.0          
2.096        56.68        0.01764      0.0          0.0          
2.105        56.957       0.01756      0.0          0.0          
2.114        56.021       0.01785      0.0          0.0          
2.123        59.356       0.01685      0.0          0.0          
2.133        57.44        0.01741      0.0          0.0          
2.142        56.027       0.01785      0.0          0.0          
2.151        57.992       0.01724      0.0          0.0          
2.16         52.039       0.01922      0.0          0.0          
2.169        56.947       0.01756      0.0          0.0          
2.178        54.58        0.01832      0.0          0.0          
2.187        59.351       0.01685      0.0          0.0          
2.197        54.315       0.01841      0.0          0.0          
2.206        56.89        0.01758      0.0          0.0          
2.215        59.987       0.01667      0.0          0.0          
2.224        56.979       0.01755      0.0          0.0          
2.233        60.405       0.01655      0.0          0.0          
2.242        59.385       0.01684      0.0          0.0          
2.251        56.947       0.01756      0.0          0.0          
2.261        58.35        0.01714      0.0          0.0          
2.27         59.646       0.01677      0.0          0.0          
2.279        58.97        0.01696      0.0          0.0          
2.288        58.037       0.01723      0.0          0.0          
2.297        57.603       0.01736      0.0          0.0          
2.306        57.876       0.01728      0.0          0.0          
2.315        58.466       0.0171       0.0          0.0          
2.325        59.252       0.01688      0.0          0.0          
2.334        59.759       0.01673      0.0          0.0          
2.343        55.733       0.01794      0.0          0.0          
2.352        56.379       0.01774      0.0          0.0          
2.361        56.103       0.01782      0.0          0.0          
2.37         59.653       0.01676      0.0          0.0          
2.379        58.649       0.01705      0.0          0.0          
2.389        57.737       0.01732      0.0          0.0          
2.398        57.753       0.01732      0.0          0.0          
2.407        58.518       0.01709      0.0          0.0          
2.416        61.005       0.01639      0.0          0.0          
2.425        56.687       0.01764      0.0          0.0          
2.434        58.488       0.0171       0.0          0.0          
2.443        57.645       0.01735      0.0          0.0          
2.453        60.186       0.01662      0.0          0.0          
2.462        58.115       0.01721      0.0          0.0          
2.471        58.255       0.01717      0.0          0.0          
2.48         56.283       0.01777      0.0          0.0          
2.489        59.654       0.01676      0.0          0.0          
2.498        59.115       0.01692      0.0          0.0          
2.507        59.411       0.01683      0.0          0.0          
2.517        59.677       0.01676      0.0          0.0          
2.526        57.133       0.0175       0.0          0.0          
2.535        57.879       0.01728      0.0          0.0          
2.544        57.057       0.01753      0.0          0.0          
2.553        59.539       0.0168       0.0          0.0          
2.562        54.829       0.01824      0.0          0.0          
2.571        60.275       0.01659      0.0          0.0          
2.581        59.271       0.01687      0.0          0.0          
2.59         58.425       0.01712      0.0          0.0          
2.599        56.653       0.01765      0.0          0.0          
2.608        60.977       0.0164       0.0          0.0          
2.617        59.601       0.01678      0.0          0.0          
2.626        59.567       0.01679      0.0          0.0          
2.635        60.257       0.0166       0.0          0.0          
2.645        59.465       0.01682      0.0          0.0          
2.654        59.442       0.01682      0.0          0.0          
2.663        61.054       0.01638      0.0          0.0          
2.672        57.575       0.01737      0.0          0.0          
2.681        61.463       0.01627      0.0          0.0          
2.69         63.758       0.01568      0.0          0.0          
2.699        59.85        0.01671      0.0          0.0          
2.709        60.403       0.01656      0.0          0.0          
2.718        59.601       0.01678      0.0          0.0          
2.727        59.726       0.01674      0.0          0.0          
2.736        62.002       0.01613      0.0          0.0          
2.745        59.087       0.01692      0.0          0.0          
2.754        60.806       0.01645      0.0          0.0          
2.763        58.58        0.01707      0.0          0.0          
2.773        58.834       0.017        0.0          0.0          
2.782        59.195       0.01689      0.0          0.0          
2.791        60.287       0.01659      0.0          0.0          
2.8          58.098       0.01721      0.0          0.0          
2.809        60.253       0.0166       0.0          0.0          
2.818        60.164       0.01662      0.0          0.0          
2.827        58.636       0.01705      0.0          0.0          
2.837        59.547       0.01679      0.0          0.0          
2.846        60.987       0.0164       0.0          0.0          
2.855        60.046       0.01665      0.0          0.0          
2.864        58.119       0.01721      0.0          0.0          
2.873        59.788       0.01673      0.0          0.0          
2.882        59.314       0.01686      0.0          0.0          
2.891        60.906       0.01642      0.0          0.0          
2.901        61.93        0.01615      0.0          0.0          
2.91         57.589       0.01736      0.0          0.0          
2.919        61.792       0.01618      0.0          0.0          
2.928        60.762       0.01646      0.0          0.0          
2.937        60.462       0.01654      0.0          0.0          
2.946        61.495       0.01626      0.0          0.0          
2.955        61.701       0.01621      0.0          0.0          
2.965        59.969       0.01668      0.0          0.0          
2.974        60.396       0.01656      0.0          0.0          
2.983        57.579       0.01737      0.0          0.0          
2.992        58.199       0.01718      0.0          0.0          
3.001        59.175       0.0169       0.0          0.0          
3.01         61.735       0.0162       0.0          0.0          
3.019        58.13        0.0172       0.0          0.0          
3.029        63.513       0.01574      0.0          0.0          
3.038        60.801       0.01645      0.0          0.0          
3.047        60.777       0.01645      0.0          0.0          
3.056        59.52        0.0168       0.0          0.0          
3.065        63.775       0.01568      0.0          0.0          
3.074        63.201       0.01582      0.0          0.0          
3.083        59.723       0.01674      0.0          0.0          
3.093        61.553       0.01625      0.0          0.0          
3.102        61.441       0.01628      0.0          0.0          
3.111        63.843       0.01566      0.0          0.0          
3.12         61.802       0.01618      0.0          0.0          
3.129        62.333       0.01604      0.0          0.0          
3.138        61.286       0.01632      0.0          0.0          
3.147        62.393       0.01603      0.0          0.0          
3.157        64.563       0.01549      0.0          0.0          
3.166        62.049       0.01612      0.0          0.0          
3.175        62.943       0.01589      0.0          0.0          
3.184        64.926       0.0154       0.0          0.0          
3.193        70.689       0.01415      0.0          0.0          
3.202        73.552       0.0136       0.0          0.0          
3.211        80.7         0.01239      0.0          0.0          
3.221        88.013       0.01136      0.0          0.0          
3.23         82.631       0.0121       0.0          0.0          
