x            y_obs        weight       y_calc       y_bkg        
1.959        60.421       0.01655      0.0          0.0          
1.968        62.88        0.0159       0.0          0.0          
1.977        60.141       0.01663      0.0          0.0          
1.986        64.718       0.01545      0.0          0.0          
1.995        58.703       0.01703      0.0          0.0          
2.005        66.332       0.01508      0.0          0.0          
2.014        67.067       0.01491      0.0          0.0          
2.023        63.149       0.01584      0.0          0.0          
2.032        57.355       0.01744      0.0          0.0          
2.041        58.686       0.01704      0.0          0.0          
2.05         57.917       0.01727      0.0          0.0          
2.059        58.776       0.01701      0.0          0.0          
2.069        57.276       0.01746      0.0          0.0          
2.078        56.912       0.01757      0.0          0.0          
2.087        59.647       0.01677      0.0          0.0          
2.096        58.782       0.01701      0.0          0.0          
2.105        56.595       0.01767      0.0          0.0          
2.114        58.565       0.01707      0.0          0.0          
2.123        60.047       0.01665      0.0          0.0          
2.133        55.282       0.01809      0.0          0.0          
2.142        56.922       0.01757      0.0          0.0          
2.151        61.387       0.01629      0.0          0.0          
2.16         59.292       0.01687      0.0          0.0          
2.169        58.467       0.0171       0.0          0.0          
2.178        58.943       0.01697      0.0          0.0          
2.187        61.541       0.01625      0.0          0.0          
2.197        58.494       0.0171       0.0          0.0          
2.206        60.301       0.01658      0.0          0.0          
2.215        60.79        0.01645      0.0          0.0          
2.224        56.735       0.01763      0.0          0.0          
2.233        59.522       0.0168       0.0          0.0          
2.242        59.376       0.01684      0.0          0.0          
2.251        60.128       0.01663      0.0          0.0          
2.261        58.113       0.01721      0.0          0.0          
2.27         62.095       0.0161       0.0          0.0          
2.279        60.574       0.01651      0.0          0.0          
2.288        61.812       0.01618      0.0          0.0          
2.297        58.739       0.01702      0.0          0.0          
2.306        58.06        0.01722      0.0          0.0          
2.315        59.436       0.01682      0.0          0.0          
2.325        60.553       0.01651      0.0          0.0          
2.334        60.519       0.01652      0.0          0.0          
2.343        56.796       0.01761      0.0          0.0          
2.352        58.051       0.01723      0.0          0.0          
2.361        57.621       0.01735      0.0          0.0          
2.37         57.747       0.01732      0.0          0.0          
2.379        59.574       0.01679      0.0          0.0          
2.389        52.028       0.01922      0.0          0.0          
2.398        56.072       0.01783      0.0          0.0          
2.407        59.377       0.01684      0.0          0.0          
2.416        57.944       0.01726      0.0          0.0          
2.425        58.562       0.01708      0.0          0.0          
2.434        58.881       0.01698      0.0          0.0          
2.443        58.629       0.01706      0.0          0.0          
2.453        59.764       0.01673      0.0          0.0          
2.462        59.578       0.01678      0.0          0.0          
2.471        60.207       0.01661      0.0          0.0          
2.48         62.187       0.01608      0.0          0.0          
2.489        58.052       0.01723      0.0          0.0          
2.498        61.749       0.01619      0.0          0.0          
2.507        61.492       0.01626      0.0          0.0          
2.517        60.752       0.01646      0.0          0.0          
2.526        57.893       0.01727      0.0          0.0          
2.535        60.978       0.0164       0.0          0.0          
2.544        58.09        0.01721      0.0          0.0          
2.553        58.056       0.01722      0.0          0.0          
2.562        56.825       0.0176       0.0          0.0          
2.571        58.185       0.01719      0.0          0.0          
2.581        58.079       0.01722      0.0          0.0          
2.59         57.133       0.0175       0.0          0.0          
2.599        57.906       0.01727      0.0          0.0          
2.608        58.733       0.01703      0.0          0.0          
2.617        59.677       0.01676      0.0          0.0          
2.626        59.243       0.01688      0.0          0.0          
2.635        58.519       0.01709      0.0          0.0          
2.645        54.824       0.01824      0.0          0.0          
2.654        58.318       0.01715      0.0          0.0          
2.663        60.903       0.01642      0.0          0.0          
2.672        60.573       0.01651      0.0          0.0          
2.681        58.935       0.01697      0.0          0.0          
2.69         57.373       0.01743      0.0          0.0          
2.699        60.079       0.01664      0.0          0.0          
2.709        59.654       0.01676      0.0          0.0          
2.718        59.61        0.01678      0.0          0.0          
2.727        59.282       0.01687      0.0          0.0          
2.736        59.811       0.01672      0.0          0.0          
2.745        61.262       0.01632      0.0          0.0          
2.754        58.073       0.01722      0.0          0.0          
2.763        60.602       0.0165       0.0          0.0          
2.773        60.081       0.01664      0.0          0.0          
2.782        59.804       0.01672      0.0          0.0          
