#x	y_obs
1.959	63.226
1.968	65.425
1.977	63.775
1.986	63.495
1.995	60.868
2.005	70.527
2.014	70.911
2.023	69.01
2.032	59.711
2.041	62.771
2.05	58.423
2.059	57.846
2.069	58.839
2.078	59.348
2.087	57.078
2.096	56.106
2.105	62.344
2.114	58.79
2.123	57.259
2.133	59.151
2.142	58.327
2.151	60.123
2.16	55.873
2.169	60.512
2.178	56.011
2.187	58.722
2.197	60.076
2.206	58.579
2.215	61.56
2.224	59.64
2.233	56.82
2.242	59.112
2.251	60.204
2.261	59.557
2.27	58.88
2.279	60.147
2.288	58.107
2.297	60.329
2.306	59.28
2.315	58.365
2.325	58.063
2.334	58.481
2.343	60.011
2.352	57.602
2.361	57.161
2.37	58.021
2.379	61.883
2.389	60.756
2.398	61.237
2.407	60.31
2.416	61.21
2.425	59.781
2.434	56.45
2.443	59.717
2.453	60.598
2.462	58.043
2.471	60.186
2.48	57.108
2.489	58.022
2.498	57.908
2.507	57.451
2.517	60.224
2.526	57.678
2.535	58.444
2.544	58.323
2.553	60.512
2.562	58.206
2.571	60.194
2.581	58.021
2.59	60.945
2.599	59.387
2.608	56.839
2.617	59.251
2.626	58.467
2.635	58.281
2.645	62.353
2.654	59.21
2.663	60.381
2.672	59.534
2.681	58.95
2.69	58.143
2.699	59.238
2.709	59.116
2.718	59.197
2.727	58.952
2.736	59.624
2.745	58.725
2.754	58.589
2.763	60.897
2.773	60.959
2.782	63.527
2.791	60.172
2.8	57.759
2.809	58.754
2.818	60.808
2.827	58.67
2.837	60.868
2.846	61.627
2.855	64.179
2.864	61.357
2.873	61.727
2.882	59.494
2.891	57.228
2.901	60.506
2.91	62.755
2.919	62.251
2.928	60.542
2.937	63.095
2.946	62.74
2.955	63.522
2.965	61.96
2.974	60.235
2.983	62.303
2.992	61.586
3.001	62.35
3.01	64.299
3.019	62.315
3.029	60.548
3.038	62.696
3.047	64.864
3.056	60.819
3.065	63.692
3.074	61.987
3.083	62.745
3.093	62.494
3.102	60.732
3.111	62.132
3.12	62.817
3.129	63.306
3.138	68.2
3.147	63.784
3.157	63.844
3.166	65.264
3.175	63.701
3.184	63.72
3.193	68.891
3.202	75.229
3.211	80.277
3.221	82.994
3.23	81.477
3.239	73.524
3.248	66.733
3.257	65.835
3.266	63.796
3.275	63.233
3.285	63.622
3.294	63.864
3.303	65.84
3.312	66.09
3.321	63.451
3.33	65.349
3.339	63.268
3.349	64.544
3.358	65.079
3.367	68.074
3.376	65.077
3.385	65.856
3.394	65.42
3.403	68.917
3.413	65.493
3.422	68.468
3.431	67.914
3.44	70.902
3.449	68.364
3.458	70.457
3.468	69.916
3.477	69.658
3.486	71.093
3.495	71.739
3.504	72.465
3.513	73.685
3.522	72.037
3.532	70.902
3.541	71.808
3.55	72.087
3.559	71.524
3.568	72.224
3.577	73.988
3.586	73.705
3.596	73.2
3.605	76.085
3.614	74.729
3.623	74.417
3.632	76.304
3.641	78.34
3.65	76.445
3.66	78.954
3.669	82.139
3.678	82.273
3.687	84.137
3.696	89.763
3.705	101.125
3.714	109.22
3.724	110.084
3.733	107.152
3.742	100.545
3.751	96.55
3.76	98.364
3.769	99.829
3.778	104.015
3.788	105.55
3.797	109.95
3.806	110.828
3.815	118.716
3.824	122.323
3.833	130.764
3.842	142.021
3.852	152.088
3.861	163.551
3.87	177.614
3.879	202.698
3.888	232.812
3.897	293.145
3.906	381.043
3.916	634.862
3.925	1334.671
3.934	3401.421
3.943	7548.568
3.952	9442.617
3.961	8330.171
3.971	4165.92
3.98	2161.07
3.989	2006.817
3.998	3319.082
4.007	6313.026
4.016	10626.474
4.025	14111.545
4.035	14246.358
4.044	11616.521
4.053	7763.674
4.062	4485.125
4.071	2207.091
4.08	1088.541
4.089	615.267
4.099	409.664
4.108	314.637
4.117	252.027
4.126	222.104
4.135	194.251
4.144	179.646
4.153	161.471
4.163	149.268
4.172	139.886
4.181	135.861
4.19	124.44
4.199	120.216
4.208	113.666
4.217	112.553
4.227	104.63
4.236	107.083
4.245	103.388
4.254	97.944
4.263	96.32
4.272	95.487
4.281	93.656
4.291	93.644
4.3	90.942
4.309	90.255
4.318	87.785
4.327	85.603
4.336	88.989
4.346	89.306
4.355	87.651
4.364	85.788
4.373	87.023
4.382	85.666
4.391	87.874
4.4	86.805
4.41	86.873
4.419	88.639
4.428	90.699
4.437	91.47
4.446	95.148
4.455	99.929
4.464	101.463
4.474	108.556
4.483	117.734
4.492	130.054
4.501	158.307
4.51	199.446
4.519	283.378
4.528	468.138
4.538	933.383
4.547	1644.038
4.556	2378.193
4.565	2354.532
4.574	1763.851
4.583	985.619
4.593	542.101
4.602	314.073
4.611	199.977
4.62	152.641
4.629	124.619
4.638	109.713
4.647	102.013
4.657	94.566
4.666	89.223
4.675	85.97
4.684	81.63
4.693	80.701
4.702	79.503
4.711	78.753
4.721	75.577
4.73	75.057
4.739	71.409
4.748	74.289
4.757	70.863
4.766	71.714
4.775	71.55
4.785	72.65
4.794	72.46
4.803	69.506
4.812	71.619
4.821	68.895
4.83	70.431
4.84	68.212
4.849	69.415
4.858	69.511
4.867	69.216
4.876	70.202
4.885	67.052
4.894	67.351
4.904	69.31
4.913	65.896
4.922	68.293
4.931	67.125
4.94	70.458
4.949	69.221
4.958	69.059
4.968	66.916
4.977	68.628
4.986	66.264
4.995	67.6
5.004	66.215
