#x	y_obs
1.959	62.095
1.968	63.211
1.977	66.986
1.986	60.802
1.995	61.878
2.005	62.827
2.014	64.363
2.023	64.222
2.032	61.346
2.041	58.176
2.05	58.322
2.059	57.908
2.069	57.672
2.078	57.786
2.087	56.68
2.096	59.007
2.105	60.588
2.114	60.418
2.123	58.62
2.133	57.27
2.142	59.538
2.151	57.642
2.16	55.231
2.169	55.545
2.178	61.575
2.187	56.374
2.197	61.363
2.206	56.347
2.215	55.531
2.224	57.474
2.233	57.208
2.242	59.609
2.251	59.496
2.261	58.788
2.27	59.155
2.279	58.303
2.288	61.187
2.297	59.59
2.306	56.787
2.315	57.333
2.325	56.778
2.334	54.587
2.343	58.996
2.352	57.974
2.361	59.778
2.37	60.425
2.379	57.814
2.389	55.966
2.398	58.869
2.407	60.353
2.416	58.849
2.425	56.284
2.434	59.379
2.443	58.625
2.453	58.839
2.462	57.153
2.471	61.084
2.48	59.105
2.489	58.777
2.498	55.249
2.507	61.973
2.517	55.951
2.526	61.767
2.535	60.986
2.544	60.548
2.553	57.636
2.562	59.766
2.571	57.689
2.581	62.464
2.59	61.08
2.599	60.899
2.608	60.631
2.617	56.976
2.626	61.654
2.635	58.165
2.645	57.696
2.654	59.322
2.663	58.105
2.672	60.364
2.681	59.278
2.69	61.449
2.699	60.595
2.709	55.29
2.718	60.799
2.727	61.608
2.736	59.761
2.745	58.393
2.754	59.029
2.763	60.568
2.773	60.741
2.782	62.107
2.791	59.671
2.8	61.411
2.809	58.82
2.818	60.489
2.827	59.785
2.837	60.946
2.846	60.55
2.855	61.068
2.864	58.106
2.873	60.285
2.882	63.096
2.891	60.686
2.901	61.326
2.91	60.332
2.919	59.917
2.928	59.214
2.937	60.896
2.946	62.352
2.955	60.195
2.965	62.236
2.974	58.771
2.983	61.356
2.992	62.756
3.001	61.224
3.01	61.68
3.019	60.788
3.029	60.19
3.038	62.63
3.047	61.461
3.056	61.884
3.065	60.111
3.074	62.729
3.083	62.055
3.093	60.28
3.102	61.472
3.111	62.134
3.12	63.132
3.129	62.575
3.138	63.229
3.147	65.152
3.157	64.815
3.166	63.413
3.175	59.079
3.184	66.571
3.193	69.878
3.202	75.065
3.211	81.558
3.221	84.424
3.23	78.387
3.239	74.291
3.248	67.243
3.257	66.327
3.266	64.29
3.275	66.417
3.285	63.556
3.294	63.19
3.303	66.268
3.312	64.611
3.321	67.401
3.33	63.716
3.339	65.196
3.349	64.679
3.358	65.474
3.367	63.037
3.376	64.196
3.385	67.012
3.394	64.26
