#x	y_obs
1.959	60.3064
1.968	63.2849
1.977	63.646
1.986	61.2823
1.995	60.5352
2.005	66.3091
2.014	67.8754
2.023	65.4426
2.032	60.7813
2.041	60.43
2.05	58.3112
2.059	58.6582
2.069	56.6443
2.078	57.3438
2.087	57.9754
2.096	57.6989
2.105	58.1425
2.114	58.5757
2.123	58.1598
2.133	57.5344
2.142	58.1933
2.151	58.1207
2.16	57.7144
2.169	57.8643
2.178	58.5469
2.187	59.3402
2.197	57.6145
2.206	57.7586
2.215	58.8985
2.224	57.5756
2.233	58.4613
2.242	59.4163
2.251	57.9928
2.261	58.7115
2.27	59.3546
2.279	60.693
2.288	59.7854
2.297	59.7774
2.306	57.9962
2.315	58.4812
2.325	57.8905
2.334	58.0978
2.343	57.4534
2.352	57.534
2.361	57.6429
2.37	58.8007
2.379	58.3116
2.389	57.9405
2.398	57.9843
2.407	59.1466
2.416	58.0657
2.425	58.1632
2.434	58.7093
2.443	59.0347
2.453	58.7175
2.462	57.7018
2.471	59.3817
2.48	58.939
2.489	58.7275
2.498	58.7084
2.507	59.2117
2.517	58.6886
2.526	57.7959
2.535	59.4963
2.544	58.8126
2.553	58.6974
2.562	58.5492
2.571	59.1954
2.581	59.9966
2.59	59.5411
2.599	59.1117
2.608	59.463
2.617	58.4393
2.626	59.3129
2.635	58.7698
2.645	58.2971
2.654	59.5634
2.663	59.8324
2.672	59.7567
2.681	59.3748
2.69	59.4586
2.699	58.6559
2.709	59.0556
2.718	59.9698
2.727	59.1944
2.736	59.6274
2.745	59.6693
2.754	59.2491
2.763	60.2402
2.773	59.7547
2.782	59.783
2.791	59.3924
2.8	59.3957
2.809	59.8042
2.818	59.8727
2.827	60.6382
2.837	59.8845
2.846	61.0454
2.855	61.4447
2.864	60.0971
2.873	61.0391
2.882	60.0852
2.891	60.4413
2.901	60.6572
2.91	60.2803
2.919	60.5658
2.928	60.3505
2.937	60.4165
2.946	60.4044
2.955	61.3312
2.965	61.1482
2.974	60.6781
2.983	60.9359
2.992	60.7031
3.001	60.9654
3.01	62.0932
3.019	61.1968
3.029	61.3451
3.038	61.2805
3.047	62.3332
3.056	61.5795
3.065	61.5135
3.074	61.7906
3.083	62.1261
3.093	62.2575
3.102	61.3542
3.111	62.2374
3.12	61.8655
3.129	62.4824
3.138	63.3761
3.147	62.696
3.157	63.6402
3.166	63.8313
3.175	63.3953
3.184	66.0072
3.193	69.1483
3.202	72.9732
3.211	79.7961
3.221	83.5558
3.23	79.9354
3.239	72.3941
3.248	67.5256
3.257	64.5209
3.266	64.0756
3.275	64.3756
3.285	63.8494
3.294	63.184
3.303	64.6292
3.312	64.0381
3.321	65.7448
3.33	64.385
3.339	64.9255
3.349	64.5383
3.358	64.5249
3.367	65.573
3.376	65.1082
3.385	66.0776
3.394	65.5653
3.403	67.0671
3.413	65.8071
3.422	65.5285
3.431	66.3444
3.44	66.5214
3.449	67.0305
3.458	67.7385
3.468	68.2103
3.477	68.918
3.486	69.9155
3.495	70.2177
3.504	69.6529
3.513	69.9791
3.522	69.133
3.532	68.9368
3.541	69.1695
3.55	69.8916
3.559	69.7371
3.568	70.0936
3.577	70.246
3.586	70.5419
3.596	71.2269
3.605	72.2693
3.614	72.053
3.623	72.6826
3.632	73.0225
3.641	73.7533
3.65	74.306
3.66	74.7547
3.669	75.7161
3.678	76.9506
3.687	79.0705
3.696	84.098
3.705	93.7681
3.714	102.3555
3.724	103.8062
3.733	98.2656
3.742	91.6196
3.751	88.1004
3.76	88.8286
3.769	89.6561
3.778	91.9567
3.788	94.0995
3.797	95.0317
3.806	97.1391
3.815	100.9505
3.824	104.2054
3.833	109.5148
3.842	114.1037
3.852	120.6473
3.861	127.824
3.87	139.5007
3.879	152.6229
3.888	172.4597
3.897	204.6438
3.906	259.6868
3.916	392.5059
3.925	776.7389
3.934	1863.2997
3.943	3814.8406
3.952	5324.76
3.961	4314.5083
3.971	2189.324
3.98	1283.0216
3.989	1449.8222
3.998	2570.454
4.007	4918.4487
4.016	8030.4383
4.025	10136.9246
