#x	y_obs
1.959	60.421
1.968	62.88
1.977	60.141
1.986	64.718
1.995	58.703
2.005	66.332
2.014	67.067
2.023	63.149
2.032	57.355
2.041	58.686
2.05	57.917
2.059	58.776
2.069	57.276
2.078	56.912
2.087	59.647
2.096	58.782
2.105	56.595
2.114	58.565
2.123	60.047
2.133	55.282
2.142	56.922
2.151	61.387
2.16	59.292
2.169	58.467
2.178	58.943
2.187	61.541
2.197	58.494
2.206	60.301
2.215	60.79
2.224	56.735
2.233	59.522
2.242	59.376
2.251	60.128
2.261	58.113
2.27	62.095
2.279	60.574
2.288	61.812
2.297	58.739
2.306	58.06
2.315	59.436
2.325	60.553
2.334	60.519
2.343	56.796
2.352	58.051
2.361	57.621
2.37	57.747
2.379	59.574
2.389	52.028
2.398	56.072
2.407	59.377
2.416	57.944
2.425	58.562
2.434	58.881
2.443	58.629
2.453	59.764
2.462	59.578
2.471	60.207
2.48	62.187
2.489	58.052
2.498	61.749
2.507	61.492
2.517	60.752
2.526	57.893
2.535	60.978
2.544	58.09
2.553	58.056
2.562	56.825
2.571	58.185
2.581	58.079
2.59	57.133
2.599	57.906
2.608	58.733
2.617	59.677
2.626	59.243
2.635	58.519
2.645	54.824
2.654	58.318
2.663	60.903
2.672	60.573
2.681	58.935
2.69	57.373
2.699	60.079
2.709	59.654
2.718	59.61
2.727	59.282
2.736	59.811
2.745	61.262
2.754	58.073
2.763	60.602
2.773	60.081
2.782	59.804
2.791	58.791
2.8	59.636
2.809	61.579
2.818	60.339
2.827	61.164
2.837	62.504
2.846	57.587
2.855	61.141
2.864	61.993
2.873	60.616
2.882	59.669
2.891	61.645
2.901	59.558
2.91	57.819
2.919	61.724
2.928	60.585
2.937	63.217
2.946	57.583
2.955	62.148
2.965	63.164
2.974	58.927
2.983	62.377
2.992	58.482
3.001	61.894
3.01	59.049
3.019	60.584
3.029	64.361
3.038	62.848
3.047	62.889
3.056	63.192
3.065	63.655
3.074	63.879
3.083	64.644
3.093	64.384
3.102	62.626
3.111	58.78
3.12	61.507
3.129	59.854
3.138	64.59
3.147	62.851
3.157	61.518
3.166	63.353
3.175	62.909
3.184	67.783
3.193	70.422
3.202	71.072
3.211	76.423
3.221	81.852
3.23	80.735
3.239	70.764
3.248	64.851
3.257	63.545
3.266	66.838
3.275	65.694
3.285	66.066
3.294	65.657
3.303	64.518
3.312	66.793
3.321	67.158
3.33	65.678
3.339	65.974
3.349	66.162
3.358	64.57
3.367	65.902
3.376	66.078
3.385	65.296
3.394	66.836
3.403	69.312
3.413	66.68
3.422	67.164
3.431	68.039
3.44	66.901
3.449	67.738
3.458	68.295
3.468	68.736
3.477	69.301
3.486	71.142
3.495	71.619
3.504	67.554
3.513	71.266
3.522	68.276
3.532	68.841
3.541	70.895
3.55	70.158
3.559	71.719
3.568	72.071
3.577	69.14
3.586	70.654
3.596	72.113
3.605	76.394
3.614	73.269
3.623	76.991
3.632	72.393
3.641	75.673
3.65	76.576
3.66	79.207
3.669	77.708
3.678	80.384
3.687	81.601
3.696	85.775
3.705	96.204
3.714	106.607
3.724	104.296
3.733	99.2
3.742	93.916
3.751	90.173
3.76	90.902
3.769	92.489
3.778	94.314
3.788	96.566
3.797	99.712
3.806	100.824
3.815	105.957
3.824	110.46
3.833	115.425
3.842	118.847
3.852	127.346
3.861	137.618
3.87	148.063
3.879	165.367
3.888	182.631
3.897	216.465
3.906	278.198
3.916	399.225
3.925	773.687
3.934	2088.862
3.943	4903.194
3.952	9128.018
3.961	7339.17
3.971	3229.459
3.98	1547.127
3.989	1345.492
3.998	2070.107
4.007	3860.129
4.016	6317.87
4.025	8289.865
4.035	8606.567
4.044	7417.649
4.053	5246.508
4.062	3138.602
4.071	1571.68
4.08	777.774
4.089	447.305
4.099	294.941
4.108	226.227
4.117	188.87
4.126	168.228
4.135	148.427
4.144	137.964
4.153	129.258
4.163	121.571
4.172	115.394
4.181	108.944
4.19	106.243
4.199	103.525
4.208	100.604
4.217	95.686
4.227	94.765
4.236	91.694
4.245	91.531
4.254	87.968
4.263	88.397
4.272	86.856
4.281	83.231
4.291	84.146
4.3	83.32
4.309	81.97
4.318	82.767
4.327	82.086
4.336	80.919
4.346	81.208
4.355	79.177
4.364	78.173
4.373	79.996
4.382	80.093
4.391	79.521
4.4	80.187
4.41	79.828
4.419	80.644
4.428	80.992
4.437	83.603
4.446	83.94
4.455	89.284
4.464	91.841
4.474	93.585
4.483	99.589
4.492	107.079
4.501	127.166
4.51	152.572
4.519	215.545
4.528	334.411
4.538	595.965
4.547	1138.977
4.556	1638.973
4.565	1701.503
4.574	1191.779
4.583	714.965
4.593	415.921
4.602	239.751
4.611	161.341
4.62	121.881
4.629	106.212
4.638	98.793
4.647	89.195
4.657	84.2
4.666	82.433
4.675	78.239
4.684	77.276
4.693	73.125
4.702	76.618
4.711	74.319
4.721	71.199
4.73	70.249
4.739	68.462
4.748	70.145
4.757	68.228
4.766	68.256
4.775	71.476
4.785	68.415
4.794	69.166
4.803	67.955
4.812	68.569
4.821	66.881
4.83	69.747
4.84	68.971
4.849	68.093
4.858	68.381
4.867	68.731
4.876	65.776
4.885	67.13
4.894	66.413
4.904	68.013
4.913	67.967
4.922	66.876
4.931	66.553
4.94	67.652
4.949	68.124
4.958	67.512
4.968	68.544
4.977	65.097
4.986	66.029
4.995	66.109
5.004	67.451
5.013	67.663
5.023	67.295
5.032	65.235
5.041	67.445
5.05	67.914
5.059	66.057
5.068	67.787
5.077	66.291
5.087	63.447
5.096	66.473
5.105	65.699
5.114	67.768
5.123	66.022
5.132	67.971
