#x	y_obs
1.959	58.909
1.968	60.185
1.977	65.815
1.986	61.5
1.995	63.588
2.005	66.934
2.014	67.98
2.023	66.513
2.032	63.496
2.041	59.705
2.05	58.913
2.059	58.572
2.069	53.289
2.078	57.641
2.087	59.278
2.096	57.33
2.105	56.641
2.114	58.67
2.123	59.166
2.133	54.741
2.142	57.923
2.151	53.643
2.16	60.953
2.169	58.485
2.178	59.286
2.187	56.903
2.197	57.263
2.206	57.369
2.215	58.268
2.224	59.594
2.233	59.52
2.242	58.24
2.251	57.965
2.261	56.873
2.27	57.377
2.279	59.254
2.288	57.887
2.297	59.254
2.306	55.019
2.315	56.715
2.325	56.297
2.334	58.074
2.343	57.325
2.352	55.923
2.361	59.948
2.37	58.242
2.379	59.957
2.389	56.045
2.398	58.456
2.407	58.522
2.416	57.231
2.425	59.15
2.434	57.926
2.443	61.4
2.453	57.087
2.462	59.226
2.471	59.1
2.48	59.8
2.489	60.014
2.498	59.206
2.507	60.053
2.517	58.193
2.526	57.635
2.535	59.427
2.544	60.022
2.553	58.452
2.562	56.82
2.571	57.056
2.581	61.744
2.59	62.641
2.599	60.008
2.608	59.554
2.617	56.873
2.626	59.51
2.635	59.353
2.645	56.068
2.654	55.942
2.663	60.435
2.672	61.565
2.681	60.849
2.69	58.149
2.699	59.333
2.709	59.211
2.718	60.674
2.727	57.923
2.736	59.806
2.745	61.226
2.754	59.94
2.763	61.125
2.773	59.91
2.782	58.316
2.791	61.773
2.8	61.024
2.809	58.528
2.818	57.842
2.827	64.712
2.837	60.596
2.846	61.019
2.855	59.167
2.864	57.344
2.873	61.96
2.882	59.555
2.891	62.395
2.901	59.868
2.91	62.217
2.919	60.521
2.928	59.98
2.937	61.092
2.946	59.523
2.955	61.973
2.965	59.836
2.974	62.682
2.983	62.883
2.992	61.147
3.001	58.377
3.01	61.837
3.019	59.632
3.029	59.776
3.038	60.319
3.047	63.308
3.056	62.634
3.065	59.074
3.074	61.417
3.083	61.692
3.093	63.363
3.102	62.421
3.111	65.02
3.12	60.846
3.129	63.96
3.138	63.396
3.147	61.779
3.157	63.689
3.166	63.267
3.175	64.538
3.184	66.131
3.193	68.593
3.202	69.946
3.211	79.103
3.221	83.522
3.23	78.757
3.239	72.89
3.248	71.495
3.257	63.293
3.266	66.412
3.275	62.995
3.285	63.479
3.294	64.587
3.303	63.592
3.312	64.091
3.321	66.784
3.33	63.807
3.339	66.684
3.349	64.562
3.358	63.501
3.367	64.468
3.376	65.727
3.385	66.78
3.394	67.551
3.403	67.371
3.413	66.369
3.422	64.185
3.431	65.542
3.44	65.375
3.449	65.669
3.458	68.237
3.468	70.212
3.477	68.918
3.486	71.87
3.495	71.32
3.504	69.389
3.513	67.149
3.522	70.064
3.532	68.964
3.541	71.233
3.55	70.109
3.559	68.435
3.568	68.911
3.577	68.918
3.586	69.439
3.596	69.545
3.605	69.774
3.614	71.189
3.623	71.457
3.632	71.411
3.641	72.38
3.65	73.757
3.66	73.222
3.669	74.327
3.678	77.109
3.687	77.442
3.696	82.192
3.705	91.923
3.714	99.547
3.724	103.319
3.733	96.826
3.742	88.974
3.751	84.133
3.76	88.689
3.769	84.575
3.778	91.955
3.788	92.433
3.797	92.533
3.806	97.275
3.815	98.638
3.824	102.083
3.833	106.461
3.842	112.055
3.852	116.485
3.861	123.779
3.87	133.004
3.879	140.081
3.888	159.683
3.897	189.432
3.906	233.224
3.916	324.049
3.925	612.855
3.934	1457.239
3.943	3096.972
3.952	5093.178
3.961	4073.437
3.971	2042.569
3.98	1164.531
3.989	1291.211
3.998	2303.328
4.007	4363.264
4.016	7009.514
4.025	8953.301
4.035	9289.433
4.044	7914.676
4.053	5730.322
4.062	3407.465
4.071	1727.246
