x	y_obs
1.959	58.236
1.968	63.488
1.977	61.539
1.986	62.234
1.995	56.784
2.005	69.51
2.014	69.268
2.023	63.992
2.032	60.468
2.041	57.062
2.05	58.305
2.059	56.741
2.069	58.387
2.078	54.266
2.087	59.348
2.096	54.932
2.105	58.08
2.114	60.241
2.123	57.558
2.133	60.116
2.142	56.628
2.151	53.874
2.16	56.006
2.169	56.963
2.178	56.106
2.187	59.443
2.197	54.975
2.206	59.184
2.215	61.35
2.224	54.632
2.233	61.762
2.242	58.258
2.251	55.795
2.261	57.77
2.27	55.641
2.279	61.19
2.288	57.262
2.297	60.651
2.306	57.148
2.315	56.758
2.325	55.742
2.334	57.027
2.343	58.197
2.352	56.04
2.361	54.579
2.37	59.975
2.379	57.616
2.389	59.159
2.398	57.067
2.407	58.705
2.416	57.525
2.425	55.694
2.434	60.114
2.443	60.714
2.453	56.174
2.462	57.312
2.471	57.906
2.48	55.275
2.489	57.994
2.498	58.03
2.507	60.224
2.517	57.025
2.526	56.064
2.535	58.932
2.544	57.963
2.553	59.382
2.562	59.271
2.571	60.047
2.581	60.091
2.59	60.548
2.599	58.329
2.608	61.259
2.617	57.075
2.626	58.621
2.635	57.137
2.645	57.302
2.654	59.976
2.663	56.514
2.672	59.038
2.681	58.755
2.69	59.121
2.699	57.316
2.709	60.859
2.718	61.624
2.727	57.878
2.736	57.176
2.745	58.563
2.754	58.758
2.763	60.709
2.773	58.156
2.782	57.035
2.791	55.747
2.8	61.36
2.809	57.732
2.818	59.365
2.827	62.095
2.837	62.111
2.846	64.664
2.855	60.761
2.864	58.886
2.873	60.412
2.882	60.514
2.891	60.748
2.901	61.027
2.91	59.249
2.919	57.071
2.928	59.303
2.937	58.065
2.946	60.187
2.955	62.184
2.965	60.23
2.974	62.266
2.983	61.234
2.992	62.706
3.001	59.735
3.01	61.29
3.019	60.576
3.029	61.666
3.038	61.254
3.047	59.857
3.056	59.205
3.065	60.351
3.074	61.359
3.083	61.151
3.093	61.292
3.102	55.626
3.111	60.146
3.12	59.885
3.129	64.265
3.138	62.105
3.147	60.412
3.157	63.042
3.166	62.851
3.175	64.27
3.184	65.647
3.193	68.314
3.202	73.079
3.211	77.88
3.221	79.639
3.23	79.147
3.239	73.031
3.248	67.521
3.257	66.458
3.266	63.891
3.275	65.805
3.285	64.156
3.294	58.774
3.303	62.978
3.312	65.288
3.321	64.958
3.33	65.604
3.339	64.873
3.349	63.87
3.358	61.864
3.367	67.251
3.376	64.395
3.385	66.079
3.394	69.82
3.403	67.385
3.413	66.019
3.422	63.002
3.431	67.673
3.44	66.359
3.449	67.37
3.458	69.509
3.468	68.37
3.477	70.321
3.486	69.179
3.495	68.478
3.504	71.131
3.513	68.285
3.522	68.224
3.532	68.327
3.541	70.297
3.55	69.443
3.559	68.145
3.568	70.921
3.577	69.995
3.586	70.869
3.596	70.917
3.605	70.855
3.614	70.889
3.623	71.759
3.632	71.072
3.641	71.78
3.65	72.089
3.66	74.339
3.669	75.201
3.678	76.206
3.687	78.89
3.696	82.329
3.705	94.575
3.714	101.304
3.724	102.07
3.733	97.623
3.742	90.027
3.751	86.745
3.76	86.865
3.769	87.218
3.778	87.459
3.788	90.603
3.797	91.986
3.806	93.76
3.815	99.313
3.824	99.892
3.833	104.02
3.842	105.786
3.852	110.409
3.861	120.084
3.87	128.218
3.879	142.997
3.888	156.704
3.897	178.526
3.906	227.712
3.916	331.817
3.925	611.532
3.934	1337.99
3.943	2186.591
3.952	3447.935
3.961	2998.237
3.971	1507.394
3.98	1070.255
3.989	1457.805
3.998	2836.424
4.007	5465.019
4.016	8811.165
4.025	10782.234
4.035	10397.297
4.044	8337.235
4.053	5553.507
4.062	3076.242
4.071	1549.58
4.08	778.576
4.089	457.247
4.099	307.746
4.108	237.436
4.117	196.552
4.126	172.108
4.135	154.256
4.144	140.783
4.153	130.476
4.163	121.863
4.172	114.294
4.181	110.42
4.19	108.288
4.199	102.109
4.208	100.544
4.217	92.891
4.227	93.663
4.236	92.031
4.245	90.201
4.254	87.642
4.263	85.718
4.272	88.046
4.281	85.797
4.291	84.463
4.3	81.944
4.309	82.467
4.318	80.074
4.327	82.927
4.336	80.186
4.346	81.015
4.355	81.98
4.364	80.176
4.373	80.703
4.382	82.495
4.391	80.101
4.4	82.072
4.41	80.476
4.419	85.889
4.428	82.292
4.437	86.258
4.446	86.911
4.455	89.494
4.464	92.905
4.474	97.357
4.483	105.524
4.492	113.775
4.501	131.302
4.51	159.223
4.519	209.463
4.528	332.35
4.538	562.061
4.547	1051.106
4.556	1782.639
4.565	2143.486
4.574	1679.634
4.583	945.925
4.593	518.884
4.602	278.436
4.611	183.41
4.62	141.96
4.629	117.323
4.638	104.189
4.647	94.076
4.657	88.511
4.666	84.423
4.675	79.765
4.684	79.435
4.693	78.285
4.702	77.115
4.711	74.067
4.721	74.223
4.73	72.651
4.739	72.345
4.748	71.577
4.757	69.974
4.766	70.102
4.775	69.216
4.785	67.747
4.794	71.493
4.803	70.2
4.812	69.008
4.821	67.605
4.83	68.316
4.84	67.782
4.849	66.982
4.858	68.42
4.867	68.643
4.876	68.484
4.885	67.41
4.894	68.531
4.904	69.091
4.913	65.247
4.922	66.667
4.931	67.099
4.94	66.415
4.949	66.572
4.958	66.64
4.968	65.954
