# 2Theta,Counts
  36.25016, 255.46982
  36.27018, 247.25709
  36.29020, 238.27812
  36.31022, 233.29733
  36.33024, 238.55213
  36.35025, 247.92551
  36.37027, 249.55689
  36.39029, 241.45228
  36.41031, 252.24762
  36.43032, 258.22990
  36.45034, 255.26631
  36.47036, 249.91855
  36.49038, 251.07658
  36.51040, 256.83365
  36.53041, 235.03185
  36.55043, 247.08429
  36.57045, 238.42986
  36.59047, 232.33080
  36.61048, 242.49278
  36.63050, 237.91014
  36.65052, 242.21684
  36.67054, 245.66317
  36.69056, 237.69708
  36.71057, 243.07706
  36.73059, 229.42473
  36.75061, 237.51084
  36.77063, 239.56025
  36.79065, 239.48915
  36.81066, 237.36761
  36.83068, 248.96121
  36.85070, 237.54444
  36.87072, 244.75221
  36.89074, 228.81509
  36.91075, 237.24587
  36.93077, 241.10179
  36.95079, 239.26578
  36.97081, 230.15621
  36.99083, 240.23209
  37.01084, 225.13708
  37.03086, 230.90841
  37.05088, 250.66081
  37.07090, 243.02520
  37.09091, 242.26590
  37.11093, 253.45305
  37.13095, 254.78026
  37.15097, 237.91391
  37.17099, 226.19929
  37.19100, 228.90955
  37.21102, 226.08161
  37.23104, 230.93378
  37.25106, 226.43368
  37.27108, 235.65275
  37.29109, 233.32718
  37.31111, 242.46945
  37.33113, 236.12771
  37.35115, 235.04706
  37.37117, 235.60758
  37.39118, 233.52146
  37.41120, 221.93648
  37.43122, 237.91996
  37.45124, 240.75158
  37.47126, 234.76311
  37.49127, 229.56459
  37.51129, 232.75984
  37.53131, 234.66743
  37.55133, 237.27686
  37.57135, 239.59283
  37.59136, 224.27880
  37.61138, 224.38353
  37.63140, 222.69548
  37.65142, 221.84182
  37.67143, 232.29465
  37.69145, 235.23449
  37.71147, 248.05945
  37.73149, 234.43775
  37.75151, 239.97894
  37.77152, 240.62567
  37.79154, 233.52876
  37.81156, 234.65936
  37.83158, 229.26212
  37.85160, 232.69230
  37.87162, 221.42044
  37.89163, 235.70849
  37.91165, 240.04170
  37.93167, 225.95204
  37.95169, 225.43675
  37.97170, 224.03396
  37.99172, 222.04890
  38.01174, 221.60674
  38.03176, 214.31482
  38.05178, 235.01031
  38.07179, 226.01567
  38.09181, 213.93266
  38.11183, 226.99308
  38.13185, 236.80420
  38.15187, 229.56242
