# 2Theta,Counts
  35.62961, 265.41788
  35.64963, 276.09999
  35.66965, 261.65026
  35.68967, 261.19780
  35.70969, 256.07786
  35.72970, 270.45683
  35.74972, 267.07332
  35.76974, 269.49941
  35.78976, 265.68507
  35.80977, 265.27050
  35.82979, 276.81476
  35.84981, 274.16784
  35.86983, 257.65557
  35.88985, 269.20857
  35.90986, 271.22896
  35.92988, 267.73984
  35.94990, 256.55825
  35.96992, 265.84060
  35.98993, 269.62003
  36.00995, 270.82172
  36.02997, 272.15047
  36.04999, 256.20614
  36.07001, 255.21583
  36.09002, 258.76309
  36.11004, 264.44432
  36.13006, 264.34521
  36.15008, 255.96166
  36.17009, 264.84541
  36.19011, 265.80390
  36.21013, 260.55815
  36.23015, 254.22013
  36.25017, 252.87336
  36.27018, 260.17816
  36.29020, 254.60433
  36.31022, 256.32943
  36.33024, 247.30551
  36.35025, 271.92949
  36.37027, 264.04863
  36.39029, 259.06904
  36.41031, 261.13447
  36.43033, 266.33034
  36.45034, 252.71353
  36.47036, 260.65933
  36.49038, 259.34173
  36.51040, 258.36099
  36.53041, 250.14740
  36.55043, 254.11720
  36.57045, 252.41818
  36.59047, 246.94898
  36.61049, 267.72099
  36.63050, 253.52814
  36.65052, 253.29037
  36.67054, 252.31672
  36.69056, 259.59266
  36.71058, 253.25045
  36.73059, 252.42151
  36.75061, 244.29925
  36.77063, 264.50845
  36.79065, 266.85576
  36.81067, 261.21912
  36.83068, 253.75676
  36.85070, 254.23546
  36.87072, 251.17194
  36.89074, 247.17533
  36.91076, 258.82505
  36.93077, 252.90689
  36.95079, 259.89490
  36.97081, 259.22346
  36.99083, 249.62542
  37.01084, 257.22810
  37.03086, 249.32183
  37.05088, 268.28672
  37.07090, 250.37874
  37.09092, 244.24887
  37.11093, 248.78324
  37.13095, 254.49161
  37.15097, 258.16332
  37.17099, 251.58769
  37.19100, 245.38521
  37.21102, 250.78050
  37.23104, 244.79337
  37.25106, 243.39468
  37.27108, 255.40154
  37.29110, 262.95143
  37.31111, 247.21335
  37.33113, 248.63103
  37.35115, 260.01230
  37.37117, 252.80861
  37.39118, 255.09585
  37.41120, 236.15557
  37.43122, 238.43897
  37.45124, 256.20600
  37.47126, 243.51015
  37.49127, 245.89632
  37.51129, 240.21256
  37.53131, 247.63313
  37.55133, 251.37308
  37.57135, 250.18902
  37.59136, 245.34401
  37.61138, 257.88168
  37.63140, 251.39091
  37.65142, 262.11571
  37.67144, 256.80024
  37.69145, 247.28913
  37.71147, 242.20387
  37.73149, 240.67963
  37.75151, 234.92383
  37.77153, 246.08494
  37.79154, 248.13652
  37.81156, 247.15657
  37.83158, 244.74132
  37.85160, 244.97547
  37.87162, 246.99232
  37.89163, 248.85535
  37.91165, 252.20056
  37.93167, 258.23353
  37.95169, 244.77497
  37.97171, 250.09850
  37.99172, 248.97802
  38.01174, 234.96725
  38.03176, 240.56855
  38.05178, 251.20417
  38.07180, 242.18213
  38.09181, 238.38205
  38.11183, 232.04551
  38.13185, 234.62460
  38.15187, 234.38284
  38.17189, 236.63179
  38.19190, 238.87358
  38.21192, 244.73395
  38.23194, 245.38762
  38.25196, 245.74371
  38.27198, 239.52340
  38.29199, 236.42116
  38.31201, 237.59133
  38.33203, 231.72694
  38.35205, 245.18250
  38.37207, 244.00662
  38.39208, 229.20991
  38.41210, 238.68315
  38.43212, 237.20834
  38.45214, 239.27046
  38.47216, 250.86619
  38.49217, 235.09366
  38.51219, 232.38597
  38.53221, 230.44184
  38.55223, 238.02330
  38.57225, 233.90130
  38.59227, 237.12614
  38.61228, 228.75452
  38.63230, 236.18281
  38.65232, 236.20942
  38.67234, 240.31645
  38.69236, 249.43978
  38.71237, 231.94554
  38.73239, 238.02278
  38.75241, 245.06739
  38.77243, 237.48803
  38.79245, 234.22792
  38.81246, 234.88501
  38.83248, 239.94543
  38.85250, 232.34651
  38.87252, 247.95266
  38.89254, 227.13499
  38.91255, 238.74701
  38.93257, 241.56338
  38.95259, 244.89271
  38.97261, 239.27875
  38.99263, 247.31916
  39.01265, 235.69943
  39.03266, 228.86579
  39.05268, 250.27326
  39.07270, 234.07730
  39.09272, 232.80013
  39.11274, 235.03966
  39.13275, 235.54270
  39.15277, 242.39828
  39.17279, 226.73053
  39.19281, 234.64313
  39.21283, 231.18908
  39.23284, 229.07090
  39.25286, 223.01660
  39.27288, 235.76699
  39.29290, 227.72687
  39.31292, 226.91184
  39.33293, 241.67236
  39.35295, 240.38417
  39.37297, 237.40979
  39.39299, 238.63782
  39.41301, 237.20924
  39.43303, 230.54054
  39.45304, 234.83520
  39.47306, 237.17629
  39.49308, 234.24292
  39.51310, 234.43100
  39.53312, 244.65567
  39.55313, 241.06929
  39.57315, 228.25269
  39.59317, 228.91643
  39.61319, 223.50030
  39.63321, 224.00804
  39.65323, 229.88126
  39.67324, 234.41121
  39.69326, 236.47673
  39.71328, 233.61632
  39.73330, 227.73486
  39.75332, 235.17314
  39.77334, 250.59338
  39.79335, 248.48378
  39.81337, 239.31493
  39.83339, 234.19332
  39.85341, 223.45518
  39.87343, 223.60740
  39.89344, 228.17810
  39.91346, 231.10822
  39.93348, 233.56569
  39.95350, 231.44005
  39.97352, 228.96305
  39.99354, 232.70629
  40.01355, 219.21979
  40.03357, 228.82384
  40.05359, 226.98389
  40.07361, 237.73576
  40.09363, 229.84886
  40.11364, 227.20345
  40.13366, 234.87538
  40.15368, 233.06793
  40.17370, 229.68965
  40.19372, 229.97569
  40.21374, 230.36383
  40.23375, 247.78795
  40.25377, 230.80476
  40.27379, 244.65462
  40.29381, 235.27461
  40.31383, 225.26089
  40.33385, 235.02984
  40.35386, 233.88606
  40.37388, 227.12759
  40.39390, 218.18370
  40.41392, 223.56994
  40.43394, 231.51365
  40.45396, 231.11445
  40.47397, 224.29321
  40.49399, 227.07657
  40.51401, 208.99823
  40.53403, 220.99403
  40.55405, 218.21803
  40.57406, 229.42731
  40.59408, 228.67571
  40.61410, 228.29978
  40.63412, 220.53657
  40.65414, 220.40886
  40.67416, 214.11800
  40.69418, 215.99718
  40.71419, 228.66280
  40.73421, 218.45630
  40.75423, 214.88434
  40.77425, 216.14516
  40.79427, 217.47199
  40.81428, 234.28096
  40.83430, 221.39710
  40.85432, 224.49876
  40.87434, 216.62353
  40.89436, 218.83996
  40.91438, 226.00612
  40.93439, 225.51408
  40.95441, 223.18435
  40.97443, 220.09943
  40.99445, 224.70386
  41.01447, 214.97120
  41.03449, 224.25778
  41.05450, 214.86202
  41.07452, 234.11489
  41.09454, 230.18396
  41.11456, 215.92690
  41.13458, 213.81436
  41.15460, 226.77596
  41.17461, 222.09160
  41.19463, 219.63638
  41.21465, 220.80788
  41.23467, 238.77051
  41.25469, 230.79649
  41.27471, 218.65905
  41.29472, 226.97916
  41.31474, 233.87064
  41.33476, 220.55857
  41.35478, 221.48128
  41.37480, 223.10177
  41.39482, 229.54265
  41.41484, 230.53332
  41.43485, 215.62146
  41.45487, 213.67117
  41.47489, 215.62351
  41.49491, 219.66742
  41.51493, 214.87390
  41.53495, 218.11639
  41.55496, 222.65701
  41.57498, 217.82578
  41.59500, 221.81933
  41.61502, 220.98200
  41.63504, 213.30513
  41.65506, 217.46293
  41.67507, 213.58706
  41.69509, 212.59378
  41.71511, 226.50680
  41.73513, 223.05461
  41.75515, 226.74284
  41.77517, 224.09136
  41.79519, 214.08427
  41.81520, 207.06504
  41.83522, 211.79881
  41.85524, 225.43370
  41.87526, 221.69096
  41.89528, 215.48457
  41.91530, 218.76327
  41.93532, 214.45569
  41.95533, 218.02151
  41.97535, 219.70763
  41.99537, 213.17444
  42.01539, 218.99262
  42.03541, 219.70163
  42.05543, 219.55993
  42.07544, 205.95685
  42.09546, 215.44940
  42.11548, 221.94229
  42.13550, 213.82834
  42.15552, 216.64671
  42.17554, 222.61103
  42.19556, 216.98426
  42.21557, 215.21227
  42.23559, 218.41775
  42.25561, 219.97518
  42.27563, 226.34507
  42.29565, 211.63438
  42.31567, 217.56168
  42.33568, 220.74381
  42.35570, 214.54455
  42.37572, 214.39709
  42.39574, 211.05989
  42.41576, 204.30257
  42.43578, 206.57749
  42.45580, 202.61815
  42.47581, 212.21449
  42.49583, 213.06906
  42.51585, 219.84778
  42.53587, 211.66384
  42.55589, 215.97541
  42.57591, 216.79046
  42.59593, 215.88738
  42.61594, 225.70405
  42.63596, 223.86755
  42.65598, 212.76065
  42.67600, 212.19577
  42.69602, 227.14849
  42.71604, 224.33977
  42.73605, 219.92440
  42.75607, 218.62637
  42.77609, 226.36222
  42.79611, 230.83483
  42.81613, 222.16705
  42.83615, 217.68567
  42.85617, 222.59384
  42.87618, 222.88460
  42.89620, 218.17878
  42.91622, 217.97732
  42.93624, 219.85953
  42.95626, 216.00690
  42.97628, 222.99560
  42.99630, 229.78325
  43.01632, 224.21951
  43.03633, 220.30619
  43.05635, 218.55096
  43.07637, 221.98572
  43.09639, 221.66936
  43.11641, 224.31218
  43.13643, 228.86302
  43.15645, 220.68241
  43.17646, 220.08184
  43.19648, 212.34353
  43.21650, 224.60074
  43.23652, 227.21356
  43.25654, 220.51008
  43.27656, 222.78062
  43.29658, 224.86823
  43.31659, 224.55345
  43.33661, 230.57676
  43.35663, 228.99109
  43.37665, 217.45741
  43.39667, 218.45686
  43.41669, 223.59821
  43.43671, 224.18047
  43.45672, 232.05959
  43.47674, 223.25186
  43.49676, 214.89271
  43.51678, 218.52372
  43.53680, 216.92756
  43.55682, 235.14712
  43.57684, 245.68772
  43.59686, 228.61905
  43.61687, 225.35433
  43.63689, 228.70687
  43.65691, 224.99701
  43.67693, 234.38727
  43.69695, 224.18676
  43.71697, 222.21314
  43.73699, 233.46766
  43.75700, 232.09768
  43.77702, 234.58770
  43.79704, 234.38046
  43.81706, 239.38614
  43.83708, 235.93713
  43.85710, 230.42024
  43.87712, 236.68348
  43.89714, 233.56536
  43.91715, 230.78099
  43.93717, 229.76398
  43.95719, 226.19468
  43.97721, 223.16725
  43.99723, 226.87303
  44.01725, 235.89606
  44.03727, 239.49056
  44.05729, 249.65142
  44.07730, 248.98688
  44.09732, 239.56721
  44.11734, 252.09087
  44.13736, 261.15867
  44.15738, 262.21233
  44.17740, 263.93737
  44.19742, 271.96543
  44.21744, 271.27628
  44.23745, 262.80348
  44.25747, 287.67414
  44.27749, 288.10494
  44.29751, 301.16830
  44.31753, 330.97654
  44.33755, 344.99054
  44.35757, 360.39632
  44.37759, 391.31427
  44.39761, 407.42278
  44.41762, 451.00541
  44.43764, 491.07311
  44.45766, 556.37450
  44.47768, 636.00175
  44.49770, 762.74005
  44.51772, 911.43275
  44.53774,1144.54850
  44.55775,1485.98700
  44.57777,1984.02850
  44.59779,2544.65960
  44.61781,3162.95470
  44.63783,3791.06250
  44.65785,4208.93130
  44.67787,4533.39860
  44.69789,4532.67120
  44.71791,4299.12440
  44.73792,3952.79850
  44.75794,3589.26320
  44.77796,3215.32390
  44.79798,2883.39410
  44.81800,2534.43200
  44.83802,2128.81190
  44.85804,1702.13870
  44.87806,1316.08620
  44.89807,1032.75590
  44.91809, 829.94018
  44.93811, 674.78145
  44.95813, 583.03620
  44.97815, 497.28689
  44.99817, 452.22522
  45.01819, 407.16745
  45.03821, 375.06064
  45.05823, 355.08364
  45.07824, 324.38941
  45.09826, 318.86896
  45.11828, 299.94164
  45.13830, 278.29221
  45.15832, 263.71549
  45.17834, 254.36969
  45.19836, 262.64146
  45.21838, 261.66454
  45.23840, 258.34870
  45.25841, 249.90697
  45.27843, 237.62952
  45.29845, 238.46304
  45.31847, 229.20837
  45.33849, 224.98229
  45.35851, 224.98731
  45.37853, 227.42824
  45.39855, 212.15083
  45.41856, 211.99423
  45.43858, 228.62310
  45.45860, 226.27987
  45.47862, 221.80211
  45.49864, 216.24733
  45.51866, 214.25351
  45.53868, 218.29205
  45.55870, 213.08380
  45.57872, 209.93772
  45.59874, 210.54458
  45.61875, 204.55282
  45.63877, 206.95324
  45.65879, 215.05981
  45.67881, 202.43863
  45.69883, 208.19507
  45.71885, 210.18427
  45.73887, 203.76751
  45.75889, 212.69117
  45.77891, 205.00514
  45.79892, 201.27099
  45.81894, 199.25764
  45.83896, 191.78205
  45.85898, 197.53109
  45.87900, 197.56180
  45.89902, 192.90322
  45.91904, 191.92191
  45.93906, 205.68961
  45.95908, 198.51573
  45.97910, 192.37773
  45.99912, 194.55311
  46.01913, 204.08407
  46.03915, 191.62585
  46.05917, 183.87180
  46.07919, 193.76214
  46.09921, 195.83857
  46.11923, 196.84567
  46.13925, 200.78114
  46.15927, 194.51656
  46.17929, 201.72480
  46.19931, 204.02682
  46.21932, 202.17333
  46.23934, 196.55468
  46.25936, 198.60702
  46.27938, 187.45691
  46.29940, 192.40937
  46.31942, 194.41142
  46.33944, 194.40777
  46.35946, 194.12441
  46.37948, 192.45907
  46.39950, 195.31061
  46.41952, 189.49403
  46.43953, 177.87715
  46.45955, 188.67295
  46.47957, 190.28774
  46.49959, 184.02936
  46.51961, 186.34249
  46.53963, 194.97020
  46.55965, 203.53024
  46.57967, 179.40061
