# 2Theta,Counts
  35.90987, 205.18595
  35.92988, 218.58567
  35.94990, 211.06398
  35.96992, 203.05812
  35.98994, 208.75680
  36.00995, 203.88733
  36.02997, 212.83079
  36.04999, 199.82120
  36.07001, 206.98735
  36.09003, 212.38966
  36.11004, 211.54320
  36.13006, 206.37988
  36.15008, 197.68764
  36.17010, 202.21079
  36.19011, 204.64312
  36.21013, 216.10012
  36.23015, 199.99358
  36.25017, 212.62684
  36.27019, 195.84145
  36.29020, 191.61196
  36.31022, 206.39189
  36.33024, 205.74774
  36.35026, 218.12049
  36.37028, 210.31323
  36.39029, 201.17812
  36.41031, 203.83846
  36.43033, 204.00376
  36.45035, 215.00433
  36.47036, 203.91703
  36.49038, 210.12164
  36.51040, 193.40782
  36.53042, 203.43200
  36.55044, 193.12003
  36.57045, 194.64427
  36.59047, 193.76059
  36.61049, 201.50043
  36.63051, 195.33607
  36.65052, 206.62686
  36.67054, 201.12303
  36.69056, 201.83622
  36.71058, 199.52490
  36.73060, 208.82897
  36.75061, 210.48300
  36.77063, 203.47591
  36.79065, 196.67009
  36.81067, 198.38678
  36.83069, 202.63663
  36.85070, 197.62359
  36.87072, 198.82805
  36.89074, 207.36939
  36.91076, 204.09151
  36.93077, 187.06974
  36.95079, 189.18316
  36.97081, 187.80160
  36.99083, 195.15953
  37.01085, 193.81461
  37.03086, 206.08297
  37.05088, 202.39708
  37.07090, 187.22101
  37.09092, 201.52250
  37.11094, 203.23884
  37.13095, 197.23029
  37.15097, 191.50624
  37.17099, 189.78769
  37.19101, 199.74941
  37.21103, 191.18423
  37.23104, 198.04917
  37.25106, 185.71245
  37.27108, 186.25502
  37.29110, 201.69104
  37.31112, 179.35668
  37.33113, 186.65531
  37.35115, 195.31909
  37.37117, 198.85725
  37.39119, 198.50502
  37.41120, 195.71247
  37.43122, 193.94526
  37.45124, 207.77573
  37.47126, 186.24152
  37.49128, 186.66162
  37.51129, 191.67196
  37.53131, 198.03354
  37.55133, 193.36322
  37.57135, 187.11465
  37.59137, 183.80434
  37.61138, 185.19521
  37.63140, 193.78304
  37.65142, 190.15899
  37.67144, 198.85850
  37.69146, 199.67405
  37.71147, 189.70406
  37.73149, 205.71770
  37.75151, 195.01675
  37.77153, 196.80264
  37.79155, 193.84229
  37.81156, 198.63394
  37.83158, 198.27881
  37.85160, 196.70170
  37.87162, 191.53390
  37.89164, 184.03394
  37.91165, 185.52947
  37.93167, 194.27091
  37.95169, 200.19473
  37.97171, 199.17258
  37.99173, 186.82506
  38.01174, 184.73258
  38.03176, 192.83865
  38.05178, 191.18290
  38.07180, 183.64576
  38.09182, 197.22205
  38.11183, 188.19562
  38.13185, 186.20817
  38.15187, 190.80995
  38.17189, 175.93984
  38.19191, 190.01334
  38.21192, 199.42750
  38.23194, 198.42714
  38.25196, 190.09486
  38.27198, 187.93701
  38.29200, 173.30239
  38.31202, 187.28158
  38.33203, 194.05118
  38.35205, 190.05528
  38.37207, 181.73151
  38.39209, 181.68616
  38.41210, 183.80525
  38.43212, 181.72495
  38.45214, 177.99401
  38.47216, 184.84315
  38.49218, 181.56363
  38.51219, 197.23774
  38.53221, 190.34410
  38.55223, 178.44002
  38.57225, 189.84000
  38.59227, 197.28323
  38.61229, 183.94239
  38.63230, 181.60577
  38.65232, 182.58258
  38.67234, 192.37125
  38.69236, 192.48942
  38.71238, 194.25930
  38.73239, 191.77340
  38.75241, 186.85446
  38.77243, 191.31154
  38.79245, 182.73707
  38.81247, 188.80507
  38.83248, 187.96828
  38.85250, 181.86738
  38.87252, 179.14977
  38.89254, 184.75861
  38.91256, 179.12557
  38.93257, 193.76262
  38.95259, 181.95046
  38.97261, 187.19259
  38.99263, 184.47324
  39.01265, 187.99967
  39.03266, 174.44354
  39.05268, 168.56036
  39.07270, 182.42770
  39.09272, 181.02939
  39.11274, 177.01391
  39.13276, 178.83144
  39.15277, 184.58752
  39.17279, 183.69740
  39.19281, 174.70332
  39.21283, 174.44184
  39.23285, 172.31292
  39.25286, 184.76547
  39.27288, 174.24198
  39.29290, 175.92159
  39.31292, 167.90124
  39.33294, 173.36445
  39.35296, 183.08450
  39.37297, 177.07583
  39.39299, 174.46139
  39.41301, 171.35165
  39.43303, 181.07256
  39.45305, 171.62579
  39.47306, 169.85913
  39.49308, 179.75268
  39.51310, 182.09229
  39.53312, 174.35838
  39.55314, 187.03855
  39.57316, 176.98476
  39.59317, 176.85616
  39.61319, 171.44725
  39.63321, 165.39832
  39.65323, 169.48312
  39.67325, 170.86696
  39.69327, 183.00675
  39.71328, 179.16816
  39.73330, 176.65444
  39.75332, 176.00500
  39.77334, 182.18256
  39.79336, 181.05864
  39.81337, 174.92313
  39.83339, 176.24592
  39.85341, 184.85249
  39.87343, 180.75456
  39.89345, 173.11603
  39.91346, 183.63097
  39.93348, 176.48680
  39.95350, 179.61024
  39.97352, 170.63268
  39.99354, 179.09062
  40.01356, 171.96450
  40.03357, 180.50693
  40.05359, 190.90430
  40.07361, 179.12817
  40.09363, 170.56905
  40.11365, 175.92413
  40.13367, 172.51283
  40.15368, 173.19450
  40.17370, 175.94156
