# 2Theta,Counts
  36.49038,  37.27235
  36.51040,  53.44827
  36.53042,  56.99107
  36.55043,  57.06637
  36.57045,  49.00687
  36.59047,  52.24211
  36.61049,  58.68993
  36.63050,  50.34132
  36.65052,  50.37024
  36.67054,  52.00612
  36.69056,  51.43763
  36.71058,  49.59792
  36.73059,  49.90630
  36.75061,  46.35498
  36.77063,  52.44172
  36.79065,  50.67725
  36.81067,  50.27653
  36.83068,  50.54415
  36.85070,  48.92952
  36.87072,  50.25668
  36.89074,  56.69690
  36.91076,  49.09167
  36.93077,  50.22208
  36.95079,  47.30571
  36.97081,  47.92308
  36.99083,  49.43413
  37.01084,  44.10011
  37.03086,  46.07645
  37.05088,  43.89682
  37.07090,  53.11277
  37.09092,  51.78292
  37.11093,  54.55869
  37.13095,  53.98844
  37.15097,  51.55127
  37.17099,  47.78779
  37.19101,  53.16069
  37.21102,  53.38885
  37.23104,  50.67993
  37.25106,  49.18637
  37.27108,  45.87230
  37.29110,  51.81242
  37.31111,  52.09792
  37.33113,  50.52302
  37.35115,  50.68465
  37.37117,  48.25732
  37.39118,  49.76209
  37.41120,  48.00998
  37.43122,  45.69467
  37.45124,  50.04719
  37.47126,  51.04059
  37.49127,  48.96967
  37.51129,  47.87528
  37.53131,  49.26852
  37.55133,  50.96769
  37.57135,  51.58295
  37.59136,  47.64246
  37.61138,  50.10603
  37.63140,  50.81503
  37.65142,  51.44397
  37.67144,  53.28684
  37.69145,  53.72172
  37.71147,  49.28590
  37.73149,  51.75382
  37.75151,  52.61847
  37.77153,  49.87338
  37.79154,  44.13182
  37.81156,  49.05288
  37.83158,  47.05744
  37.85160,  45.60432
  37.87162,  51.50884
  37.89163,  46.55339
  37.91165,  46.83482
  37.93167,  51.60997
  37.95169,  53.98770
  37.97171,  52.99956
  37.99172,  46.19052
  38.01174,  43.49185
  38.03176,  52.18285
  38.05178,  49.30116
  38.07180,  48.77215
  38.09181,  45.22094
  38.11183,  48.19208
  38.13185,  55.72303
  38.15187,  47.86906
  38.17189,  50.25339
  38.19190,  47.60227
  38.21192,  52.37608
  38.23194,  51.30454
  38.25196,  45.49677
  38.27198,  51.06684
  38.29200,  44.52707
  38.31201,  49.75832
  38.33203,  52.18080
  38.35205,  51.82636
  38.37207,  46.94852
  38.39208,  46.54949
  38.41210,  44.15315
  38.43212,  48.90285
  38.45214,  50.41573
  38.47216,  54.02249
  38.49217,  53.90462
  38.51219,  50.30506
  38.53221,  46.71650
  38.55223,  48.65992
  38.57225,  45.40199
  38.59227,  51.85541
  38.61228,  55.77518
  38.63230,  47.59949
  38.65232,  46.31573
  38.67234,  49.16488
  38.69236,  46.85397
  38.71237,  48.30376
  38.73239,  47.93389
  38.75241,  45.75786
  38.77243,  50.63832
  38.79245,  56.09463
  38.81246,  52.41282
  38.83248,  48.82523
  38.85250,  49.93581
  38.87252,  53.86228
  38.89254,  52.95142
  38.91256,  46.83317
  38.93257,  46.88506
  38.95259,  46.26560
  38.97261,  49.87841
  38.99263,  52.33958
  39.01265,  49.06554
  39.03266,  45.24474
  39.05268,  45.75118
  39.07270,  49.04846
  39.09272,  45.06188
  39.11274,  44.52898
  39.13275,  50.17097
  39.15277,  48.96383
  39.17279,  50.06271
  39.19281,  49.05385
  39.21283,  45.68899
  39.23284,  45.68113
  39.25286,  49.46811
  39.27288,  47.38837
  39.29290,  47.55443
  39.31292,  47.83418
  39.33294,  46.42809
  39.35295,  51.42173
  39.37297,  45.33716
  39.39299,  45.25395
  39.41301,  43.55041
  39.43303,  45.97488
  39.45304,  48.52264
  39.47306,  48.20726
  39.49308,  46.76582
  39.51310,  46.64547
  39.53312,  48.61745
  39.55314,  50.32913
  39.57315,  45.96377
  39.59317,  46.97751
  39.61319,  48.19628
  39.63321,  52.63634
  39.65323,  51.99720
  39.67324,  45.26292
  39.69326,  51.07879
  39.71328,  42.16779
  39.73330,  46.42301
  39.75332,  46.94569
  39.77334,  41.48004
  39.79335,  44.75952
  39.81337,  45.47581
  39.83339,  44.78069
  39.85341,  48.02621
  39.87343,  45.02578
  39.89344,  45.21731
  39.91346,  49.26845
  39.93348,  46.72542
  39.95350,  40.92603
  39.97352,  46.89517
  39.99354,  41.64411
  40.01355,  41.94155
  40.03357,  47.53485
  40.05359,  46.55324
  40.07361,  45.01800
  40.09363,  41.48442
  40.11365,  41.84940
  40.13366,  44.96786
  40.15368,  46.21380
  40.17370,  44.36931
  40.19372,  46.06169
  40.21374,  47.19937
  40.23375,  48.81233
  40.25377,  42.87395
  40.27379,  43.47019
  40.29381,  47.39042
  40.31383,  44.29478
  40.33385,  48.39003
  40.35386,  45.39407
  40.37388,  44.32937
  40.39390,  47.86144
  40.41392,  47.03243
  40.43394,  44.71601
  40.45396,  46.54156
  40.47397,  51.96121
  40.49399,  49.71443
  40.51401,  48.17133
  40.53403,  46.38578
  40.55405,  42.10722
  40.57407,  45.55616
  40.59408,  47.08505
  40.61410,  44.50285
  40.63412,  43.91789
  40.65414,  45.64119
  40.67416,  39.72461
  40.69418,  42.90034
  40.71419,  41.24263
  40.73421,  41.97830
  40.75423,  43.34877
  40.77425,  41.84867
  40.79427,  48.59941
  40.81429,  43.31439
  40.83430,  44.17780
  40.85432,  47.01023
  40.87434,  43.25459
  40.89436,  40.67416
  40.91438,  43.06683
  40.93440,  48.30047
  40.95441,  42.82882
  40.97443,  48.23687
  40.99445,  48.17704
  41.01447,  49.58461
  41.03449,  47.51349
  41.05451,  47.89328
  41.07452,  45.93655
  41.09454,  50.41651
  41.11456,  41.98245
  41.13458,  43.07779
  41.15460,  52.22669
  41.17461,  45.19246
  41.19463,  42.90599
  41.21465,  49.37526
  41.23467,  45.81177
  41.25469,  49.25641
  41.27471,  45.67103
  41.29472,  44.26355
  41.31474,  43.38929
  41.33476,  41.60448
  41.35478,  41.73030
  41.37480,  44.81403
  41.39482,  47.97342
  41.41484,  50.62847
  41.43485,  43.26074
  41.45487,  45.41604
  41.47489,  44.48090
  41.49491,  45.35486
  41.51493,  45.62445
  41.53495,  48.34958
  41.55497,  46.35713
  41.57498,  47.22874
  41.59500,  45.28108
  41.61502,  49.64760
  41.63504,  53.42748
  41.65506,  46.43920
  41.67508,  44.17716
  41.69509,  39.56728
  41.71511,  44.41577
  41.73513,  43.19758
  41.75515,  44.49032
  41.77517,  45.35144
  41.79519,  48.39149
  41.81520,  42.13838
  41.83522,  37.29388
  41.85524,  43.09348
  41.87526,  43.18361
  41.89528,  45.47710
  41.91530,  51.09649
  41.93532,  45.60150
  41.95533,  50.21236
  41.97535,  41.97964
  41.99537,  43.57351
  42.01539,  40.40818
  42.03541,  42.25965
  42.05543,  42.59719
  42.07545,  45.68696
  42.09546,  45.40362
  42.11548,  45.79835
  42.13550,  46.03619
  42.15552,  47.68929
  42.17554,  45.09759
  42.19556,  41.44605
  42.21557,  49.34067
  42.23559,  45.12691
  42.25561,  44.47023
  42.27563,  40.88051
  42.29565,  45.82308
  42.31567,  46.18194
  42.33569,  48.85513
  42.35570,  45.23542
  42.37572,  44.23991
  42.39574,  45.47680
  42.41576,  47.92332
  42.43578,  50.41786
  42.45580,  42.01209
  42.47581,  46.58392
  42.49583,  44.58384
  42.51585,  42.91348
  42.53587,  42.20930
  42.55589,  47.27262
  42.57591,  40.58751
  42.59593,  44.70218
  42.61594,  48.36401
  42.63596,  51.01360
  42.65598,  51.75103
  42.67600,  47.10879
  42.69602,  46.87541
  42.71604,  52.05111
  42.73605,  47.17836
  42.75607,  46.75139
  42.77609,  45.58478
  42.79611,  51.29698
  42.81613,  47.50286
  42.83615,  43.29491
  42.85617,  43.69366
  42.87618,  51.75094
  42.89620,  49.77092
  42.91622,  46.57818
  42.93624,  48.19944
  42.95626,  47.95963
  42.97628,  49.07908
  42.99630,  47.89638
  43.01632,  48.83678
  43.03633,  48.73247
  43.05635,  48.46070
  43.07637,  56.92877
  43.09639,  53.78988
  43.11641,  48.25560
  43.13643,  53.57451
  43.15645,  54.03704
  43.17646,  49.92833
  43.19648,  50.49434
  43.21650,  61.76606
  43.23652,  58.92386
  43.25654,  57.01930
  43.27656,  63.74286
  43.29658,  61.25853
  43.31660,  70.98600
  43.33661,  77.13654
  43.35663,  83.12377
  43.37665,  85.15132
  43.39667, 104.12446
  43.41669, 130.01313
  43.43671, 183.60169
  43.45673, 238.70015
  43.47674, 324.49784
  43.49676, 425.18754
