# 2Theta,Counts
  36.07001, 256.19683
  36.09003, 268.59426
  36.11004, 265.54088
  36.13006, 256.66342
  36.15008, 263.15215
  36.17010, 267.44650
  36.19011, 273.38117
  36.21013, 266.52867
  36.23015, 275.89508
  36.25017, 267.26426
  36.27019, 263.11181
  36.29020, 262.92112
  36.31022, 242.30644
  36.33024, 256.44166
  36.35026, 264.81891
  36.37028, 256.29045
  36.39029, 254.60475
  36.41031, 265.65089
  36.43033, 269.43037
  36.45035, 265.27681
  36.47036, 264.70952
  36.49038, 265.60780
  36.51040, 260.28752
  36.53042, 254.91188
  36.55044, 267.50327
  36.57045, 256.85178
  36.59047, 263.85272
  36.61049, 274.45853
  36.63051, 276.10313
  36.65052, 275.71453
  36.67054, 274.57587
  36.69056, 269.79465
  36.71058, 254.85710
  36.73060, 260.76516
  36.75061, 258.77601
  36.77063, 271.57416
  36.79065, 258.28436
  36.81067, 255.31057
  36.83069, 256.58696
  36.85070, 249.20596
  36.87072, 261.11007
  36.89074, 263.65773
  36.91076, 252.98857
  36.93077, 262.88995
  36.95079, 261.18615
  36.97081, 261.13629
  36.99083, 260.18749
  37.01085, 258.08955
  37.03086, 257.38446
  37.05088, 255.89291
  37.07090, 246.35070
  37.09092, 264.93428
  37.11094, 248.96509
  37.13095, 265.99438
  37.15097, 252.26572
  37.17099, 259.46291
  37.19101, 250.25398
  37.21103, 249.26642
  37.23104, 261.38491
  37.25106, 259.03371
  37.27108, 258.70403
  37.29110, 266.39400
  37.31111, 249.84116
  37.33113, 247.48094
  37.35115, 255.08371
  37.37117, 255.94729
  37.39119, 256.76272
  37.41120, 254.31610
  37.43122, 262.02623
  37.45124, 266.67427
  37.47126, 252.16096
  37.49128, 267.03509
  37.51129, 251.92662
  37.53131, 244.46488
  37.55133, 252.24587
  37.57135, 270.29701
  37.59137, 274.43093
  37.61138, 257.88327
  37.63140, 244.35427
  37.65142, 244.79838
  37.67144, 263.65742
  37.69146, 258.27966
  37.71147, 252.21570
  37.73149, 265.67953
  37.75151, 256.74079
  37.77153, 246.89239
  37.79155, 249.70777
  37.81156, 246.59538
  37.83158, 246.46180
  37.85160, 247.94641
  37.87162, 235.38957
  37.89164, 251.40604
  37.91165, 245.42907
  37.93167, 239.91260
  37.95169, 258.73430
  37.97171, 252.41312
  37.99173, 256.89367
  38.01174, 255.21861
  38.03176, 254.28439
  38.05178, 254.88525
  38.07180, 248.12663
  38.09182, 260.32307
  38.11183, 259.06099
  38.13185, 255.15287
  38.15187, 229.86955
  38.17189, 248.62497
  38.19191, 252.50004
  38.21192, 250.02807
  38.23194, 257.01277
  38.25196, 241.53499
  38.27198, 236.84076
  38.29200, 233.61255
  38.31202, 248.41777
  38.33203, 241.12054
  38.35205, 241.28458
  38.37207, 233.17643
  38.39209, 250.11035
  38.41210, 251.71642
  38.43212, 244.18362
  38.45214, 238.49288
  38.47216, 247.32500
  38.49218, 230.53607
  38.51219, 248.83065
  38.53221, 253.98881
  38.55223, 254.98600
  38.57225, 243.11379
  38.59227, 240.63021
  38.61229, 244.62665
  38.63230, 233.36529
  38.65232, 240.96608
  38.67234, 234.69810
