x            y_obs        weight       y_calc       y_bkg        
40.0         102.0        0.0098       100.869      100.0        
40.01        100.0        0.01         100.873      100.0        
40.02        115.0        0.0087       100.877      100.0        
40.03        92.0         0.01087      100.882      100.0        
40.04        109.772      0.00911      100.886      100.0        
40.05        98.781       0.01012      100.89       100.0        
40.06        128.0        0.00781      100.895      100.0        
40.07        95.798       0.01044      100.899      100.0        
40.08        117.0        0.00855      100.903      100.0        
40.09        99.816       0.01002      100.908      100.0        
40.1         106.825      0.00936      100.912      100.0        
40.11        100.834      0.00992      100.917      100.0        
40.12        110.843      0.00902      100.922      100.0        
40.13        95.852       0.01043      100.926      100.0        
40.14        102.862      0.00972      100.931      100.0        
40.15        91.871       0.01088      100.936      100.0        
40.16        106.0        0.00943      100.94       100.0        
40.17        96.0         0.01042      100.945      100.0        
40.18        101.9        0.00981      100.95       100.0        
40.19        88.0         0.01136      100.955      100.0        
40.2         107.0        0.00935      100.96       100.0        
40.21        100.929      0.00991      100.964      100.0        
40.22        101.0        0.0099       100.969      100.0        
40.23        96.949       0.01031      100.974      100.0        
40.24        101.0        0.0099       100.979      100.0        
40.25        81.969       0.0122       100.985      100.0        
40.26        107.0        0.00935      100.99       100.0        
40.27        100.0        0.01         100.995      100.0        
40.28        121.0        0.00826      101.0        100.0        
40.29        93.0         0.01075      101.005      100.0        
40.3         110.0        0.00909      101.01       100.0        
40.31        84.032       0.0119       101.016      100.0        
40.32        102.0        0.0098       101.021      100.0        
40.33        84.0         0.0119       101.027      100.0        
40.34        112.064      0.00892      101.032      100.0        
40.35        99.0         0.0101       101.037      100.0        
40.36        103.086      0.0097       101.043      100.0        
40.37        81.097       0.01233      101.049      100.0        
40.38        112.0        0.00893      101.054      100.0        
40.39        98.12        0.01019      101.06       100.0        
40.4         112.131      0.00892      101.066      100.0        
40.41        98.0         0.0102       101.071      100.0        
40.42        118.0        0.00847      101.077      100.0        
40.43        92.166       0.01085      101.083      100.0        
40.44        111.178      0.00899      101.089      100.0        
40.45        84.19        0.01188      101.095      100.0        
40.46        112.0        0.00893      101.101      100.0        
40.47        99.0         0.0101       101.107      100.0        
40.48        120.0        0.00833      101.113      100.0        
40.49        95.238       0.0105       101.119      100.0        
40.5         118.251      0.00846      101.125      100.0        
40.51        93.0         0.01075      101.132      100.0        
40.52        108.0        0.00926      101.138      100.0        
40.53        97.289       0.01028      101.144      100.0        
40.54        119.0        0.0084       101.151      100.0        
40.55        85.315       0.01172      101.157      100.0        
40.56        117.328      0.00852      101.164      100.0        
40.57        100.0        0.01         101.17       100.0        
40.58        117.0        0.00855      101.177      100.0        
40.59        100.0        0.01         101.184      100.0        
40.6         106.0        0.00943      101.191      100.0        
40.61        95.0         0.01053      101.197      100.0        
40.62        129.0        0.00775      101.204      100.0        
40.63        98.422       0.01016      101.211      100.0        
40.64        117.436      0.00852      101.218      100.0        
40.65        96.0         0.01042      101.225      100.0        
40.66        103.0        0.00971      101.232      100.0        
40.67        87.479       0.01143      101.24       100.0        
40.68        113.494      0.00881      101.247      100.0        
40.69        96.508       0.01036      101.254      100.0        
40.7         102.523      0.00975      101.262      100.0        
40.71        98.538       0.01015      101.269      100.0        
40.72        114.553      0.00873      101.277      100.0        
40.73        95.568       0.01046      101.284      100.0        
40.74        103.584      0.00965      101.292      100.0        
40.75        100.0        0.01         101.3        100.0        
40.76        103.615      0.00965      101.307      100.0        
40.77        91.0         0.01099      101.315      100.0        
40.78        108.0        0.00926      101.323      100.0        
40.79        99.0         0.0101       101.331      100.0        
40.8         106.679      0.00937      101.339      100.0        
40.81        98.0         0.0102       101.348      100.0        
40.82        108.0        0.00926      101.356      100.0        
40.83        94.728       0.01056      101.364      100.0        
40.84        120.0        0.00833      101.373      100.0        
40.85        73.0         0.0137       101.381      100.0        
40.86        106.779      0.00937      101.39       100.0        
40.87        98.0         0.0102       101.398      100.0        
40.88        108.0        0.00926      101.407      100.0        
40.89        100.832      0.00992      101.416      100.0        
40.9         101.85       0.00982      101.425      100.0        
40.91        98.868       0.01011      101.434      100.0        
40.92        112.886      0.00886      101.443      100.0        
40.93        97.904       0.01021      101.452      100.0        
40.94        110.0        0.00909      101.461      100.0        
40.95        98.941       0.01011      101.471      100.0        
40.96        116.0        0.00862      101.48       100.0        
40.97        97.979       0.01021      101.49       100.0        
40.98        109.999      0.00909      101.499      100.0        
40.99        84.018       0.0119       101.509      100.0        
41.0         115.0        0.0087       101.519      100.0        
41.01        101.0        0.0099       101.529      100.0        
41.02        106.0        0.00943      101.539      100.0        
41.03        100.0        0.01         101.549      100.0        
41.04        106.118      0.00942      101.559      100.0        
41.05        97.0         0.01031      101.57       100.0        
41.06        115.0        0.0087       101.58       100.0        
41.07        87.181       0.01147      101.591      100.0        
41.08        112.0        0.00893      101.601      100.0        
41.09        99.224       0.01008      101.612      100.0        
