x            y_obs        weight       y_calc       y_bkg        
41.44        107.0        0.00935      102.019      100.0        
41.45        96.0         0.01042      102.034      100.0        
41.46        103.1        0.0097       102.05       100.0        
41.47        94.132       0.01062      102.066      100.0        
41.48        110.164      0.00908      102.082      100.0        
41.49        91.0         0.01099      102.098      100.0        
41.5         104.0        0.00962      102.115      100.0        
41.51        95.0         0.01053      102.131      100.0        
41.52        119.297      0.00838      102.148      100.0        
41.53        100.331      0.00997      102.165      100.0        
41.54        108.365      0.00923      102.183      100.0        
41.55        92.0         0.01087      102.2        100.0        
41.56        112.436      0.00889      102.218      100.0        
41.57        91.0         0.01099      102.236      100.0        
41.58        110.0        0.00909      102.254      100.0        
41.59        97.545       0.01025      102.272      100.0        
41.6         107.582      0.0093       102.291      100.0        
41.61        100.0        0.01         102.31       100.0        
41.62        116.0        0.00862      102.329      100.0        
41.63        97.696       0.01024      102.348      100.0        
41.64        110.736      0.00903      102.368      100.0        
41.65        101.775      0.00983      102.388      100.0        
41.66        104.816      0.00954      102.408      100.0        
41.67        90.856       0.01101      102.428      100.0        
41.68        111.0        0.00901      102.449      100.0        
41.69        90.94        0.011        102.47       100.0        
41.7         105.0        0.00952      102.491      100.0        
41.71        91.025       0.01099      102.512      100.0        
41.72        108.069      0.00925      102.534      100.0        
41.73        91.113       0.01098      102.556      100.0        
41.74        117.157      0.00854      102.579      100.0        
41.75        98.0         0.0102       102.601      100.0        
41.76        118.249      0.00846      102.624      100.0        
41.77        97.0         0.01031      102.648      100.0        
41.78        108.343      0.00923      102.671      100.0        
41.79        95.391       0.01048      102.695      100.0        
41.8         103.44       0.00967      102.72       100.0        
41.81        95.0         0.01053      102.744      100.0        
41.82        103.539      0.00966      102.769      100.0        
41.83        99.0         0.0101       102.795      100.0        
41.84        106.641      0.00938      102.821      100.0        
41.85        88.0         0.01136      102.847      100.0        
41.86        111.0        0.00901      102.873      100.0        
41.87        99.8         0.01002      102.9        100.0        
41.88        105.0        0.00952      102.928      100.0        
41.89        97.0         0.01031      102.955      100.0        
41.9         103.967      0.00962      102.983      100.0        
41.91        96.024       0.01041      103.012      100.0        
41.92        106.0        0.00943      103.041      100.0        
41.93        93.141       0.01074      103.07       100.0        
41.94        105.0        0.00952      103.1        100.0        
41.95        91.0         0.01099      103.131      100.0        
41.96        105.0        0.00952      103.161      100.0        
41.97        90.385       0.01106      103.193      100.0        
41.98        118.0        0.00847      103.224      100.0        
41.99        100.513      0.00995      103.257      100.0        
42.0         113.579      0.0088       103.289      100.0        
42.01        93.646       0.01068      103.323      100.0        
42.02        107.0        0.00935      103.357      100.0        
42.03        99.782       0.01002      103.391      100.0        
42.04        114.852      0.00871      103.426      100.0        
42.05        97.923       0.01021      103.462      100.0        
42.06        108.0        0.00926      103.498      100.0        
42.07        88.0         0.01136      103.534      100.0        
42.08        105.144      0.00951      103.572      100.0        
42.09        103.0        0.00971      103.61       100.0        
42.1         114.0        0.00877      103.648      100.0        
42.11        102.0        0.0098       103.688      100.0        
42.12        117.455      0.00851      103.728      100.0        
42.13        93.0         0.01075      103.768      100.0        
42.14        105.619      0.00947      103.81       100.0        
42.15        82.0         0.0122       103.852      100.0        
42.16        113.0        0.00885      103.895      100.0        
42.17        98.876       0.01011      103.938      100.0        
42.18        106.965      0.00935      103.983      100.0        
42.19        91.0         0.01099      104.028      100.0        
42.2         112.147      0.00892      104.074      100.0        
42.21        101.0        0.0099       104.121      100.0        
42.22        110.0        0.00909      104.168      100.0        
42.23        95.0         0.01053      104.217      100.0        
42.24        107.0        0.00935      104.266      100.0        
42.25        97.0         0.01031      104.317      100.0        
42.26        108.736      0.0092       104.368      100.0        
42.27        102.841      0.00972      104.421      100.0        
42.28        108.0        0.00926      104.474      100.0        
42.29        98.057       0.0102       104.528      100.0        
42.3         128.0        0.00781      104.584      100.0        
42.31        97.0         0.01031      104.641      100.0        
42.32        111.0        0.00901      104.698      100.0        
42.33        103.514      0.00966      104.757      100.0        
42.34        121.634      0.00822      104.817      100.0        
42.35        86.0         0.01163      104.879      100.0        
42.36        116.0        0.00862      104.941      100.0        
42.37        98.01        0.0102       105.005      100.0        
42.38        111.0        0.00901      105.07       100.0        
42.39        97.274       0.01028      105.137      100.0        
42.4         109.41       0.00914      105.205      100.0        
42.41        104.0        0.00962      105.274      100.0        
42.42        116.0        0.00862      105.345      100.0        
42.43        97.0         0.01031      105.418      100.0        
42.44        128.0        0.00781      105.492      100.0        
42.45        91.136       0.01097      105.568      100.0        
42.46        118.0        0.00847      105.645      100.0        
42.47        102.0        0.0098       105.725      100.0        
42.48        110.0        0.00909      105.806      100.0        
42.49        97.0         0.01031      105.889      100.0        
42.5         127.0        0.00787      105.974      100.0        
42.51        98.121       0.01019      106.06       100.0        
42.52        125.0        0.008        106.149      100.0        
42.53        95.481       0.01047      106.241      100.0        
42.54        108.0        0.00926      106.334      100.0        
42.55        91.0         0.01099      106.429      100.0        
42.56        107.055      0.00934      106.527      100.0        
42.57        95.256       0.0105       106.628      100.0        
42.58        110.0        0.00909      106.731      100.0        
42.59        88.0         0.01136      106.836      100.0        
42.6         133.0        0.00752      106.945      100.0        
42.61        105.112      0.00951      107.056      100.0        
42.62        129.0        0.00775      107.17       100.0        
42.63        79.574       0.01257      107.287      100.0        
42.64        111.0        0.00901      107.407      100.0        
42.65        105.0        0.00952      107.531      100.0        
42.66        109.0        0.00917      107.658      100.0        
42.67        95.577       0.01046      107.789      100.0        
42.68        115.0        0.0087       107.923      100.0        
42.69        89.121       0.01122      108.061      100.0        
42.7         122.406      0.00817      108.203      100.0        
42.71        98.698       0.01013      108.349      100.0        
42.72        121.999      0.0082       108.499      100.0        
42.73        107.0        0.00935      108.654      100.0        
42.74        114.628      0.00872      108.814      100.0        
42.75        90.957       0.01099      108.979      100.0        
42.76        110.0        0.00909      109.148      100.0        
42.77        99.0         0.0101       109.323      100.0        
42.78        132.0        0.00758      109.504      100.0        
42.79        103.0        0.00971      109.715      100.0        
42.8         112.0        0.00893      109.908      100.0        
42.81        92.214       0.01084      110.107      100.0        
42.82        113.626      0.0088       110.313      100.0        
42.83        109.0        0.00917      110.526      100.0        
42.84        118.492      0.00844      110.746      100.0        
42.85        99.947       0.01001      110.974      100.0        
42.86        122.419      0.00817      111.21       100.0        
42.87        107.0        0.00935      111.454      100.0        
42.88        128.415      0.00779      111.708      100.0        
42.89        107.941      0.00926      111.97       100.0        
42.9         120.487      0.0083       112.243      100.0        
42.91        105.053      0.00952      112.527      100.0        
42.92        120.667      0.00829      112.833      100.0        
42.93        112.279      0.00891      113.139      100.0        
42.94        116.0        0.00862      113.458      100.0        
42.95        106.0        0.00943      113.789      100.0        
42.96        116.268      0.0086       114.134      100.0        
42.97        101.988      0.00981      114.494      100.0        
42.98        121.0        0.00826      114.869      100.0        
42.99        90.0         0.01111      115.261      100.0        
43.0         116.0        0.00862      115.67       100.0        
43.01        101.195      0.00988      116.098      100.0        
43.02        119.0        0.0084       116.545      100.0        
43.03        104.027      0.00961      117.014      100.0        
43.04        118.0        0.00847      117.505      100.0        
43.05        110.0        0.00909      118.02       100.0        
43.06        140.12       0.00714      118.56       100.0        
43.07        99.0         0.0101       119.128      100.0        
43.08        156.0        0.00641      119.726      100.0        
43.09        105.71       0.00946      120.355      100.0        
43.1         129.036      0.00775      121.018      100.0        
43.11        101.436      0.00986      121.718      100.0        
43.12        133.915      0.00747      122.457      100.0        
43.13        110.479      0.00905      123.239      100.0        
43.14        132.135      0.00757      124.067      100.0        
43.15        115.891      0.00863      124.945      100.0        
43.16        133.755      0.00748      125.878      100.0        
43.17        113.738      0.00879      126.869      100.0        
43.18        131.848      0.00758      127.924      100.0        
43.19        115.0        0.0087       129.05       100.0        
43.2         138.0        0.00725      130.252      100.0        
43.21        124.076      0.00806      131.538      100.0        
43.22        133.833      0.00747      132.917      100.0        
43.23        110.794      0.00903      134.397      100.0        
43.24        155.0        0.00645      135.989      100.0        
43.25        133.411      0.0075       137.705      100.0        
43.26        145.119      0.00689      139.559      100.0        
43.27        105.133      0.00951      141.566      100.0        
43.28        154.489      0.00647      143.744      100.0        
43.29        144.228      0.00693      146.114      100.0        
43.3         151.0        0.00662      148.699      100.0        
43.31        150.053      0.00666      151.526      100.0        
43.32        174.0        0.00575      154.63       100.0        
43.33        156.0        0.00641      158.051      100.0        
43.34        194.0        0.00515      161.84       100.0        
43.35        144.0        0.00694      166.062      100.0        
43.36        185.0        0.00541      170.81       100.0        
43.37        159.419      0.00627      176.21       100.0        
43.38        198.0        0.00505      182.451      100.0        
43.39        163.627      0.00611      189.814      100.0        
43.4         199.436      0.00501      198.718      100.0        
43.41        183.0        0.00546      209.785      100.0        
43.42        235.0        0.00426      223.916      100.0        
43.43        229.746      0.00435      242.373      100.0        
43.44        273.73       0.00365      266.865      100.0        
43.45        288.0        0.00347      299.595      100.0        
43.46        351.508      0.00284      343.254      100.0        
43.47        373.0        0.00268      400.928      100.0        
43.48        495.751      0.00202      475.875      100.0        
43.49        568.0        0.00176      571.176      100.0        
43.5         706.0        0.00142      689.26       100.0        
43.51        819.698      0.00122      831.349      100.0        
43.52        1017.0       0.00098      996.886      100.0        
43.53        1125.0       0.00089      1183.0       100.0        
43.54        1404.096     0.00071      1384.048     100.0        
43.55        1554.0       0.00064      1591.214     100.0        
43.56        1865.481     0.00054      1792.241     100.0        
43.57        1970.298     0.00051      1971.649     100.0        
43.58        2169.702     0.00046      2112.351     100.0        
43.59        2124.0       0.00047      2199.559     100.0        
43.6         2288.0       0.00044      2226.178     100.0        
43.61        2178.551     0.00046      2196.276     100.0        
43.62        2150.0       0.00047      2123.559     100.0        
43.63        1994.0       0.0005       2025.988     100.0        
43.64        1927.749     0.00052      1920.374     100.0        
43.65        1748.569     0.00057      1819.284     100.0        
43.66        1793.0       0.00056      1729.977     100.0        
43.67        1642.0       0.00061      1654.332     100.0        
43.68        1625.0       0.00062      1589.23      100.0        
43.69        1510.0       0.00066      1527.568     100.0        
43.7         1487.838     0.00067      1460.419     100.0        
43.71        1342.586     0.00074      1380.293     100.0        
43.72        1294.167     0.00077      1284.083     100.0        
43.73        1173.581     0.00085      1173.791     100.0        
43.74        1078.0       0.00093      1054.809     100.0        
43.75        895.972      0.00112      933.486      100.0        
43.76        817.98       0.00122      815.49       100.0        
43.77        704.0        0.00142      705.2        100.0        
43.78        621.0        0.00161      605.64       100.0        
43.79        509.172      0.00196      518.586      100.0        
43.8         448.405      0.00223      444.702      100.0        
43.81        380.44       0.00263      383.72       100.0        
43.82        347.305      0.00288      334.653      100.0        
43.83        279.091      0.00358      296.045      100.0        
43.84        271.0        0.00369      266.216      100.0        
43.85        243.0        0.00412      243.464      100.0        
43.86        232.0        0.00431      226.219      100.0        
43.87        208.0        0.00481      213.136      100.0        
43.88        226.249      0.00442      203.125      100.0        
43.89        195.0        0.00513      195.347      100.0        
43.9         221.0        0.00452      189.185      100.0        
43.91        184.0        0.00543      184.2        100.0        
43.92        191.0        0.00524      180.086      100.0        
43.93        172.0        0.00581      176.636      100.0        
43.94        182.0        0.00549      173.71       100.0        
43.95        164.423      0.00608      171.211      100.0        
43.96        171.0        0.00585      169.074      100.0        
43.97        165.5        0.00604      167.25       100.0        
43.98        174.0        0.00575      165.703      100.0        
43.99        162.0        0.00617      164.406      100.0        
44.0         172.672      0.00579      163.336      100.0        
44.01        134.0        0.00746      162.477      100.0        
44.02        173.0        0.00578      161.814      100.0        
44.03        127.0        0.00787      161.335      100.0        
44.04        171.063      0.00585      161.031      100.0        
44.05        154.0        0.00649      160.895      100.0        
44.06        165.843      0.00603      160.921      100.0        
44.07        151.0        0.00662      161.106      100.0        
44.08        185.0        0.00541      161.446      100.0        
44.09        155.0        0.00645      161.94       100.0        
44.1         172.0        0.00581      162.59       100.0        
44.11        160.0        0.00625      163.397      100.0        
44.12        176.0        0.00568      164.363      100.0        
44.13        165.0        0.00606      165.494      100.0        
44.14        169.588      0.0059       166.794      100.0        
44.15        168.0        0.00595      168.272      100.0        
44.16        193.0        0.00518      169.936      100.0        
44.17        157.0        0.00637      171.797      100.0        
44.18        177.733      0.00563      173.866      100.0        
44.19        161.0        0.00621      176.16       100.0        
44.2         202.0        0.00495      178.694      100.0        
44.21        169.0        0.00592      181.487      100.0        
44.22        185.0        0.00541      184.564      100.0        
44.23        166.896      0.00599      187.948      100.0        
44.24        196.0        0.0051       191.67       100.0        
44.25        191.528      0.00522      195.764      100.0        
44.26        226.54       0.00441      200.27       100.0        
44.27        185.0        0.00541      205.233      100.0        
44.28        221.415      0.00452      210.707      100.0        
44.29        216.51       0.00462      216.755      100.0        
44.3         225.902      0.00443      223.451      100.0        
44.31        208.773      0.00479      230.886      100.0        
44.32        247.0        0.00405      239.174      100.0        
44.33        222.0        0.0045       248.463      100.0        
44.34        274.899      0.00364      258.95       100.0        
44.35        268.83       0.00372      270.915      100.0        
44.36        291.0        0.00344      284.766      100.0        
44.37        264.0        0.00379      301.107      100.0        
44.38        342.678      0.00292      320.839      100.0        
44.39        337.599      0.00296      345.3        100.0        
44.4         378.861      0.00264      376.431      100.0        
44.41        416.0        0.0024       416.973      100.0        
44.42        472.0        0.00212      470.658      100.0        
44.43        538.686      0.00186      542.343      100.0        
44.44        642.068      0.00156      638.034      100.0        
44.45        717.0        0.00139      764.712      100.0        
44.46        930.793      0.00107      929.896      100.0        
44.47        1095.0       0.00091      1140.907     100.0        
44.48        1410.0       0.00071      1403.827     100.0        
44.49        1669.0       0.0006       1722.258     100.0        
44.5         2137.0       0.00047      2095.99      100.0        
44.51        2519.47      0.0004       2519.735     100.0        
44.52        3068.007     0.00033      2982.004     100.0        
44.53        3450.0       0.00029      3464.125     100.0        
44.54        3979.0       0.00025      3939.466     100.0        
44.55        4233.0       0.00024      4373.477     100.0        
44.56        4727.737     0.00021      4726.369     100.0        
44.57        4928.0       0.0002       4960.844     100.0        
44.58        5152.853     0.00019      5054.427     100.0        
44.59        4948.0       0.0002       5009.738     100.0        
44.6         4859.52      0.00021      4854.26      100.0        
44.61        4587.631     0.00022      4629.315     100.0        
44.62        4395.0       0.00023      4376.635     100.0        
44.63        4006.0       0.00025      4129.526     100.0        
44.64        4014.714     0.00025      3909.357     100.0        
44.65        3688.938     0.00027      3724.969     100.0        
44.66        3645.39      0.00027      3573.195     100.0        
44.67        3381.685     0.0003       3440.343     100.0        
44.68        3322.0       0.0003       3305.695     100.0        
44.69        3147.0       0.00032      3147.957     100.0        
44.7         2976.247     0.00034      2953.123     100.0        
44.71        2685.737     0.00037      2719.369     100.0        
