#x,y_calc
40,1.94572
40.002,1.94676
40.004,1.9478
40.006,1.94885
40.008,1.9499
40.01,1.95095
40.012,1.952
40.014,1.95306
40.016,1.95411
40.018,1.95517
40.02,1.95623
40.022,1.95729
40.024,1.95835
40.026,1.95941
40.028,1.96048
40.03,1.96155
40.032,1.96262
40.034,1.96369
40.036,1.96476
40.038,1.96584
40.04,1.96692
40.042,1.968
40.044,1.96908
40.046,1.97016
40.048,1.97124
40.05,1.97233
40.052,1.97342
40.054,1.97451
40.056,1.9756
40.058,1.97669
40.06,1.97779
40.062,1.97888
40.064,1.97998
40.066,1.98108
40.068,1.98218
40.07,1.98329
40.072,1.98439
40.074,1.9855
40.076,1.98661
40.078,1.98772
40.08,1.98884
40.082,1.98995
40.084,1.99107
40.086,1.99219
40.088,1.99331
40.09,1.99444
40.092,1.99556
40.094,1.99669
40.096,1.99782
40.098,1.99895
40.1,2.00008
40.102,2.00121
40.104,2.00235
40.106,2.00349
40.108,2.00463
40.11,2.00577
40.112,2.00692
40.114,2.00806
40.116,2.00921
40.118,2.01036
40.12,2.01152
40.122,2.01267
40.124,2.01383
40.126,2.01498
40.128,2.01614
40.13,2.01731
40.132,2.01847
40.134,2.01964
40.136,2.0208
40.138,2.02197
40.14,2.02315
40.142,2.02432
40.144,2.0255
40.146,2.02668
40.148,2.02785
40.15,2.02904
40.152,2.03022
40.154,2.03141
40.156,2.0326
40.158,2.03379
40.16,2.03498
40.162,2.03618
40.164,2.03737
40.166,2.03857
40.168,2.03977
40.17,2.04097
40.172,2.04218
40.174,2.04339
40.176,2.0446
40.178,2.04581
40.18,2.04702
40.182,2.04824
40.184,2.04945
40.186,2.05067
40.188,2.0519
40.19,2.05312
40.192,2.05435
40.194,2.05557
40.196,2.0568
40.198,2.05804
40.2,2.05927
40.202,2.06051
40.204,2.06175
40.206,2.06299
40.208,2.06423
40.21,2.06548
40.212,2.06673
40.214,2.06798
40.216,2.06923
40.218,2.07048
40.22,2.07174
40.222,2.073
40.224,2.07426
40.226,2.07552
40.228,2.07679
40.23,2.07806
40.232,2.07933
40.234,2.0806
40.236,2.08187
40.238,2.08315
40.24,2.08443
40.242,2.08571
40.244,2.08699
40.246,2.08828
40.248,2.08957
40.25,2.09086
40.252,2.09215
40.254,2.09345
40.256,2.09474
40.258,2.09604
40.26,2.09735
40.262,2.09865
40.264,2.09996
40.266,2.10127
40.268,2.10258
40.27,2.10389
40.272,2.10521
40.274,2.10653
40.276,2.10785
40.278,2.10917
40.28,2.1105
40.282,2.11182
40.284,2.11315
40.286,2.11449
40.288,2.11582
40.29,2.11716
40.292,2.1185
40.294,2.11984
40.296,2.12118
40.298,2.12253
40.3,2.12388
40.302,2.12523
40.304,2.12659
40.306,2.12794
40.308,2.1293
40.31,2.13067
40.312,2.13203
40.314,2.1334
40.316,2.13476
40.318,2.13614
40.32,2.13751
40.322,2.13889
40.324,2.14027
40.326,2.14165
40.328,2.14303
40.33,2.14442
40.332,2.14581
40.334,2.1472
40.336,2.14859
40.338,2.14999
40.34,2.15139
40.342,2.15279
40.344,2.1542
40.346,2.1556
40.348,2.15701
40.35,2.15843
40.352,3.1633
40.354,3.16567
40.356,3.16805
40.358,3.17042
40.36,3.1728
40.362,3.17519
40.364,3.17757
40.366,3.17997
40.368,3.18236
40.37,3.18476
40.372,3.18717
40.374,3.18958
40.376,3.19199
40.378,3.1944
40.38,3.19683
40.382,3.19925
40.384,3.20168
40.386,3.20411
40.388,3.20655
40.39,3.20899
40.392,3.21143
40.394,3.21388
40.396,3.21634
40.398,3.21879
40.4,3.22125
40.402,3.22372
40.404,3.22619
40.406,3.22866
40.408,3.23114
40.41,3.23363
40.412,3.23611
40.414,3.2386
40.416,3.2411
40.418,3.2436
40.42,3.2461
40.422,3.24861
40.424,3.25112
40.426,3.25364
40.428,3.25616
40.43,3.25868
40.432,3.26121
40.434,3.26375
40.436,3.26628
40.438,3.26883
40.44,3.27137
40.442,3.27392
40.444,3.27648
40.446,3.27904
40.448,3.28161
40.45,3.28417
